,잉글리시 폭스하운드_1,잉글리시 폭스하운드_2,잉글리시 폭스하운드_3,잉글리시 폭스하운드_4,잉글리시 폭스하운드_5,잉글리시 폭스하운드_6,잉글리시 폭스하운드_7,잉글리시 폭스하운드_8,잉글리시 폭스하운드_9,잉글리시 폭스하운드_10,잉글리시 폭스하운드_11,잉글리시 폭스하운드_12,잉글리시 폭스하운드_13,잉글리시 폭스하운드_14,잉글리시 폭스하운드_15,잉글리시 폭스하운드_16,잉글리시 폭스하운드_17,잉글리시 폭스하운드_18,잉글리시 폭스하운드_19,잉글리시 폭스하운드_20
Hound,97.4823989868164,98.00774383544922,0.0,99.70866394042969,99.42963409423828,99.30374145507812,99.8521728515625,99.38301849365234,94.19461059570312,99.1300277709961,99.09730529785156,97.9986572265625,99.98926544189453,60.58995056152344,99.59848022460938,97.17877197265625,90.0522689819336,91.2575454711914,98.34672546386719,78.36810302734375
Canine,97.4823989868164,98.00774383544922,0.0,99.70866394042969,99.42963409423828,99.30374145507812,99.8521728515625,99.38301849365234,94.19461059570312,99.1300277709961,99.09730529785156,97.9986572265625,99.98926544189453,90.87816619873047,99.59848022460938,97.17877197265625,91.09719848632812,96.92146301269531,98.34672546386719,98.29375457763672
Animal,97.4823989868164,98.00774383544922,0.0,99.70866394042969,99.42963409423828,99.30374145507812,99.8521728515625,99.38301849365234,94.19461059570312,99.1300277709961,99.09730529785156,97.9986572265625,99.98926544189453,90.87816619873047,99.59848022460938,97.17877197265625,91.09719848632812,96.92146301269531,98.34672546386719,98.29375457763672
Pet,97.4823989868164,98.00774383544922,0.0,99.70866394042969,99.42963409423828,99.30374145507812,99.8521728515625,99.38301849365234,94.19461059570312,99.1300277709961,99.09730529785156,97.9986572265625,99.98926544189453,89.61641693115234,99.59848022460938,97.17877197265625,90.0522689819336,96.92146301269531,98.34672546386719,98.29375457763672
Dog,97.4823989868164,98.00774383544922,0.0,99.70866394042969,99.42963409423828,99.30374145507812,99.8521728515625,99.38301849365234,94.19461059570312,99.1300277709961,99.09730529785156,97.9986572265625,99.98926544189453,87.83267974853516,99.59848022460938,97.17877197265625,90.0522689819336,96.92146301269531,98.34672546386719,98.29375457763672
Mammal,97.4823989868164,98.00774383544922,0.0,99.70866394042969,99.42963409423828,99.30374145507812,99.8521728515625,99.38301849365234,94.19461059570312,99.1300277709961,99.09730529785156,97.9986572265625,99.98926544189453,90.87816619873047,99.59848022460938,97.17877197265625,91.09719848632812,96.92146301269531,98.34672546386719,98.29375457763672
Beagle,93.86121368408203,92.57522583007812,0.0,99.34016418457031,98.92423248291016,97.7385025024414,98.97408294677734,98.68955993652344,73.93265533447266,95.48848724365234,88.15673828125,92.60521697998047,0.0,0.0,99.10950469970703,89.87516021728516,64.82150268554688,61.568817138671875,89.94087982177734,0.0
Puppy,69.04742431640625,56.54322814941406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.29106903076172,0.0,0.0,70.76844024658203,0.0,0.0,0.0
Saint Bernard,56.63499450683594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comics,0.0,0.0,89.9322509765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
