,자이언트 슈나우저_1,자이언트 슈나우저_2,자이언트 슈나우저_3,자이언트 슈나우저_4,자이언트 슈나우저_5,자이언트 슈나우저_6,자이언트 슈나우저_7,자이언트 슈나우저_8,자이언트 슈나우저_9,자이언트 슈나우저_10,자이언트 슈나우저_11,자이언트 슈나우저_12,자이언트 슈나우저_13,자이언트 슈나우저_14,자이언트 슈나우저_15,자이언트 슈나우저_16,자이언트 슈나우저_17,자이언트 슈나우저_18,자이언트 슈나우저_19,자이언트 슈나우저_20
Dog,96.2847900390625,88.04231262207031,73.39029693603516,83.22453308105469,97.9986572265625,91.86488342285156,98.40616607666016,92.03575134277344,99.12060546875,93.81156921386719,93.73558044433594,90.08676147460938,99.57032012939453,96.6396255493164,97.56170654296875,96.3934555053711,85.12140655517578,95.28399658203125,90.16643524169922,81.29304504394531
Canine,96.2847900390625,88.04231262207031,91.41432189941406,86.90078735351562,97.9986572265625,93.81554412841797,98.40616607666016,92.67503356933594,99.12060546875,94.68846130371094,93.73558044433594,91.72504425048828,99.57032012939453,96.6396255493164,97.56170654296875,96.79385375976562,87.24072265625,95.28399658203125,91.45516967773438,93.5604019165039
Pet,96.2847900390625,89.36105346679688,87.57894897460938,89.03649139404297,97.9986572265625,92.91087341308594,98.40616607666016,92.05845642089844,99.12060546875,93.81156921386719,93.73558044433594,90.18677520751953,99.57032012939453,96.6396255493164,97.56170654296875,96.3934555053711,87.65111541748047,95.28399658203125,90.21730041503906,93.3024673461914
Mammal,96.2847900390625,92.49081420898438,91.41432189941406,91.9535903930664,97.9986572265625,93.81554412841797,98.40616607666016,92.67503356933594,99.12060546875,94.68846130371094,93.73558044433594,91.72504425048828,99.57032012939453,96.6396255493164,97.56170654296875,96.79385375976562,87.24072265625,95.28399658203125,91.45516967773438,93.5604019165039
Hound,96.2847900390625,87.45850372314453,73.39029693603516,0.0,97.9986572265625,0.0,0.0,86.68680572509766,0.0,0.0,0.0,79.09380340576172,63.67549514770508,0.0,0.0,76.381591796875,0.0,0.0,0.0,0.0
Animal,96.2847900390625,92.7706069946289,94.50961303710938,91.9535903930664,97.9986572265625,93.81554412841797,98.40616607666016,92.67503356933594,99.12060546875,94.68846130371094,93.73558044433594,91.72504425048828,99.57032012939453,96.6396255493164,97.56170654296875,96.79385375976562,87.65111541748047,95.28399658203125,91.45516967773438,93.5604019165039
Afghan Hound,69.68284606933594,0.0,0.0,0.0,0.0,0.0,0.0,59.66999053955078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.366050720214844,0.0,0.0,0.0,0.0
Terrier,56.67914962768555,0.0,0.0,0.0,0.0,0.0,55.033626556396484,0.0,93.770263671875,80.84651184082031,82.2394790649414,70.0711669921875,87.68541717529297,67.39151000976562,67.14290618896484,55.74045181274414,0.0,66.31449890136719,63.86780548095703,0.0
Human,0.0,0.0,99.66033935546875,0.0,0.0,0.0,77.87017059326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.28623962402344,0.0,0.0,0.0
Person,0.0,0.0,99.66033935546875,0.0,0.0,0.0,77.87017059326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.28623962402344,0.0,0.0,0.0
Clothing,0.0,0.0,91.9421615600586,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,91.9421615600586,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pants,0.0,0.0,91.9421615600586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,62.88810348510742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
