,재패니즈 친_1,재패니즈 친_2,재패니즈 친_3,재패니즈 친_4,재패니즈 친_5,재패니즈 친_6,재패니즈 친_7,재패니즈 친_8,재패니즈 친_9,재패니즈 친_10,재패니즈 친_11,재패니즈 친_12,재패니즈 친_13,재패니즈 친_14,재패니즈 친_15,재패니즈 친_16,재패니즈 친_17,재패니즈 친_18,재패니즈 친_19,재패니즈 친_20
Mammal,98.10730743408203,90.5001449584961,88.61276245117188,99.64271545410156,95.96686553955078,93.35227966308594,86.15560150146484,92.80078125,99.74848937988281,88.23878479003906,74.84950256347656,93.78369903564453,90.27706146240234,98.29084777832031,96.02964782714844,99.34579467773438,99.6672134399414,58.38178634643555,98.77328491210938,87.06932067871094
Dog,98.10730743408203,85.40104675292969,68.505126953125,99.64271545410156,95.96686553955078,91.61165618896484,62.16253662109375,91.43712615966797,99.74848937988281,85.16435241699219,0.0,90.86454010009766,61.916622161865234,93.73509979248047,96.02964782714844,99.34579467773438,99.6672134399414,0.0,98.77328491210938,67.29924011230469
Puppy,98.10730743408203,80.06156158447266,58.36966323852539,99.64271545410156,95.96686553955078,0.0,0.0,89.83771514892578,99.74848937988281,85.16435241699219,0.0,0.0,0.0,0.0,73.14388275146484,99.34579467773438,99.6672134399414,0.0,98.77328491210938,67.29924011230469
Canine,98.10730743408203,86.96458435058594,88.61276245117188,99.64271545410156,95.96686553955078,93.35227966308594,85.50923156738281,92.80078125,99.74848937988281,85.54170989990234,74.84950256347656,93.78369903564453,63.60320281982422,95.55284881591797,96.02964782714844,99.34579467773438,99.6672134399414,58.38178634643555,98.77328491210938,76.76535034179688
Pet,98.10730743408203,85.40104675292969,91.53437042236328,99.64271545410156,95.96686553955078,91.91661834716797,85.71952056884766,92.18267822265625,99.74848937988281,90.01791381835938,73.93417358398438,90.86454010009766,79.8642578125,93.74472045898438,96.02964782714844,99.34579467773438,99.6672134399414,62.30603790283203,98.77328491210938,89.74546813964844
Animal,98.10730743408203,90.5001449584961,91.53437042236328,99.64271545410156,95.96686553955078,93.35227966308594,86.15560150146484,92.80078125,99.74848937988281,90.01791381835938,74.84950256347656,93.78369903564453,90.27706146240234,98.29084777832031,96.02964782714844,99.34579467773438,99.6672134399414,62.30603790283203,98.77328491210938,89.74546813964844
Terrier,60.03351593017578,0.0,65.7943344116211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,57.94806671142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.29084777832031,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,86.91426849365234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.12545013427734,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,86.91426849365234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.12545013427734,0.0,0.0,0.0,0.0,0.0
Collie,0.0,0.0,68.505126953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.56585693359375,0.0,0.0,0.0,0.0,0.0,0.0
Wedding Gown,0.0,0.0,56.583030700683594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robe,0.0,0.0,56.583030700683594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fashion,0.0,0.0,56.583030700683594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wedding,0.0,0.0,56.583030700683594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gown,0.0,0.0,56.583030700683594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,56.583030700683594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,56.583030700683594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,67.52894592285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snout,0.0,0.0,0.0,0.0,58.49581527709961,0.0,0.0,0.0,0.0,0.0,92.8338623046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,56.9320068359375,0.0,0.0,0.0,0.0,58.332054138183594,0.0,0.0,0.0,0.0,0.0,0.0,57.63344955444336,0.0,0.0,0.0
Pillow,0.0,0.0,0.0,0.0,56.9320068359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.63344955444336,0.0,0.0,0.0
Papillon,0.0,0.0,0.0,0.0,0.0,85.88788604736328,0.0,0.0,0.0,0.0,0.0,60.35662841796875,0.0,76.44342803955078,96.02964782714844,0.0,0.0,0.0,81.9071273803711,0.0
Cocker Spaniel,0.0,0.0,0.0,0.0,0.0,85.88788604736328,0.0,0.0,0.0,0.0,0.0,60.35662841796875,0.0,76.44342803955078,96.02964782714844,56.509483337402344,0.0,0.0,81.9071273803711,0.0
Spaniel,0.0,0.0,0.0,0.0,0.0,85.88788604736328,0.0,0.0,0.0,0.0,0.0,60.35662841796875,0.0,76.44342803955078,96.02964782714844,56.509483337402344,0.0,0.0,81.9071273803711,0.0
Plant,0.0,0.0,0.0,0.0,0.0,72.04729461669922,60.203304290771484,55.319007873535156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,72.04729461669922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,82.10995483398438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor,0.0,0.0,0.0,0.0,0.0,0.0,80.80386352539062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flooring,0.0,0.0,0.0,0.0,0.0,0.0,72.50129699707031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,0.0,0.0,0.0,0.0,69.4726791381836,0.0,0.0,77.66702270507812,0.0,0.0,55.34218215942383,0.0,0.0,0.0,0.0,0.0,0.0,73.20232391357422
Manx,0.0,0.0,0.0,0.0,0.0,0.0,69.4726791381836,0.0,0.0,77.66702270507812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,0.0,0.0,0.0,0.0,0.0,62.16253662109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vase,0.0,0.0,0.0,0.0,0.0,0.0,60.203304290771484,60.70859909057617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Potted Plant,0.0,0.0,0.0,0.0,0.0,0.0,60.203304290771484,55.319007873535156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pottery,0.0,0.0,0.0,0.0,0.0,0.0,60.203304290771484,60.70859909057617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jar,0.0,0.0,0.0,0.0,0.0,0.0,60.203304290771484,60.70859909057617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leash,0.0,0.0,0.0,0.0,0.0,0.0,56.65882110595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulldog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.43712615966797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston Bull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.43712615966797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.12727355957031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.069210052490234,0.0,0.0,57.199302673339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.069210052490234,0.0,0.0,57.199302673339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.80715942382812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.82038116455078,0.0,0.0,0.0,0.0,0.0,0.0,74.47608184814453,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.82038116455078,0.0,0.0,0.0,0.0,0.0,0.0,74.47608184814453,0.0,0.0
Winter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.38904571533203,0.0,0.0,0.0,85.46166229248047,0.0,0.0,0.0
Snowman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.38904571533203,0.0,0.0,0.0,85.46166229248047,0.0,0.0,0.0
Snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.38904571533203,0.0,0.0,0.0,85.46166229248047,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.38904571533203,0.0,0.0,0.0,85.46166229248047,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.38904571533203,0.0,0.0,0.0,85.46166229248047,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.40862274169922,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.48107147216797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.47608184814453,0.0,0.0
