,잭 러셀 테리어_1,잭 러셀 테리어_2,잭 러셀 테리어_3,잭 러셀 테리어_4,잭 러셀 테리어_5,잭 러셀 테리어_6,잭 러셀 테리어_7,잭 러셀 테리어_8,잭 러셀 테리어_9,잭 러셀 테리어_10,잭 러셀 테리어_11,잭 러셀 테리어_12,잭 러셀 테리어_13,잭 러셀 테리어_14,잭 러셀 테리어_15,잭 러셀 테리어_16,잭 러셀 테리어_17,잭 러셀 테리어_18,잭 러셀 테리어_19,잭 러셀 테리어_20
Dog,97.9986572265625,0.0,93.62459564208984,0.0,99.69771575927734,95.17888641357422,99.4124526977539,99.33948516845703,96.82008361816406,99.61784362792969,97.04469299316406,97.55105590820312,98.17377471923828,98.5531997680664,87.5616683959961,89.59149932861328,99.24629211425781,79.04208374023438,93.4077377319336,96.7730941772461
Canine,97.9986572265625,0.0,93.99748992919922,0.0,99.69771575927734,95.17888641357422,99.4124526977539,99.33948516845703,96.82008361816406,99.61784362792969,97.04469299316406,97.55105590820312,98.17377471923828,98.5531997680664,90.79967498779297,89.59149932861328,99.24629211425781,80.00843048095703,93.4077377319336,96.7730941772461
Pet,97.9986572265625,0.0,95.21717071533203,0.0,99.69771575927734,95.17888641357422,99.4124526977539,99.33948516845703,96.82008361816406,99.61784362792969,97.04469299316406,97.55105590820312,98.17377471923828,98.5531997680664,89.80684661865234,89.59149932861328,99.24629211425781,80.89665222167969,93.4077377319336,96.7730941772461
Mammal,97.9986572265625,83.0473403930664,93.99748992919922,0.0,99.69771575927734,95.17888641357422,99.4124526977539,99.33948516845703,96.82008361816406,99.61784362792969,97.04469299316406,97.55105590820312,98.17377471923828,98.5531997680664,90.79967498779297,89.59149932861328,99.24629211425781,80.00843048095703,93.4077377319336,96.7730941772461
Hound,97.9986572265625,0.0,0.0,0.0,77.30412292480469,66.7170639038086,0.0,0.0,96.82008361816406,0.0,68.30619812011719,0.0,74.4455337524414,90.39640045166016,87.5616683959961,89.59149932861328,99.24629211425781,0.0,58.001583099365234,96.7730941772461
Animal,97.9986572265625,84.74945831298828,95.21717071533203,0.0,99.69771575927734,95.17888641357422,99.4124526977539,99.33948516845703,96.82008361816406,99.61784362792969,97.04469299316406,97.55105590820312,98.17377471923828,98.5531997680664,90.79967498779297,89.59149932861328,99.24629211425781,85.20045471191406,93.4077377319336,96.7730941772461
Beagle,92.60521697998047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.37149810791016,0.0,0.0,0.0,0.0,64.22698974609375,67.3543472290039,61.80192565917969,98.01783752441406,0.0,0.0,90.8428726196289
Grass,76.81233215332031,0.0,0.0,0.0,75.5531997680664,0.0,0.0,88.45281982421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,76.81233215332031,0.0,0.0,0.0,75.5531997680664,0.0,0.0,88.45281982421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.79480743408203,0.0
Human,0.0,95.48637390136719,0.0,94.32433319091797,0.0,0.0,0.0,0.0,0.0,92.78089141845703,0.0,64.46247863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,95.48637390136719,0.0,94.32433319091797,0.0,0.0,0.0,0.0,0.0,92.78089141845703,0.0,64.46247863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Word,0.0,86.65850830078125,0.0,0.0,0.0,0.0,0.0,0.0,63.15092086791992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bull,0.0,56.77275466918945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,0.0,56.02336883544922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,78.8932876586914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,75.2303466796875,0.0,0.0,94.9410629272461,0.0,0.0,56.920475006103516,0.0,0.0,0.0,91.06722259521484,98.5531997680664,73.60213470458984,0.0,0.0,0.0,93.4077377319336,93.64045715332031
White Dog,0.0,0.0,57.83012390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,0.0,0.0,56.7122917175293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,98.06627655029297,0.0,0.0,0.0,0.0,0.0,79.8268814086914,0.0,0.0,0.0,0.0,0.0,72.95974731445312,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,98.06627655029297,0.0,0.0,0.0,0.0,0.0,79.8268814086914,0.0,0.0,0.0,0.0,0.0,72.95974731445312,0.0,0.0,0.0,0.0
Performer,0.0,0.0,0.0,90.11248016357422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacket,0.0,0.0,0.0,87.00846862792969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coat,0.0,0.0,0.0,87.00846862792969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blazer,0.0,0.0,0.0,87.00846862792969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pants,0.0,0.0,0.0,76.87578582763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,68.14567565917969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.39579772949219,0.0,0.0,0.0,0.0,62.805145263671875
