,저먼 셰퍼드_1,저먼 셰퍼드_2,저먼 셰퍼드_3,저먼 셰퍼드_4,저먼 셰퍼드_5,저먼 셰퍼드_6,저먼 셰퍼드_7,저먼 셰퍼드_8,저먼 셰퍼드_9,저먼 셰퍼드_10,저먼 셰퍼드_11,저먼 셰퍼드_12,저먼 셰퍼드_13,저먼 셰퍼드_14,저먼 셰퍼드_15,저먼 셰퍼드_16,저먼 셰퍼드_17,저먼 셰퍼드_18,저먼 셰퍼드_19,저먼 셰퍼드_20
Dog,99.2337646484375,91.08869171142578,89.06198120117188,0.0,99.91950225830078,99.63462829589844,99.18355560302734,99.25012969970703,99.72312927246094,99.70603942871094,99.88115692138672,99.53630065917969,97.29342651367188,99.21681213378906,92.83076477050781,99.15013122558594,91.23064422607422,81.24725341796875,94.60079956054688,90.03935241699219
German Shepherd,99.2337646484375,0.0,0.0,0.0,99.91950225830078,99.63462829589844,99.18355560302734,99.25012969970703,99.72312927246094,99.70603942871094,99.03646087646484,99.53630065917969,97.29342651367188,99.21681213378906,0.0,99.15013122558594,0.0,0.0,94.60079956054688,89.0914077758789
Mammal,99.2337646484375,91.08869171142578,90.47599029541016,86.01485443115234,99.91950225830078,99.63462829589844,99.7734375,99.25012969970703,99.72312927246094,99.70603942871094,99.88115692138672,99.53630065917969,97.29342651367188,99.21681213378906,93.38090515136719,99.15013122558594,91.82191467285156,91.64677429199219,94.60079956054688,92.94664001464844
Pet,99.2337646484375,91.08869171142578,89.06198120117188,0.0,99.91950225830078,99.63462829589844,99.18355560302734,99.25012969970703,99.72312927246094,99.70603942871094,99.88115692138672,99.53630065917969,97.29342651367188,99.21681213378906,93.00457763671875,99.15013122558594,91.48619842529297,88.97822570800781,94.60079956054688,90.03935241699219
Animal,99.2337646484375,91.3493881225586,90.47599029541016,90.94609832763672,99.91950225830078,99.63462829589844,99.7734375,99.25012969970703,99.72312927246094,99.70603942871094,99.88115692138672,99.53630065917969,97.29342651367188,99.21681213378906,93.38090515136719,99.15013122558594,91.87177276611328,92.73428344726562,94.60079956054688,92.94664001464844
Canine,99.2337646484375,91.08869171142578,90.47599029541016,56.50526428222656,99.91950225830078,99.63462829589844,99.18355560302734,99.25012969970703,99.72312927246094,99.70603942871094,99.88115692138672,99.53630065917969,97.29342651367188,99.21681213378906,93.38090515136719,99.15013122558594,91.82191467285156,91.23141479492188,94.60079956054688,92.94664001464844
Art,74.54735565185547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Painting,74.54735565185547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,91.08869171142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.24725341796875,0.0,0.0
Puppy,0.0,89.50238037109375,56.57111740112305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.505043029785156,0.0
Beagle,0.0,59.03435134887695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
