,저먼 쇼트헤어드 포인터_1,저먼 쇼트헤어드 포인터_2,저먼 쇼트헤어드 포인터_3,저먼 쇼트헤어드 포인터_4,저먼 쇼트헤어드 포인터_5,저먼 쇼트헤어드 포인터_6,저먼 쇼트헤어드 포인터_7,저먼 쇼트헤어드 포인터_8,저먼 쇼트헤어드 포인터_9,저먼 쇼트헤어드 포인터_10,저먼 쇼트헤어드 포인터_11,저먼 쇼트헤어드 포인터_12,저먼 쇼트헤어드 포인터_13,저먼 쇼트헤어드 포인터_14,저먼 쇼트헤어드 포인터_15,저먼 쇼트헤어드 포인터_16,저먼 쇼트헤어드 포인터_17,저먼 쇼트헤어드 포인터_18,저먼 쇼트헤어드 포인터_19,저먼 쇼트헤어드 포인터_20
Animal,90.06754302978516,90.80077362060547,91.44285583496094,97.99406433105469,97.1361312866211,92.64393615722656,92.45252990722656,92.24098205566406,99.22205352783203,93.71321868896484,92.88748931884766,94.90780639648438,98.37256622314453,98.08671569824219,95.14861297607422,93.13570404052734,93.5062484741211,97.48905181884766,98.80996704101562,95.650390625
Mammal,84.85304260253906,90.41586303710938,91.44285583496094,97.99406433105469,97.1361312866211,92.64393615722656,91.76229095458984,92.24098205566406,99.22205352783203,93.71321868896484,91.65319061279297,94.90780639648438,98.37256622314453,98.08671569824219,95.14861297607422,93.13570404052734,93.27413940429688,97.48905181884766,98.80996704101562,95.650390625
Brochure,80.67451477050781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poster,80.67451477050781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,80.67451477050781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,80.67451477050781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flyer,80.67451477050781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,78.91071319580078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
License,78.91071319580078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Driving License,78.91071319580078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Document,78.91071319580078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,65.65049743652344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot,59.2687873840332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diagram,57.811405181884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bird,57.04564666748047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Word,55.32748794555664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green,0.0,98.55757141113281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canine,0.0,90.41586303710938,91.44285583496094,97.99406433105469,97.1361312866211,92.64393615722656,91.76229095458984,92.24098205566406,99.22205352783203,93.71321868896484,91.65319061279297,94.90780639648438,98.37256622314453,98.08671569824219,95.14861297607422,93.13570404052734,93.27413940429688,97.48905181884766,98.80996704101562,95.650390625
Tool,0.0,89.60436248779297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Axe,0.0,89.60436248779297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pet,0.0,89.37592315673828,91.44285583496094,97.99406433105469,97.1361312866211,91.58438873291016,90.77079772949219,92.24098205566406,99.22205352783203,92.91278839111328,92.88748931884766,94.90780639648438,98.37256622314453,98.08671569824219,94.29642486572266,93.13570404052734,93.5062484741211,97.48905181884766,98.80996704101562,94.90135192871094
Dog,0.0,89.37592315673828,91.44285583496094,97.99406433105469,97.1361312866211,91.58438873291016,90.77079772949219,92.24098205566406,99.22205352783203,92.91278839111328,91.02661895751953,94.90780639648438,98.37256622314453,98.08671569824219,84.04885864257812,93.13570404052734,92.58595275878906,97.48905181884766,98.80996704101562,94.90135192871094
Pointer,0.0,86.17308044433594,0.0,97.99406433105469,97.1361312866211,75.51297760009766,56.687747955322266,0.0,86.50865173339844,92.91278839111328,91.01144409179688,94.90780639648438,98.37256622314453,98.08671569824219,84.04885864257812,93.13570404052734,89.04435729980469,97.48905181884766,98.80996704101562,0.0
Grass,0.0,86.08556365966797,0.0,0.0,0.0,61.591392517089844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,86.08556365966797,0.0,0.0,0.0,61.591392517089844,0.0,0.0,59.029823303222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Field,0.0,57.58964538574219,0.0,0.0,0.0,0.0,0.0,0.0,55.67557144165039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,57.58964538574219,0.0,0.0,0.0,0.0,0.0,0.0,55.67557144165039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,57.58964538574219,0.0,0.0,0.0,0.0,64.97871398925781,0.0,55.67557144165039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulldog,0.0,0.0,91.44285583496094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pitbull,0.0,0.0,85.40111541748047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,59.01207733154297,0.0,0.0,0.0,0.0,70.90748596191406,0.0,0.0,0.0,0.0,0.0,0.0,74.47081756591797,0.0,0.0,0.0,0.0,88.04583740234375
Person,0.0,0.0,59.01207733154297,0.0,0.0,0.0,0.0,70.90748596191406,0.0,0.0,0.0,0.0,0.0,0.0,74.47081756591797,0.0,0.0,0.0,0.0,88.04583740234375
Hound,0.0,0.0,0.0,0.0,0.0,57.97752380371094,90.77079772949219,92.24098205566406,64.10169982910156,0.0,70.49205780029297,0.0,0.0,0.0,0.0,0.0,74.77368927001953,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,0.0,70.82020568847656,80.73485565185547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,0.0,0.0,0.0,0.0,0.0,0.0,64.97871398925781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,64.97871398925781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,0.0,0.0,0.0,0.0,0.0,0.0,64.97871398925781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,0.0,0.0,0.0,0.0,0.0,64.97871398925781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standing,0.0,0.0,0.0,0.0,0.0,0.0,64.66830444335938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,59.33684539794922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,0.0,0.0,0.0,0.0,58.0292854309082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.17310333251953,0.0,75.35210418701172,0.0,0.0,0.0
Beagle,0.0,0.0,0.0,0.0,0.0,0.0,55.21717834472656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
