,저먼 와이어헤어드 포인터_1,저먼 와이어헤어드 포인터_2,저먼 와이어헤어드 포인터_3,저먼 와이어헤어드 포인터_4,저먼 와이어헤어드 포인터_5,저먼 와이어헤어드 포인터_6,저먼 와이어헤어드 포인터_7,저먼 와이어헤어드 포인터_8,저먼 와이어헤어드 포인터_9,저먼 와이어헤어드 포인터_10,저먼 와이어헤어드 포인터_11,저먼 와이어헤어드 포인터_12,저먼 와이어헤어드 포인터_13,저먼 와이어헤어드 포인터_14,저먼 와이어헤어드 포인터_15,저먼 와이어헤어드 포인터_16,저먼 와이어헤어드 포인터_17,저먼 와이어헤어드 포인터_18,저먼 와이어헤어드 포인터_19,저먼 와이어헤어드 포인터_20
Animal,93.97443389892578,96.29327392578125,99.0597915649414,98.33927154541016,99.97025299072266,97.02692413330078,94.64144134521484,98.25387573242188,99.22205352783203,98.84199523925781,92.45252990722656,91.43611145019531,90.06754302978516,92.48954772949219,96.1268081665039,89.26258850097656,92.8106689453125,89.6197738647461,98.97195434570312,93.47138977050781
Mammal,93.97443389892578,96.29327392578125,99.0597915649414,98.33927154541016,99.97025299072266,97.02692413330078,94.64144134521484,98.25387573242188,99.22205352783203,98.84199523925781,91.76229095458984,91.43611145019531,84.85304260253906,92.32476806640625,95.95071411132812,89.26258850097656,91.58148193359375,89.6197738647461,98.97195434570312,93.47138977050781
Canine,91.08283996582031,96.29327392578125,99.0597915649414,98.33927154541016,89.92941284179688,97.02692413330078,89.1796646118164,98.25387573242188,99.22205352783203,98.84199523925781,91.76229095458984,91.43611145019531,0.0,92.32476806640625,95.95071411132812,89.26258850097656,91.58148193359375,87.75851440429688,98.97195434570312,93.47138977050781
Pointer,88.5617446899414,79.8348617553711,99.0597915649414,75.515380859375,0.0,0.0,82.39744567871094,98.25387573242188,86.50865173339844,0.0,56.68775177001953,89.132080078125,0.0,65.7967758178711,84.90719604492188,58.45564270019531,88.65116882324219,74.3465347290039,98.97195434570312,81.9557876586914
Pet,88.5617446899414,96.29327392578125,99.0597915649414,98.33927154541016,89.07119750976562,97.02692413330078,89.12725830078125,98.25387573242188,99.22205352783203,98.84199523925781,90.77078247070312,90.93865203857422,0.0,89.31908416748047,96.1268081665039,88.45213317871094,92.8106689453125,89.04170989990234,98.97195434570312,92.37904357910156
Dog,88.5617446899414,96.29327392578125,99.0597915649414,98.33927154541016,89.07119750976562,97.02692413330078,86.29598999023438,98.25387573242188,99.22205352783203,98.84199523925781,90.77078247070312,89.8927993774414,0.0,87.801513671875,95.64845275878906,87.19941711425781,91.34555053710938,87.7056884765625,98.97195434570312,91.80733489990234
Hound,0.0,82.23834991455078,0.0,55.89342498779297,0.0,0.0,0.0,0.0,64.10169982910156,98.84199523925781,90.77078247070312,65.36288452148438,0.0,72.16584777832031,0.0,62.856571197509766,65.55763244628906,0.0,0.0,0.0
Spaniel,0.0,56.07016372680664,0.0,59.47026443481445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocker Spaniel,0.0,56.07016372680664,0.0,59.47026443481445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,99.97025299072266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,65.77530670166016,0.0,0.0,0.0,59.029823303222656,58.48974609375,0.0,0.0,0.0,0.0,0.0,65.61201477050781,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,65.77530670166016,0.0,0.0,0.0,0.0,58.48974609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,59.56270980834961,0.0,0.0,0.0,0.0,0.0,70.82024383544922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,0.0,0.0,55.62942123413086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Labrador Retriever,0.0,0.0,0.0,0.0,0.0,95.87755584716797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouth,0.0,0.0,0.0,0.0,0.0,55.3179817199707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lip,0.0,0.0,0.0,0.0,0.0,55.3179817199707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaguar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.57757568359375,0.0,0.0,0.0,0.0,0.0,64.72402954101562,0.0,0.0,0.0,0.0,0.0,0.0
Panther,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.57757568359375,0.0,0.0,0.0,0.0,0.0,64.72402954101562,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.57757568359375,0.0,0.0,0.0,0.0,0.0,79.4610824584961,0.0,0.0,0.0,0.0,0.0,0.0
