,저먼 핀셔_1,저먼 핀셔_2,저먼 핀셔_3,저먼 핀셔_4,저먼 핀셔_5,저먼 핀셔_6,저먼 핀셔_7,저먼 핀셔_8,저먼 핀셔_9,저먼 핀셔_10,저먼 핀셔_11,저먼 핀셔_12,저먼 핀셔_13,저먼 핀셔_14,저먼 핀셔_15,저먼 핀셔_16,저먼 핀셔_17,저먼 핀셔_18,저먼 핀셔_19,저먼 핀셔_20
Strap,99.98827362060547,0.0,0.0,0.0,93.21111297607422,0.0,0.0,0.0,0.0,0.0,69.22599792480469,68.25447082519531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,99.69385528564453,75.47681427001953,74.44571685791016,92.4026107788086,90.41654968261719,0.0,0.0,0.0,73.73175048828125,86.32096862792969,0.0,73.17576599121094,0.0,0.0,63.720619201660156,0.0,86.80538177490234,0.0,0.0,97.51507568359375
Person,99.69385528564453,75.47681427001953,74.44571685791016,92.4026107788086,90.41654968261719,0.0,0.0,0.0,73.73175048828125,86.32096862792969,0.0,73.17576599121094,0.0,0.0,63.720619201660156,0.0,86.80538177490234,0.0,0.0,97.51507568359375
Canine,98.82978820800781,91.23141479492188,97.65467834472656,97.3415298461914,99.34857177734375,95.90090942382812,90.25457763671875,91.37835693359375,98.5827407836914,98.6404037475586,89.65658569335938,87.12706756591797,93.48614501953125,94.03227996826172,97.38297271728516,91.99105072021484,90.4623794555664,90.82182312011719,93.73192596435547,84.62749481201172
Animal,98.82978820800781,92.73428344726562,97.65467834472656,97.3415298461914,99.34857177734375,95.90090942382812,90.25457763671875,91.87454223632812,98.5827407836914,98.6404037475586,89.65658569335938,87.12706756591797,93.48614501953125,94.03227996826172,97.38297271728516,91.99105072021484,90.4623794555664,90.82182312011719,95.06175994873047,84.62749481201172
Mammal,98.82978820800781,91.64677429199219,97.65467834472656,97.3415298461914,99.34857177734375,95.90090942382812,90.25457763671875,91.37835693359375,98.5827407836914,98.6404037475586,89.65658569335938,87.12706756591797,93.48614501953125,94.03227996826172,97.38297271728516,91.99105072021484,90.4623794555664,90.82182312011719,93.73192596435547,84.62749481201172
Dog,98.82978820800781,81.24725341796875,97.65467834472656,97.3415298461914,99.34857177734375,94.23680877685547,88.47120666503906,90.64353942871094,98.5827407836914,98.6404037475586,89.65658569335938,83.96395111083984,92.52562713623047,94.03227996826172,97.38297271728516,89.83934783935547,84.32291412353516,88.72881317138672,93.59246063232422,73.20037078857422
Pet,98.82978820800781,88.97822570800781,97.65467834472656,97.3415298461914,99.34857177734375,94.69013214111328,89.71383666992188,91.87454223632812,98.5827407836914,98.6404037475586,89.65658569335938,84.23037719726562,93.19109344482422,94.03227996826172,97.38297271728516,91.21745300292969,86.6896743774414,90.62294006347656,95.06175994873047,82.33712768554688
Leash,97.21768951416016,0.0,0.0,0.0,56.93089294433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,93.36061096191406,0.0,74.72306823730469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.02849578857422,0.0,64.589599609375,0.0,0.0
