,저먼 헌팅 테리어_1,저먼 헌팅 테리어_2,저먼 헌팅 테리어_3,저먼 헌팅 테리어_4,저먼 헌팅 테리어_5,저먼 헌팅 테리어_6,저먼 헌팅 테리어_7,저먼 헌팅 테리어_8,저먼 헌팅 테리어_9,저먼 헌팅 테리어_10,저먼 헌팅 테리어_11,저먼 헌팅 테리어_12,저먼 헌팅 테리어_13,저먼 헌팅 테리어_14,저먼 헌팅 테리어_15,저먼 헌팅 테리어_16,저먼 헌팅 테리어_17,저먼 헌팅 테리어_18,저먼 헌팅 테리어_19,저먼 헌팅 테리어_20
Mammal,95.94469451904297,92.15035247802734,88.00888061523438,92.70244598388672,90.87057495117188,93.6201400756836,73.3213882446289,99.79810333251953,92.72002410888672,85.87799072265625,0.0,92.73466491699219,93.72713470458984,68.37751770019531,94.07917785644531,0.0,90.43264770507812,87.34520721435547,94.51846313476562,83.50180053710938
Canine,95.94469451904297,92.15035247802734,88.00888061523438,92.70244598388672,90.87057495117188,93.6201400756836,73.3213882446289,99.79810333251953,92.72002410888672,85.87799072265625,0.0,91.28578186035156,93.72713470458984,66.40836334228516,94.07917785644531,0.0,90.43264770507812,87.34520721435547,94.51846313476562,83.50180053710938
Animal,95.94469451904297,92.15035247802734,89.0602798461914,92.70244598388672,90.87057495117188,93.6201400756836,73.3213882446289,99.79810333251953,92.72002410888672,85.87799072265625,0.0,92.73466491699219,93.72713470458984,71.17019653320312,94.07917785644531,0.0,90.43264770507812,87.34520721435547,94.51846313476562,83.50180053710938
Pet,95.21019744873047,92.15035247802734,89.0602798461914,92.70244598388672,90.34626770019531,93.39815521240234,71.50496673583984,99.79810333251953,92.56935119628906,82.43263244628906,0.0,88.70823669433594,93.34058380126953,71.17019653320312,93.53179931640625,0.0,89.43431854248047,87.34520721435547,93.59781646728516,82.75200653076172
Dog,94.80323791503906,92.15035247802734,87.06488800048828,92.70244598388672,89.7125244140625,92.8700942993164,67.62537384033203,99.79810333251953,90.50630950927734,57.5680046081543,0.0,88.70823669433594,92.34320831298828,0.0,93.53179931640625,0.0,88.79191589355469,87.34520721435547,93.56853485107422,80.65897369384766
Terrier,81.44698333740234,0.0,55.9353141784668,0.0,74.10596466064453,0.0,0.0,73.3443374633789,0.0,0.0,0.0,56.202354431152344,0.0,0.0,0.0,0.0,0.0,0.0,61.15215301513672,0.0
Airedale,60.14277267456055,0.0,0.0,0.0,0.0,0.0,0.0,56.96626281738281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snout,0.0,61.66913604736328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,59.62782669067383,59.393829345703125,92.70244598388672,70.18922424316406,0.0,0.0,0.0,80.30453491210938,0.0,0.0,67.87499237060547,89.64400482177734,0.0,93.53179931640625,0.0,65.25900268554688,87.34520721435547,64.30162048339844,0.0
Strap,0.0,58.95930480957031,0.0,0.0,0.0,0.0,0.0,92.33281707763672,0.0,72.05947875976562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0452651977539,0.0,98.30038452148438
Word,0.0,57.333030700683594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.78618621826172,0.0,0.0,91.89794921875,0.0,0.0,0.0,0.0,0.0,0.0
Pointer,0.0,55.43248748779297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.02768325805664,0.0
Tire,0.0,0.0,55.843048095703125,66.22184753417969,0.0,0.0,0.0,55.836326599121094,68.50737762451172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghan Hound,0.0,0.0,0.0,64.81430053710938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,80.67607879638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,80.67607879638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Field,0.0,0.0,0.0,0.0,59.210960388183594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,0.0,0.0,0.0,58.29764938354492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,58.29764938354492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.97342681884766,0.0,0.0,0.0
Labrador Retriever,0.0,0.0,0.0,0.0,0.0,92.8700942993164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.07124328613281
Concrete,0.0,0.0,0.0,0.0,0.0,0.0,75.72930908203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Walkway,0.0,0.0,0.0,0.0,0.0,0.0,58.41852951049805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Path,0.0,0.0,0.0,0.0,0.0,0.0,58.41852951049805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slate,0.0,0.0,0.0,0.0,0.0,0.0,57.55507278442383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flagstone,0.0,0.0,0.0,0.0,0.0,0.0,56.18980026245117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tar,0.0,0.0,0.0,0.0,0.0,0.0,55.71359634399414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.1987075805664,0.0,74.50279998779297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.1987075805664,0.0,74.50279998779297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.44694137573242,0.0,57.34353256225586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appenzeller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.82208251953125,0.0,0.0,0.0,0.0,74.09611511230469,0.0,88.80188751220703,0.0,0.0,59.134830474853516,0.0,0.0
