,제주개_1,제주개_2,제주개_3,제주개_4,제주개_5,제주개_6,제주개_7,제주개_8,제주개_9,제주개_10,제주개_11,제주개_12,제주개_13,제주개_14,제주개_15,제주개_16,제주개_17,제주개_18,제주개_19,제주개_20
Animal,94.05121612548828,92.8118896484375,97.93095397949219,98.75019836425781,99.3452377319336,86.1555404663086,73.00944519042969,99.6476821899414,98.29556274414062,90.5666275024414,85.77227783203125,96.23878479003906,92.0272216796875,95.21025848388672,91.46510314941406,85.34346008300781,87.13169860839844,88.0522689819336,94.88518524169922,94.58191680908203
Mammal,93.19149017333984,90.02081298828125,97.93095397949219,98.75019836425781,99.3452377319336,86.1555404663086,73.00944519042969,99.6476821899414,98.29556274414062,90.5666275024414,85.77227783203125,96.23878479003906,91.21166229248047,95.21025848388672,91.46510314941406,85.1765365600586,86.93034362792969,88.0522689819336,94.65904998779297,94.58191680908203
Canine,93.19149017333984,90.02081298828125,97.93095397949219,98.75019836425781,99.3452377319336,86.1555404663086,73.00944519042969,99.6476821899414,98.29556274414062,90.5666275024414,85.77227783203125,96.23878479003906,90.05713653564453,95.21025848388672,91.46510314941406,85.1765365600586,86.93034362792969,88.0522689819336,94.65904998779297,94.58191680908203
Pet,91.52787780761719,89.3326416015625,97.93095397949219,98.75019836425781,99.3452377319336,86.1555404663086,73.00944519042969,99.6476821899414,98.29556274414062,90.5666275024414,85.77227783203125,96.23878479003906,90.82003784179688,95.21025848388672,90.0992202758789,85.34346008300781,87.13169860839844,86.90460968017578,94.88518524169922,94.58191680908203
Dog,90.80262756347656,88.68195343017578,97.93095397949219,98.75019836425781,99.3452377319336,86.1555404663086,73.00944519042969,99.6476821899414,98.29556274414062,90.5666275024414,85.77227783203125,96.23878479003906,87.53020477294922,95.21025848388672,89.76667785644531,82.450927734375,85.91417694091797,84.56381225585938,93.84009552001953,94.58191680908203
Pig,76.42085266113281,0.0,97.14836883544922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,74.83857727050781,0.0,64.54452514648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.68426513671875,66.34161376953125,55.94265365600586,0.0,57.17013931274414,0.0,0.0,0.0
Husky,61.3097038269043,0.0,0.0,0.0,0.0,0.0,0.0,58.64550018310547,0.0,0.0,0.0,94.00318145751953,87.53020477294922,0.0,0.0,72.43302917480469,85.91417694091797,0.0,89.27632141113281,0.0
Eskimo Dog,55.85179138183594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.61588668823242,0.0,0.0,0.0,55.84977340698242,0.0,80.44684600830078,0.0
Wolf,0.0,69.64202880859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
