,진돗개_1,진돗개_2,진돗개_3,진돗개_4,진돗개_5,진돗개_6,진돗개_7,진돗개_8,진돗개_9,진돗개_10,진돗개_11,진돗개_12,진돗개_13,진돗개_14,진돗개_15,진돗개_16,진돗개_17,진돗개_18,진돗개_19,진돗개_20
Animal,97.2509994506836,85.44965362548828,96.60417175292969,95.03856658935547,93.66584014892578,95.2213134765625,94.2837142944336,99.6708755493164,92.2431411743164,92.5378189086914,98.9172592163086,92.1949462890625,86.54579162597656,90.70507049560547,93.97710418701172,93.41340637207031,96.47311401367188,92.99768829345703,96.10318756103516,93.09884643554688
Pet,97.2509994506836,76.485107421875,94.20378112792969,92.83729553222656,83.12602996826172,93.00267791748047,93.40814971923828,99.6708755493164,88.05760192871094,90.209716796875,98.9172592163086,86.89854431152344,86.54579162597656,0.0,90.92495727539062,91.79061126708984,96.47311401367188,91.4488296508789,95.48713684082031,93.09884643554688
Mammal,96.07622528076172,82.25975036621094,95.33700561523438,95.03856658935547,89.43602752685547,93.99903869628906,94.2837142944336,99.6708755493164,92.2431411743164,92.5378189086914,98.9172592163086,92.1949462890625,85.3230209350586,67.37149047851562,93.97710418701172,93.41340637207031,96.47311401367188,92.99768829345703,96.10318756103516,93.09884643554688
Diaper,88.55615997314453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.67776489257812,0.0,0.0,0.0,0.0,0.0,88.57275390625,0.0,0.0,0.0,0.0,0.0
Canine,86.47034454345703,82.25975036621094,95.33700561523438,95.03856658935547,89.43602752685547,93.99903869628906,94.2837142944336,99.6708755493164,92.2431411743164,90.7277603149414,98.9172592163086,92.1949462890625,82.6841049194336,0.0,93.97710418701172,93.41340637207031,96.47311401367188,92.99768829345703,96.10318756103516,93.09884643554688
Cat,85.77725219726562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dog,85.63550567626953,76.485107421875,78.9627914428711,92.83729553222656,75.36792755126953,90.4580307006836,92.73074340820312,99.6708755493164,87.73711395263672,89.71541595458984,98.9172592163086,86.89854431152344,82.6841049194336,0.0,90.55552673339844,91.4905014038086,96.47311401367188,91.4488296508789,95.16544342041016,93.09884643554688
Angora,55.57286071777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,71.52877807617188,57.36656188964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.805885314941406,0.0,0.0,57.061744689941406,0.0,0.0,0.0,0.0
Red Wolf,0.0,64.06631469726562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,64.06631469726562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,94.85649108886719,0.0,95.22570037841797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.40584564208984,0.0,0.0,0.0
Person,0.0,0.0,94.85649108886719,0.0,95.22570037841797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.40584564208984,0.0,0.0,0.0
Grass,0.0,0.0,94.47795867919922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.81133270263672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,94.47795867919922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.81133270263672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Shepherd,0.0,0.0,78.9627914428711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.46810531616211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standing,0.0,0.0,65.5545883178711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pants,0.0,0.0,61.47981643676758,0.0,75.27091217041016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,61.47981643676758,0.0,97.86626434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.02385711669922
Apparel,0.0,0.0,61.47981643676758,0.0,97.86626434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.02385711669922
Police Dog,0.0,0.0,58.99560546875,0.0,75.36792755126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,82.62337493896484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.31331253051758,0.0,68.04312133789062,0.0,96.47311401367188,0.0,0.0,0.0
Husky,0.0,0.0,0.0,78.39234924316406,0.0,0.0,0.0,0.0,58.97734451293945,0.0,0.0,0.0,61.45079803466797,0.0,85.45921325683594,57.319801330566406,88.28817749023438,0.0,58.3703498840332,0.0
Eskimo Dog,0.0,0.0,0.0,77.13129425048828,0.0,75.93511962890625,87.14371490478516,0.0,73.52777862548828,70.75225830078125,0.0,0.0,0.0,0.0,0.0,0.0,56.25398635864258,0.0,81.1084976196289,0.0
Female,0.0,0.0,0.0,0.0,93.93302154541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman,0.0,0.0,0.0,0.0,93.93302154541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Child,0.0,0.0,0.0,0.0,93.93302154541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teen,0.0,0.0,0.0,0.0,93.93302154541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Girl,0.0,0.0,0.0,0.0,93.93302154541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kid,0.0,0.0,0.0,0.0,93.93302154541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blonde,0.0,0.0,0.0,0.0,93.93302154541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Face,0.0,0.0,0.0,0.0,93.46061706542969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costume,0.0,0.0,0.0,0.0,91.93950653076172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coat,0.0,0.0,0.0,0.0,83.98126983642578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacket,0.0,0.0,0.0,0.0,72.05680847167969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,62.743499755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Performer,0.0,0.0,0.0,0.0,59.738311767578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dress,0.0,0.0,0.0,0.0,57.91822052001953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,57.767913818359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
