,차우차우_1,차우차우_2,차우차우_3,차우차우_4,차우차우_5,차우차우_6,차우차우_7,차우차우_8,차우차우_9,차우차우_10,차우차우_11,차우차우_12,차우차우_13,차우차우_14,차우차우_15,차우차우_16,차우차우_17,차우차우_18,차우차우_19,차우차우_20
Animal,96.23979187011719,0.0,95.42449951171875,95.13794708251953,93.3305892944336,95.21951293945312,96.99291229248047,93.6584243774414,93.89061737060547,93.3493423461914,88.71907043457031,95.287841796875,93.15174865722656,92.41156005859375,96.23704528808594,97.1911392211914,96.98155212402344,0.0,95.21755981445312,93.54813385009766
Mammal,93.31277465820312,0.0,92.937744140625,94.51228332519531,88.23959350585938,95.21951293945312,96.99291229248047,93.01985931396484,92.7978744506836,93.3493423461914,88.71907043457031,91.96549987792969,92.86457824707031,90.61134338378906,96.23704528808594,97.1911392211914,96.98155212402344,0.0,95.21755981445312,93.54813385009766
Rabbit,76.02237701416016,0.0,0.0,0.0,56.94773483276367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodent,76.02237701416016,0.0,0.0,0.0,56.94773483276367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bunny,76.02237701416016,0.0,0.0,0.0,56.94773483276367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bird,74.89232635498047,0.0,0.0,0.0,77.8524169921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pet,72.48717498779297,0.0,91.25434875488281,94.32789611816406,82.43387603759766,90.09744262695312,96.99291229248047,86.59037017822266,90.94320678710938,92.83296203613281,88.71907043457031,0.0,92.76184844970703,86.21942901611328,96.23704528808594,97.1911392211914,93.894287109375,0.0,95.21755981445312,92.78736877441406
Pig,69.85679626464844,0.0,0.0,94.49153900146484,0.0,0.0,0.0,0.0,79.72418212890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Owl,55.058624267578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costume,0.0,99.39923858642578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
