,차이니즈 샤페이_1,차이니즈 샤페이_2,차이니즈 샤페이_3,차이니즈 샤페이_4,차이니즈 샤페이_5,차이니즈 샤페이_6,차이니즈 샤페이_7,차이니즈 샤페이_8,차이니즈 샤페이_9,차이니즈 샤페이_10,차이니즈 샤페이_11,차이니즈 샤페이_12,차이니즈 샤페이_13,차이니즈 샤페이_14,차이니즈 샤페이_15,차이니즈 샤페이_16,차이니즈 샤페이_17,차이니즈 샤페이_18,차이니즈 샤페이_19,차이니즈 샤페이_20
Animal,95.8550033569336,97.77964782714844,96.62919616699219,99.5301742553711,91.21707916259766,92.47511291503906,87.18186950683594,87.65934753417969,80.48941040039062,91.60550689697266,95.8846206665039,93.91740417480469,90.63765716552734,89.8144302368164,92.3790054321289,93.5846939086914,92.03881072998047,94.59921264648438,90.6406021118164,93.7694091796875
Canine,95.8550033569336,94.19778442382812,96.62919616699219,99.5301742553711,91.16117095947266,92.47511291503906,87.18186950683594,84.8923568725586,0.0,85.48717498779297,95.8846206665039,93.91740417480469,90.03295135498047,89.8144302368164,92.3790054321289,93.5846939086914,91.923095703125,94.59921264648438,90.6406021118164,93.7694091796875
Pug,95.8550033569336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pet,95.8550033569336,92.75646209716797,96.62919616699219,99.5301742553711,91.21707916259766,92.47511291503906,87.18186950683594,87.65934753417969,0.0,81.42167663574219,95.8846206665039,93.91740417480469,90.63765716552734,89.8144302368164,92.3790054321289,92.64530181884766,92.03881072998047,94.59921264648438,90.6406021118164,93.46803283691406
Dog,95.8550033569336,92.75646209716797,96.62919616699219,99.5301742553711,90.99396514892578,92.47511291503906,87.18186950683594,0.0,0.0,80.74356842041016,95.8846206665039,93.91740417480469,59.58226013183594,89.8144302368164,92.3790054321289,89.86082458496094,91.923095703125,94.59921264648438,90.6406021118164,93.46803283691406
Mammal,95.8550033569336,96.67285919189453,96.62919616699219,99.5301742553711,91.16117095947266,92.47511291503906,87.18186950683594,85.04198455810547,78.0840835571289,91.60550689697266,95.8846206665039,93.91740417480469,90.03295135498047,89.8144302368164,92.3790054321289,93.5846939086914,91.923095703125,94.59921264648438,90.6406021118164,93.7694091796875
Human,63.206295013427734,0.0,0.0,0.0,0.0,0.0,0.0,70.57019805908203,96.92967224121094,76.04242706298828,0.0,58.57829666137695,71.16584014892578,0.0,0.0,73.75507354736328,0.0,0.0,0.0,0.0
Person,63.206295013427734,0.0,0.0,0.0,0.0,0.0,0.0,70.57019805908203,96.92967224121094,76.04242706298828,0.0,58.57829666137695,71.16584014892578,0.0,0.0,73.75507354736328,0.0,0.0,0.0,0.0
Sitting,58.74800491333008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,58.16318893432617,64.62269592285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.589698791503906,0.0,0.0,0.0,56.280216217041016,0.0,0.0,0.0,0.0,58.884307861328125
