,차이니즈 크레스티드_1,차이니즈 크레스티드_2,차이니즈 크레스티드_3,차이니즈 크레스티드_4,차이니즈 크레스티드_5,차이니즈 크레스티드_6,차이니즈 크레스티드_7,차이니즈 크레스티드_8,차이니즈 크레스티드_9,차이니즈 크레스티드_10,차이니즈 크레스티드_11,차이니즈 크레스티드_12,차이니즈 크레스티드_13,차이니즈 크레스티드_14,차이니즈 크레스티드_15,차이니즈 크레스티드_16,차이니즈 크레스티드_17,차이니즈 크레스티드_18,차이니즈 크레스티드_19,차이니즈 크레스티드_20
Animal,93.05671691894531,90.83342742919922,97.8748779296875,95.6661376953125,98.48306274414062,96.83305358886719,93.6441421508789,99.15522003173828,90.43341064453125,93.72379302978516,90.75167846679688,98.24317169189453,94.49254608154297,94.83780670166016,95.91513061523438,94.23748779296875,88.97736358642578,93.17244720458984,92.60157775878906,85.82930755615234
Mammal,88.62081909179688,90.83342742919922,97.8748779296875,95.6661376953125,98.48306274414062,96.83305358886719,92.75837707519531,99.15522003173828,90.43341064453125,93.72379302978516,89.60189819335938,98.24317169189453,93.2406005859375,94.39811706542969,95.45353698730469,92.95612335205078,88.97736358642578,93.17244720458984,91.7863540649414,85.82930755615234
Canine,84.91719818115234,0.0,97.8748779296875,95.6661376953125,98.48306274414062,96.83305358886719,92.21615600585938,99.15522003173828,90.43341064453125,83.79857635498047,78.64321899414062,98.24317169189453,0.0,94.39811706542969,0.0,92.84729766845703,87.71205139160156,68.15389251708984,91.7863540649414,82.41952514648438
Pet,83.64558410644531,0.0,97.8748779296875,95.6661376953125,98.48306274414062,96.83305358886719,93.6441421508789,99.15522003173828,90.43341064453125,83.64495849609375,82.06680297851562,98.24317169189453,0.0,94.83780670166016,0.0,92.82136535644531,87.57266235351562,68.15389251708984,92.60157775878906,82.16889190673828
Dog,83.3384780883789,0.0,97.8748779296875,95.6661376953125,98.48306274414062,96.83305358886719,92.02786254882812,99.15522003173828,90.43341064453125,83.06966400146484,76.9952621459961,98.24317169189453,0.0,93.80512237548828,0.0,69.23565673828125,86.52938842773438,68.15389251708984,91.10602569580078,82.16889190673828
Bird,65.19161987304688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,61.78044128417969,0.0,0.0,0.0,86.95231628417969,0.0,59.989288330078125,0.0,0.0,83.08614349365234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.17372131347656,0.0,68.88396453857422
Puppy,58.2597770690918,0.0,97.8748779296875,0.0,0.0,83.61688232421875,0.0,0.0,0.0,0.0,0.0,89.15599822998047,0.0,73.39461517333984,0.0,69.23565673828125,0.0,0.0,0.0,0.0
Grass,0.0,95.57785034179688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.79904174804688,0.0,0.0,0.0,0.0,84.03826141357422,0.0,0.0,0.0,70.24463653564453,0.0
Plant,0.0,95.57785034179688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.79904174804688,0.0,0.0,0.0,0.0,84.03826141357422,0.0,0.0,0.0,70.24463653564453,0.0
Wildlife,0.0,85.07948303222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.44279479980469,0.0,0.0,0.0,0.0,0.0
Deer,0.0,79.17601776123047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antelope,0.0,75.4346923828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,59.81067657470703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sheep,0.0,55.766273498535156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,55.634117126464844,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Land,0.0,55.634117126464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,55.634117126464844,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,57.65205764770508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,0.0,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,0.0,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,58.022769927978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,0.0,55.9917106628418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.52149963378906,0.0,0.0,0.0,0.0
Spaniel,0.0,0.0,0.0,87.44187927246094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.536048889160156,0.0,0.0,0.0,0.0
Papillon,0.0,0.0,0.0,87.44187927246094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocker Spaniel,0.0,0.0,0.0,87.44187927246094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.536048889160156,0.0,0.0,0.0,0.0
Stallion,0.0,0.0,0.0,0.0,59.88435745239258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.96385192871094,0.0,0.0
Hound,0.0,0.0,0.0,0.0,58.63214111328125,0.0,71.0450439453125,74.7576904296875,0.0,57.942115783691406,0.0,0.0,0.0,0.0,0.0,0.0,62.30314636230469,0.0,0.0,0.0
