,체서피크 베이 레트리버_1,체서피크 베이 레트리버_2,체서피크 베이 레트리버_3,체서피크 베이 레트리버_4,체서피크 베이 레트리버_5,체서피크 베이 레트리버_6,체서피크 베이 레트리버_7,체서피크 베이 레트리버_8,체서피크 베이 레트리버_9,체서피크 베이 레트리버_10,체서피크 베이 레트리버_11,체서피크 베이 레트리버_12,체서피크 베이 레트리버_13,체서피크 베이 레트리버_14,체서피크 베이 레트리버_15,체서피크 베이 레트리버_16,체서피크 베이 레트리버_17,체서피크 베이 레트리버_18,체서피크 베이 레트리버_19,체서피크 베이 레트리버_20
Canine,93.5003890991211,97.43425750732422,98.80717468261719,83.45417785644531,92.24240112304688,92.7149429321289,92.6708755493164,73.81119537353516,91.53003692626953,92.1510009765625,93.1462173461914,96.19698333740234,97.11235809326172,98.52163696289062,93.94931030273438,92.96089935302734,91.90795135498047,95.52754974365234,93.42383575439453,74.27696228027344
Mammal,93.5003890991211,97.43425750732422,98.80717468261719,87.22237396240234,92.24240112304688,92.7149429321289,92.6708755493164,77.53065490722656,91.53003692626953,92.1510009765625,93.1462173461914,96.19698333740234,97.11235809326172,98.52163696289062,93.94931030273438,92.96089935302734,91.90795135498047,95.52754974365234,93.42383575439453,94.27474212646484
Animal,93.5003890991211,97.43425750732422,98.80717468261719,88.300537109375,93.45262145996094,92.7149429321289,92.6708755493164,77.53065490722656,91.53003692626953,92.1510009765625,93.28693389892578,96.19698333740234,97.11235809326172,98.52163696289062,93.94931030273438,92.96089935302734,91.90795135498047,95.52754974365234,93.42383575439453,94.27474212646484
Dog,89.82572937011719,97.43425750732422,98.80717468261719,73.8316879272461,92.20207977294922,90.843994140625,68.78382873535156,62.34187316894531,89.95585632324219,91.03895568847656,92.79563903808594,96.19698333740234,97.11235809326172,98.52163696289062,93.94931030273438,92.61876678466797,90.28557586669922,95.52754974365234,92.27644348144531,0.0
Pet,89.82572937011719,97.43425750732422,98.80717468261719,86.76512908935547,92.20207977294922,90.843994140625,89.68388366699219,77.42796325683594,89.95585632324219,91.03895568847656,93.28693389892578,96.19698333740234,97.11235809326172,98.52163696289062,93.94931030273438,92.61876678466797,90.28557586669922,95.52754974365234,92.42557525634766,64.23392486572266
Labrador Retriever,88.57515716552734,0.0,0.0,56.33116912841797,59.01615905761719,0.0,58.50873565673828,0.0,0.0,86.52568054199219,57.467994689941406,96.19698333740234,97.11235809326172,98.52163696289062,93.94931030273438,82.07356262207031,76.61650085449219,95.52754974365234,86.79773712158203,0.0
Winter,82.09564971923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,82.09564971923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,82.09564971923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,82.09564971923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.82221221923828,0.0,0.0,0.0
Nature,82.09564971923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.18660736083984,0.0,0.0,0.0
Plant,76.4194107055664,0.0,0.0,0.0,0.0,0.0,56.34117126464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,76.4194107055664,0.0,0.0,0.0,0.0,0.0,55.19397735595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green,74.6183853149414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,97.43425750732422,78.26657104492188,0.0,0.0,0.0,68.78382873535156,0.0,55.41239929199219,55.80935287475586,0.0,0.0,68.40969848632812,0.0,0.0,0.0,71.2552719116211,56.397247314453125,0.0,0.0
Flame,0.0,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fire,0.0,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bonfire,0.0,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,57.98565673828125,98.80717468261719,0.0,0.0,0.0,0.0,0.0,67.1458511352539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.32273864746094,0.0,0.0,0.0
Sitting,0.0,0.0,63.23820877075195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standing,0.0,0.0,0.0,74.42932891845703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,62.6106071472168,88.56780242919922,68.11392974853516,68.63776397705078,55.365779876708984,0.0,0.0,56.42274856567383,0.0,0.0,0.0,55.79262924194336,61.857200622558594,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,71.72575378417969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.55403900146484,82.10765838623047,0.0,0.0,59.236412048339844,0.0,0.0,0.0
Hunting,0.0,0.0,0.0,0.0,0.0,0.0,63.06756591796875,97.81209564208984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,56.34117126464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
