,치와와_1,치와와_2,치와와_3,치와와_4,치와와_5,치와와_6,치와와_7,치와와_8,치와와_9,치와와_10,치와와_11,치와와_12,치와와_13,치와와_14,치와와_15,치와와_16,치와와_17,치와와_18,치와와_19,치와와_20
Mammal,91.66494750976562,98.08478546142578,95.50231170654297,91.43372344970703,99.03140258789062,99.97801971435547,95.80967712402344,98.82807159423828,94.24846649169922,99.94251251220703,99.07505798339844,93.7409896850586,95.00463104248047,94.46391296386719,99.88809967041016,84.00870513916016,98.69242858886719,96.23704528808594,91.0573501586914,97.8748779296875
Animal,91.66494750976562,98.08478546142578,96.54644012451172,91.43372344970703,99.03140258789062,99.97801971435547,95.80967712402344,98.82807159423828,94.66840362548828,99.94251251220703,99.07505798339844,94.48113250732422,95.00463104248047,94.46391296386719,99.88809967041016,84.00870513916016,98.69242858886719,96.23704528808594,91.0573501586914,97.8748779296875
Canine,88.58060455322266,98.08478546142578,95.50231170654297,91.43372344970703,99.03140258789062,99.97801971435547,95.80967712402344,98.82807159423828,93.5345687866211,99.94251251220703,99.07505798339844,89.25198364257812,95.00463104248047,93.25216674804688,99.88809967041016,83.41544342041016,98.69242858886719,96.23704528808594,91.0573501586914,97.8748779296875
Dog,88.22785186767578,98.08478546142578,95.50231170654297,90.55763244628906,99.03140258789062,99.97801971435547,95.80967712402344,98.82807159423828,93.5345687866211,99.94251251220703,99.07505798339844,75.1348648071289,95.00463104248047,91.94772338867188,99.88809967041016,69.06041717529297,98.69242858886719,96.23704528808594,87.91753387451172,97.8748779296875
Pet,88.22785186767578,98.08478546142578,96.54644012451172,90.55763244628906,99.03140258789062,99.97801971435547,95.80967712402344,98.82807159423828,94.5750732421875,99.94251251220703,99.07505798339844,86.23101043701172,95.00463104248047,92.68622589111328,99.88809967041016,78.10162353515625,98.69242858886719,96.23704528808594,87.91753387451172,97.8748779296875
Chihuahua,80.25305938720703,98.08478546142578,0.0,58.95855712890625,99.03140258789062,99.97801971435547,0.0,98.82807159423828,0.0,99.94251251220703,99.07505798339844,0.0,0.0,86.2598648071289,99.88809967041016,67.1588363647461,91.09449768066406,0.0,78.72628784179688,0.0
Head,75.60124206542969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,55.30624008178711,80.56684875488281,0.0,88.41890716552734,97.9781265258789,0.0,75.2711181640625,61.537681579589844,66.89913177490234,0.0,82.17195129394531,75.1348648071289,0.0,0.0,0.0,57.71802520751953,98.69242858886719,96.23704528808594,69.56875610351562,97.8748779296875
Eskimo Dog,0.0,0.0,82.3577651977539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.69961929321289,0.0,0.0,0.0,61.23329162597656,0.0,55.9917106628418
Advertisement,0.0,0.0,0.0,93.65589141845703,0.0,80.42916107177734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collage,0.0,0.0,0.0,93.65589141845703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poster,0.0,0.0,0.0,93.65589141845703,0.0,80.42916107177734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,68.93681335449219,0.0,0.0,95.80967712402344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,64.48566436767578,0.0,0.0,0.0,64.43284606933594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.44064331054688
Outdoors,0.0,0.0,0.0,64.48566436767578,0.0,0.0,0.0,64.43284606933594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.44064331054688
Snowman,0.0,0.0,0.0,64.48566436767578,0.0,0.0,0.0,64.43284606933594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.44064331054688
Winter,0.0,0.0,0.0,64.48566436767578,0.0,0.0,0.0,64.43284606933594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.44064331054688
Snow,0.0,0.0,0.0,64.48566436767578,0.0,0.0,0.0,64.43284606933594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.44064331054688
