,카네 코르소_1,카네 코르소_2,카네 코르소_3,카네 코르소_4,카네 코르소_5,카네 코르소_6,카네 코르소_7,카네 코르소_8,카네 코르소_9,카네 코르소_10,카네 코르소_11,카네 코르소_12,카네 코르소_13,카네 코르소_14,카네 코르소_15,카네 코르소_16,카네 코르소_17,카네 코르소_18,카네 코르소_19,카네 코르소_20
Human,99.66033935546875,73.53031921386719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.96701049804688,0.0,95.81849670410156,0.0,91.19721221923828,97.0691909790039,72.3057861328125,0.0
Person,99.66033935546875,73.53031921386719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.96701049804688,0.0,95.81849670410156,0.0,91.19721221923828,97.0691909790039,72.3057861328125,0.0
Animal,94.5096435546875,83.85709381103516,93.43317413330078,96.58615112304688,92.44561004638672,97.5799789428711,99.66827392578125,87.97917175292969,88.66426086425781,95.47943878173828,92.39199829101562,87.49555206298828,92.46409606933594,99.19987487792969,92.57643127441406,95.15399932861328,99.89791107177734,83.72608947753906,92.63627624511719,92.73426055908203
Pants,91.94225311279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,91.94225311279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,91.94225311279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canine,91.41436004638672,83.59024810791016,91.60055541992188,96.58615112304688,92.44561004638672,97.5799789428711,99.66827392578125,83.0406723022461,88.66426086425781,95.47943878173828,88.49370574951172,74.66141510009766,92.46409606933594,89.14161682128906,92.57643127441406,95.15399932861328,99.89791107177734,83.4485855102539,72.73796081542969,92.68089294433594
Mammal,91.41436004638672,83.59024810791016,93.43317413330078,96.58615112304688,92.44561004638672,97.5799789428711,99.66827392578125,86.1119384765625,88.66426086425781,95.47943878173828,89.54896545410156,86.05350494384766,92.46409606933594,99.19987487792969,92.57643127441406,95.15399932861328,99.89791107177734,83.4485855102539,88.27813720703125,92.68089294433594
Pet,87.57897186279297,83.85709381103516,87.7242202758789,96.58615112304688,92.11042785644531,97.5799789428711,99.66827392578125,85.51111602783203,86.04923248291016,95.47943878173828,91.78850555419922,74.81742095947266,90.21904754638672,89.25059509277344,91.54683685302734,95.15399932861328,99.89791107177734,83.72608947753906,69.63668060302734,92.73426055908203
Dog,73.39082336425781,66.46788787841797,87.7242202758789,96.58615112304688,90.48743438720703,97.5799789428711,99.66827392578125,82.18911743164062,83.81145477294922,95.47943878173828,87.98036193847656,0.0,89.72962951660156,87.35431671142578,65.84406280517578,95.15399932861328,99.89791107177734,0.0,0.0,90.84649658203125
Hound,73.39082336425781,0.0,67.07505798339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0474853515625,0.0,0.0,0.0,0.0,0.0,61.80915069580078,0.0,0.0,0.0
Sitting,62.889530181884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,55.30937957763672,0.0,0.0,0.0,0.0,0.0,99.66827392578125,58.48399353027344,0.0,68.42434692382812,0.0,0.0,0.0,0.0,58.67469024658203,0.0,0.0,0.0,0.0,0.0
Pug,0.0,66.46788787841797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boxer,0.0,0.0,77.83206176757812,62.88665771484375,65.50109100341797,55.725467681884766,0.0,0.0,0.0,0.0,62.8035888671875,0.0,70.38623809814453,59.60371017456055,56.97024154663086,0.0,0.0,0.0,0.0,70.76010131835938
Bulldog,0.0,0.0,77.83206176757812,89.47785186767578,87.89944458007812,78.88525390625,0.0,0.0,59.12274169921875,0.0,72.65396881103516,0.0,89.72962951660156,74.4144287109375,65.84406280517578,0.0,0.0,0.0,0.0,83.46795654296875
Pig,0.0,0.0,74.04503631591797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.19987487792969,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,60.02804183959961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pitbull,0.0,0.0,0.0,85.34281158447266,77.10809326171875,57.378196716308594,0.0,0.0,59.12274169921875,0.0,0.0,0.0,79.39253234863281,0.0,0.0,0.0,0.0,0.0,0.0,62.33174514770508
Boston Bull,0.0,0.0,0.0,0.0,62.47209167480469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Statue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.53020477294922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sculpture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.53020477294922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.53020477294922,0.0,0.0,73.31389617919922,62.46107482910156,0.0,0.0,0.0,0.0,0.0,0.0,66.61820220947266,0.0
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.57630157470703,0.0,0.0,0.0,0.0,56.87006378173828,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.28218078613281,0.0,0.0,71.59732055664062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Document,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.28218078613281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id Cards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.28218078613281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.406944274902344,0.0,0.0,0.0,0.0,0.0,56.25931167602539,0.0,0.0,0.0,0.0,0.0
Machine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.406944274902344,0.0,0.0,0.0,0.0,0.0,61.686973571777344,0.0,0.0,0.0,0.0,0.0
Car Wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.69281768798828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.69281768798828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
