,카디건 웰시 코기_1,카디건 웰시 코기_2,카디건 웰시 코기_3,카디건 웰시 코기_4,카디건 웰시 코기_5,카디건 웰시 코기_6,카디건 웰시 코기_7,카디건 웰시 코기_8,카디건 웰시 코기_9,카디건 웰시 코기_10,카디건 웰시 코기_11,카디건 웰시 코기_12,카디건 웰시 코기_13,카디건 웰시 코기_14,카디건 웰시 코기_15,카디건 웰시 코기_16,카디건 웰시 코기_17,카디건 웰시 코기_18,카디건 웰시 코기_19,카디건 웰시 코기_20
Dog,94.55354309082031,93.98580932617188,67.1588363647461,96.78437805175781,99.8045425415039,87.9755630493164,98.59481048583984,99.74781036376953,99.81655883789062,98.89752197265625,92.1866683959961,98.25357055664062,89.06198120117188,81.53695678710938,88.48481750488281,91.03083038330078,89.51628112792969,79.68000793457031,89.67655944824219,67.54633331298828
Pet,94.55354309082031,94.42682647705078,73.49170684814453,96.78437805175781,99.8045425415039,91.47704315185547,98.59481048583984,99.74781036376953,99.81655883789062,98.89752197265625,93.12769317626953,98.25357055664062,89.06198120117188,85.87450408935547,91.02661895751953,91.03083038330078,91.17579650878906,89.41967010498047,90.81549835205078,84.29924774169922
Canine,94.55354309082031,95.0677719116211,75.75970458984375,96.78437805175781,99.8045425415039,88.58561706542969,98.59481048583984,99.74781036376953,99.81655883789062,98.89752197265625,93.9352035522461,98.25357055664062,90.47599029541016,91.83372497558594,90.377685546875,91.03083038330078,89.60511779785156,80.73320007324219,91.90791320800781,73.04803466796875
Hound,94.55354309082031,0.0,59.76441192626953,0.0,0.0,0.0,0.0,0.0,0.0,64.71991729736328,0.0,0.0,0.0,59.220947265625,0.0,0.0,0.0,0.0,0.0,0.0
Mammal,94.55354309082031,95.0677719116211,75.75970458984375,96.78437805175781,99.8045425415039,89.09642028808594,98.59481048583984,99.74781036376953,99.81655883789062,98.89752197265625,93.9352035522461,98.25357055664062,90.47599029541016,91.83372497558594,90.377685546875,91.03083038330078,90.17214965820312,88.0703125,91.90791320800781,78.58667755126953
Animal,94.55354309082031,95.0677719116211,76.0997543334961,96.78437805175781,99.8045425415039,91.47704315185547,98.59481048583984,99.74781036376953,99.81655883789062,98.89752197265625,93.9352035522461,98.25357055664062,90.47599029541016,92.85968780517578,91.02661895751953,91.03083038330078,91.17579650878906,89.41967010498047,91.90791320800781,84.29924774169922
Beagle,80.41158294677734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,69.85867309570312,93.46774291992188,0.0,87.41148376464844,0.0,0.0,0.0,0.0,0.0,63.848026275634766,56.33413314819336,84.47734069824219,56.57111740112305,57.75448989868164,0.0,0.0,0.0,55.20022964477539,0.0,0.0
Grass,68.57625579833984,0.0,0.0,0.0,0.0,64.97484588623047,0.0,98.6176986694336,0.0,0.0,76.6545181274414,0.0,0.0,74.03653717041016,0.0,0.0,0.0,0.0,0.0,0.0
Plant,68.57625579833984,0.0,0.0,0.0,0.0,64.97484588623047,0.0,98.6176986694336,0.0,0.0,76.6545181274414,65.14098358154297,0.0,74.03653717041016,0.0,0.0,0.0,0.0,0.0,0.0
Bulldog,59.59899139404297,0.0,67.1588363647461,0.0,0.0,0.0,60.087432861328125,0.0,99.81655883789062,0.0,0.0,0.0,0.0,0.0,86.12657928466797,0.0,0.0,0.0,0.0,67.54633331298828
Boston Bull,59.59899139404297,0.0,67.1588363647461,0.0,0.0,0.0,60.087432861328125,0.0,99.81655883789062,0.0,0.0,0.0,0.0,0.0,81.83790588378906,0.0,0.0,0.0,0.0,59.47587966918945
Chihuahua,57.98616027832031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.076717376708984,0.0,0.0,0.0,63.4810791015625,0.0,56.858497619628906,55.458404541015625,0.0
Spaniel,0.0,58.41621398925781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.89070892333984,0.0,0.0,0.0
Cocker Spaniel,0.0,58.41621398925781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.89070892333984,0.0,0.0,0.0
Papillon,0.0,57.842098236083984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.89070892333984,0.0,0.0,0.0
Word,0.0,0.0,96.25794982910156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
