,카발리에 킹 찰스 스파니엘_1,카발리에 킹 찰스 스파니엘_2,카발리에 킹 찰스 스파니엘_3,카발리에 킹 찰스 스파니엘_4,카발리에 킹 찰스 스파니엘_5,카발리에 킹 찰스 스파니엘_6,카발리에 킹 찰스 스파니엘_7,카발리에 킹 찰스 스파니엘_8,카발리에 킹 찰스 스파니엘_9,카발리에 킹 찰스 스파니엘_10,카발리에 킹 찰스 스파니엘_11,카발리에 킹 찰스 스파니엘_12,카발리에 킹 찰스 스파니엘_13,카발리에 킹 찰스 스파니엘_14,카발리에 킹 찰스 스파니엘_15,카발리에 킹 찰스 스파니엘_16,카발리에 킹 찰스 스파니엘_17,카발리에 킹 찰스 스파니엘_18,카발리에 킹 찰스 스파니엘_19,카발리에 킹 찰스 스파니엘_20
Canine,97.8748779296875,96.81306457519531,95.31397247314453,98.67179870605469,99.82759857177734,98.83610534667969,99.6330337524414,99.53827667236328,98.95503234863281,90.70327758789062,99.69976806640625,88.2859878540039,95.66766357421875,90.82891082763672,92.3915023803711,90.14070892333984,82.96459197998047,91.09994506835938,96.9623794555664,91.55535888671875
Pet,97.8748779296875,96.81306457519531,95.2679672241211,98.67179870605469,99.82759857177734,98.83610534667969,99.6330337524414,99.53827667236328,98.95503234863281,90.09222412109375,99.69976806640625,84.1971206665039,95.66766357421875,89.86479187011719,91.94464874267578,88.59061431884766,81.41192626953125,89.99958801269531,96.9623794555664,91.09989929199219
Animal,97.8748779296875,96.81306457519531,95.98209381103516,98.67179870605469,99.82759857177734,98.83610534667969,99.6330337524414,99.53827667236328,98.95503234863281,91.0698471069336,99.69976806640625,88.92738342285156,95.66766357421875,90.82891082763672,92.3915023803711,90.14070892333984,82.96459197998047,91.09994506835938,96.9623794555664,91.55535888671875
Puppy,97.8748779296875,96.81306457519531,0.0,55.53470230102539,99.82759857177734,92.0248794555664,95.65979766845703,94.41932678222656,98.95503234863281,90.09222412109375,99.69976806640625,60.01346206665039,0.0,0.0,70.29447174072266,81.06656646728516,71.10353088378906,76.67288208007812,96.9623794555664,80.78418731689453
Dog,97.8748779296875,96.81306457519531,95.2679672241211,98.67179870605469,99.82759857177734,98.83610534667969,99.6330337524414,99.53827667236328,98.95503234863281,90.09222412109375,99.69976806640625,84.1971206665039,95.66766357421875,89.86479187011719,91.94464874267578,86.92741394042969,71.10353088378906,89.62997436523438,96.9623794555664,83.23619079589844
Mammal,97.8748779296875,96.81306457519531,95.31397247314453,98.67179870605469,99.82759857177734,98.83610534667969,99.6330337524414,99.53827667236328,98.95503234863281,90.70327758789062,99.69976806640625,88.92738342285156,95.66766357421875,90.82891082763672,92.3915023803711,90.14070892333984,82.96459197998047,91.09994506835938,96.9623794555664,91.55535888671875
Outdoors,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.72874450683594,0.0,0.0,0.0
Snowman,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.72874450683594,0.0,0.0,0.0
Winter,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.72874450683594,0.0,0.0,0.0
Nature,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.72874450683594,0.0,0.0,0.0
Snow,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.72874450683594,0.0,0.0,0.0
White Dog,58.022769927978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,55.9917106628418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.84502029418945,0.0,0.0,0.0,0.0
Poodle,0.0,69.92961120605469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Papillon,0.0,0.0,95.2679672241211,0.0,0.0,59.59592819213867,0.0,57.26813507080078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocker Spaniel,0.0,0.0,95.2679672241211,72.18668365478516,67.15534973144531,95.4634780883789,62.928062438964844,92.58705139160156,81.69001770019531,63.08710479736328,0.0,0.0,87.05339813232422,85.5313949584961,88.87206268310547,0.0,0.0,58.89722442626953,0.0,83.23619079589844
Spaniel,0.0,0.0,95.2679672241211,72.18668365478516,67.15534973144531,95.4634780883789,62.928062438964844,92.58705139160156,81.69001770019531,63.08710479736328,0.0,0.0,87.05339813232422,85.5313949584961,88.87206268310547,0.0,0.0,58.89722442626953,0.0,83.23619079589844
