,캉갈_1,캉갈_2,캉갈_3,캉갈_4,캉갈_5,캉갈_6,캉갈_7,캉갈_8,캉갈_9,캉갈_10,캉갈_11,캉갈_12,캉갈_13,캉갈_14,캉갈_15,캉갈_16,캉갈_17,캉갈_18,캉갈_19,캉갈_20
Human,99.45416259765625,0.0,93.83987426757812,99.52516174316406,99.72447967529297,99.69194030761719,0.0,99.1331787109375,0.0,0.0,0.0,99.05386352539062,99.44300842285156,0.0,0.0,0.0,0.0,94.99069213867188,98.85538482666016,98.68338012695312
Person,99.45416259765625,0.0,93.83987426757812,99.52516174316406,99.72447967529297,99.69194030761719,0.0,99.1331787109375,0.0,0.0,0.0,99.05386352539062,99.44300842285156,0.0,0.0,0.0,0.0,94.99069213867188,98.85538482666016,98.68338012695312
Animal,94.75476837158203,93.43317413330078,91.78079223632812,92.33155059814453,99.97650909423828,93.83740234375,94.1322021484375,88.47273254394531,94.86162567138672,96.10059356689453,99.36371612548828,90.92675018310547,93.11209869384766,92.86921691894531,92.03255462646484,94.63189697265625,96.76696014404297,0.0,86.62810516357422,90.06237030029297
Mammal,94.23054504394531,93.43317413330078,90.61666870117188,92.33155059814453,80.00852966308594,93.83740234375,94.1322021484375,88.47273254394531,94.86162567138672,96.10059356689453,99.36371612548828,0.0,93.11209869384766,88.56836700439453,92.03255462646484,94.63189697265625,96.76696014404297,0.0,86.62810516357422,90.06237030029297
Pet,83.63321685791016,87.7242202758789,85.83284759521484,0.0,62.39303207397461,93.40757751464844,92.46184539794922,88.04314422607422,94.86162567138672,96.10059356689453,96.86578369140625,0.0,91.49588775634766,0.0,90.92550659179688,93.79756164550781,62.8665771484375,0.0,83.38917541503906,89.98124694824219
Canine,79.81043243408203,91.60055541992188,85.83284759521484,0.0,62.39303207397461,93.83740234375,94.1322021484375,88.47273254394531,94.86162567138672,96.10059356689453,96.86578369140625,0.0,93.11209869384766,0.0,92.03255462646484,94.63189697265625,78.33426666259766,0.0,86.62810516357422,90.06237030029297
Cattle,67.0368881225586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36371612548828,0.0,0.0,67.32404327392578,0.0,0.0,0.0,0.0,0.0,0.0
Bull,61.97244644165039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.39339828491211,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,59.99486541748047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Couch,59.99486541748047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
