,컬리코티드 레트리버_1,컬리코티드 레트리버_2,컬리코티드 레트리버_3,컬리코티드 레트리버_4,컬리코티드 레트리버_5,컬리코티드 레트리버_6,컬리코티드 레트리버_7,컬리코티드 레트리버_8,컬리코티드 레트리버_9,컬리코티드 레트리버_10,컬리코티드 레트리버_11,컬리코티드 레트리버_12,컬리코티드 레트리버_13,컬리코티드 레트리버_14,컬리코티드 레트리버_15,컬리코티드 레트리버_16,컬리코티드 레트리버_17,컬리코티드 레트리버_18,컬리코티드 레트리버_19,컬리코티드 레트리버_20
Mammal,94.10051727294922,93.6331787109375,98.70514678955078,90.75731658935547,87.41156005859375,92.7149887084961,99.64164733886719,93.5003890991211,92.75820922851562,90.55419921875,93.32310485839844,95.39755249023438,96.56169128417969,92.19644165039062,94.33486938476562,81.988525390625,94.12803649902344,90.74303436279297,87.69439697265625,89.1552734375
Animal,94.10051727294922,93.6331787109375,98.70514678955078,91.37854766845703,87.41156005859375,92.7149887084961,99.64164733886719,93.5003890991211,92.75820922851562,90.98221588134766,93.32310485839844,95.39755249023438,96.56169128417969,92.19644165039062,94.33486938476562,81.988525390625,94.12803649902344,91.96988677978516,87.69439697265625,89.1552734375
Canine,94.10051727294922,93.6331787109375,98.70514678955078,90.75731658935547,87.41156005859375,92.7149887084961,95.98522186279297,93.5003890991211,92.75820922851562,83.08086395263672,88.12543487548828,95.39755249023438,76.40916442871094,92.19644165039062,94.33486938476562,80.67481994628906,94.12803649902344,90.74303436279297,79.86897277832031,89.1552734375
Dog,93.48150634765625,92.94290161132812,98.70514678955078,90.4535140991211,87.41156005859375,90.8440170288086,95.98522186279297,89.82572937011719,91.81940460205078,80.26113891601562,86.14575958251953,94.73641204833984,72.01211547851562,90.2327651977539,93.80638122558594,78.59896087646484,92.0475082397461,90.36823272705078,79.38921356201172,87.84539031982422
Pet,93.48150634765625,92.96624755859375,98.70514678955078,91.37854766845703,87.41156005859375,90.8440170288086,95.98522186279297,89.82572937011719,92.01459503173828,80.26113891601562,87.57142639160156,94.73641204833984,96.56169128417969,90.2327651977539,93.80638122558594,80.41093444824219,92.1482162475586,91.96988677978516,84.47066497802734,87.99065399169922
Poodle,68.04632568359375,92.94290161132812,0.0,0.0,0.0,0.0,0.0,0.0,56.130184173583984,0.0,59.67179870605469,59.427154541015625,0.0,69.10839080810547,56.7686653137207,0.0,0.0,0.0,57.863582611083984,0.0
Strap,55.901554107666016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spaniel,0.0,0.0,92.16134643554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.21390533447266,0.0,0.0,0.0,0.0,0.0,0.0
Cocker Spaniel,0.0,0.0,92.16134643554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.21390533447266,0.0,0.0,0.0,0.0,0.0,0.0
Lip,0.0,0.0,55.419189453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
