,케리 블루 테리어_1,케리 블루 테리어_2,케리 블루 테리어_3,케리 블루 테리어_4,케리 블루 테리어_5,케리 블루 테리어_6,케리 블루 테리어_7,케리 블루 테리어_8,케리 블루 테리어_9,케리 블루 테리어_10,케리 블루 테리어_11,케리 블루 테리어_12,케리 블루 테리어_13,케리 블루 테리어_14,케리 블루 테리어_15,케리 블루 테리어_16,케리 블루 테리어_17,케리 블루 테리어_18,케리 블루 테리어_19,케리 블루 테리어_20
Pet,93.07109832763672,93.33875274658203,93.24225616455078,92.99291229248047,92.98590850830078,93.42188262939453,92.28746032714844,91.90728759765625,93.41742706298828,92.29398345947266,94.57952880859375,93.84662628173828,96.6685791015625,92.30745697021484,94.87400817871094,93.344482421875,89.33280181884766,93.25770568847656,92.11107635498047,91.24246978759766
Animal,93.07109832763672,93.44670867919922,93.24225616455078,92.99291229248047,92.98590850830078,93.42188262939453,92.28746032714844,92.20452117919922,93.58905792236328,92.29398345947266,94.57952880859375,94.0884780883789,96.6685791015625,92.74671173095703,94.87400817871094,93.99225616455078,90.26880645751953,93.50645446777344,92.11107635498047,91.24246978759766
Mammal,92.62577819824219,93.44670867919922,93.24225616455078,92.03462219238281,92.9645767211914,92.14994812011719,91.91327667236328,92.20452117919922,93.58905792236328,91.7037582397461,94.30191802978516,94.0884780883789,96.6685791015625,92.74671173095703,94.87400817871094,93.99225616455078,90.26880645751953,93.50645446777344,92.06768798828125,91.22599029541016
Dog,92.62577819824219,93.33634948730469,93.24225616455078,92.03462219238281,92.9645767211914,90.94879150390625,91.30672454833984,91.25321197509766,92.69356536865234,91.36157989501953,93.66059112548828,93.14131164550781,96.6685791015625,92.1468505859375,94.87400817871094,93.344482421875,88.90520477294922,92.19538879394531,91.32121276855469,90.30545043945312
Poodle,92.62577819824219,93.33634948730469,93.24225616455078,0.0,92.9645767211914,90.94879150390625,83.52425384521484,64.08773803710938,76.565185546875,86.75450134277344,85.13411712646484,90.25283813476562,96.6685791015625,0.0,94.87400817871094,0.0,77.24639892578125,92.19538879394531,79.52641296386719,67.21414947509766
Canine,92.62577819824219,93.44670867919922,93.24225616455078,92.03462219238281,92.9645767211914,92.14994812011719,91.91327667236328,92.20452117919922,93.58905792236328,91.7037582397461,94.30191802978516,93.421630859375,96.6685791015625,92.74671173095703,94.87400817871094,93.99225616455078,90.26880645751953,93.50645446777344,92.06768798828125,91.22599029541016
Toy,74.5923080444336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Affenpinscher,0.0,0.0,0.0,55.51031494140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,99.05602264404297,99.64102172851562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.48467254638672,0.0,0.0
Person,0.0,0.0,0.0,0.0,99.05602264404297,99.64102172851562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.48467254638672,0.0,0.0
Hound,0.0,0.0,0.0,0.0,0.0,0.0,59.98859786987305,80.02522277832031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.514461517333984
Afghan Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.391292572021484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.40349197387695,0.0,75.56230163574219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.12456512451172,58.2894401550293
Airedale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.05072021484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.3304443359375,0.0,0.0,0.0,0.0,0.0,0.0
Cocker Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.3304443359375,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.483829498291016,0.0,0.0,0.0,0.0,0.0
Pug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.32958221435547,0.0,0.0,0.0,0.0
Bulldog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.11250686645508,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.89946746826172,0.0,0.0,55.44806671142578
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.89946746826172,0.0,0.0,55.44806671142578
