,케언 테리어_1,케언 테리어_2,케언 테리어_3,케언 테리어_4,케언 테리어_5,케언 테리어_6,케언 테리어_7,케언 테리어_8,케언 테리어_9,케언 테리어_10,케언 테리어_11,케언 테리어_12,케언 테리어_13,케언 테리어_14,케언 테리어_15,케언 테리어_16,케언 테리어_17,케언 테리어_18,케언 테리어_19,케언 테리어_20
Human,95.48637390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.9255142211914,0.0,0.0,0.0
Person,95.48637390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.9255142211914,0.0,0.0,0.0
Word,86.65850830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal,84.74945831298828,99.72917175292969,92.5489730834961,95.04517364501953,99.0538330078125,91.51758575439453,93.92997741699219,93.18290710449219,95.21717834472656,94.56858825683594,91.30851745605469,93.25428771972656,95.19273376464844,92.56475067138672,96.5229263305664,93.37815856933594,59.47023010253906,94.11540985107422,91.29962158203125,91.97706604003906
Mammal,83.0473403930664,99.72917175292969,91.36827087402344,95.04517364501953,99.0538330078125,90.75379180908203,93.92997741699219,92.90814208984375,93.99749755859375,94.56858825683594,91.30851745605469,93.25428771972656,95.19273376464844,92.56475067138672,96.5229263305664,93.37815856933594,59.47023010253906,93.0905532836914,90.59278106689453,91.97706604003906
Bull,56.77275466918945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,56.02336883544922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,99.72917175292969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dog,0.0,99.72917175292969,87.65843963623047,94.36117553710938,99.0538330078125,89.20201873779297,93.92997741699219,92.4537353515625,93.62460327148438,88.33170318603516,91.30851745605469,93.25428771972656,95.19273376464844,91.12088012695312,96.5229263305664,92.53473663330078,0.0,92.84259796142578,89.19437408447266,90.57762908935547
Pet,0.0,99.72917175292969,89.50647735595703,94.9846420288086,99.0538330078125,91.51758575439453,93.92997741699219,92.92863464355469,95.21717834472656,89.92948913574219,91.30851745605469,93.25428771972656,95.19273376464844,91.37033081054688,96.5229263305664,92.53473663330078,57.49815368652344,94.11540985107422,91.29962158203125,91.5811538696289
Canine,0.0,99.72917175292969,89.4100112915039,95.04517364501953,99.0538330078125,90.75379180908203,93.92997741699219,92.90814208984375,93.99749755859375,89.85198211669922,91.30851745605469,93.25428771972656,95.19273376464844,92.56475067138672,96.5229263305664,93.37815856933594,59.47023010253906,92.9917984008789,90.59278106689453,91.97706604003906
