,케이넌 도그_1,케이넌 도그_2,케이넌 도그_3,케이넌 도그_4,케이넌 도그_5,케이넌 도그_6,케이넌 도그_7,케이넌 도그_8,케이넌 도그_9,케이넌 도그_10,케이넌 도그_11,케이넌 도그_12,케이넌 도그_13,케이넌 도그_14,케이넌 도그_15,케이넌 도그_16,케이넌 도그_17,케이넌 도그_18,케이넌 도그_19,케이넌 도그_20
Mammal,97.48119354248047,69.99322509765625,93.7310791015625,83.62235260009766,91.87764739990234,98.19349670410156,99.50471496582031,88.0411148071289,99.48638916015625,97.03335571289062,94.6657485961914,97.49910736083984,87.56199645996094,97.10060119628906,99.755615234375,71.53970336914062,90.63428497314453,87.9160385131836,96.8717269897461,90.86052703857422
Dog,97.48119354248047,0.0,86.9776382446289,57.199920654296875,91.6242446899414,98.19349670410156,99.50471496582031,69.44755554199219,99.48638916015625,97.03335571289062,0.0,97.49910736083984,83.07086181640625,97.10060119628906,99.755615234375,0.0,90.50479888916016,84.67572021484375,96.8717269897461,86.82967376708984
Canine,97.48119354248047,65.88908386230469,93.7310791015625,63.081329345703125,91.87764739990234,98.19349670410156,99.50471496582031,84.53775024414062,99.48638916015625,97.03335571289062,82.01293182373047,97.49910736083984,87.56199645996094,97.10060119628906,99.755615234375,56.42082214355469,90.63428497314453,87.72193145751953,96.8717269897461,90.86052703857422
Husky,97.48119354248047,0.0,86.9776382446289,0.0,81.74085235595703,98.19349670410156,99.50471496582031,0.0,92.98657989501953,97.03335571289062,0.0,97.49910736083984,0.0,97.10060119628906,0.0,0.0,90.50479888916016,0.0,96.8717269897461,69.57219696044922
Pet,97.48119354248047,69.96662139892578,93.14771270751953,67.83670043945312,91.96918487548828,98.19349670410156,99.50471496582031,73.07662963867188,99.48638916015625,97.03335571289062,0.0,97.49910736083984,83.07086181640625,97.10060119628906,99.755615234375,75.07396697998047,90.50479888916016,84.67572021484375,96.8717269897461,87.80548095703125
Animal,97.48119354248047,71.26846313476562,93.7310791015625,83.62235260009766,91.96918487548828,98.19349670410156,99.50471496582031,89.57196044921875,99.48638916015625,97.03335571289062,94.6657485961914,97.49910736083984,87.56199645996094,97.10060119628906,99.755615234375,75.07396697998047,90.63428497314453,87.9160385131836,96.8717269897461,90.86052703857422
White Dog,63.1694450378418,0.0,58.59101486206055,0.0,0.0,68.38580322265625,79.18218231201172,0.0,0.0,56.90345764160156,0.0,65.46723175048828,0.0,58.8030891418457,0.0,0.0,0.0,0.0,69.75070190429688,0.0
Clothing,0.0,99.76768493652344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.30516815185547,0.0,0.0,0.0,0.0
Apparel,0.0,99.76768493652344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.30516815185547,0.0,0.0,0.0,0.0
Hat,0.0,82.6454086303711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bonnet,0.0,82.6454086303711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hood,0.0,73.75863647460938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,66.40925598144531,93.4625015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,66.40925598144531,93.4625015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,0.0,86.30165100097656,0.0,0.0,0.0,57.47936248779297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,55.21101760864258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.22987365722656,0.0,0.0
Soil,0.0,0.0,0.0,55.04461669921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,73.1666030883789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Police Dog,0.0,0.0,0.0,0.0,62.75605010986328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,55.1663932800293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.755615234375,0.0,72.16278839111328,84.67572021484375,0.0,58.8114128112793
Cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.12771606445312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.71092987060547,0.0,0.0,0.0,0.0
Brick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.29137420654297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.214012145996094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.62800598144531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.128910064697266,63.18488693237305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.5716667175293
Flower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.16973876953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.16973876953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blossom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.16973876953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.16973876953125,0.0,57.79180145263672,0.0,0.0,0.0,0.0,0.0,0.0,55.47153091430664,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.43769836425781,0.0,0.0,0.0,0.0,0.0,73.06482696533203,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.37144470214844,75.6346664428711,0.0,0.0,0.0,0.0,0.0,0.0,55.25813293457031,0.0,0.0,55.59418487548828
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.52729034423828,0.0,0.0,0.0,88.76078033447266,0.0,0.0,0.0,0.0,0.0,0.0
Coyote,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.6657485961914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
