,케이스혼트_1,케이스혼트_2,케이스혼트_3,케이스혼트_4,케이스혼트_5,케이스혼트_6,케이스혼트_7,케이스혼트_8,케이스혼트_9,케이스혼트_10,케이스혼트_11,케이스혼트_12,케이스혼트_13,케이스혼트_14,케이스혼트_15,케이스혼트_16,케이스혼트_17,케이스혼트_18,케이스혼트_19,케이스혼트_20
Grass,97.9075927734375,0.0,0.0,0.0,0.0,78.83907318115234,0.0,0.0,0.0,0.0,84.36894226074219,0.0,0.0,0.0,0.0,0.0,0.0,62.95405197143555,0.0,0.0
Plant,97.9075927734375,97.77066040039062,0.0,0.0,0.0,78.83907318115234,0.0,0.0,0.0,0.0,84.36894226074219,0.0,0.0,0.0,0.0,0.0,0.0,62.95405197143555,0.0,0.0
Canine,91.48914337158203,88.22901916503906,0.0,91.60541534423828,93.0445785522461,95.08060455322266,74.33403015136719,92.47645568847656,85.88499450683594,96.72969818115234,93.97796630859375,91.2811508178711,95.99398040771484,92.80870056152344,93.08631134033203,97.07398223876953,91.19346618652344,61.93024826049805,79.05032348632812,84.29150390625
Animal,91.48914337158203,88.22901916503906,97.31495666503906,91.60541534423828,93.0445785522461,95.08060455322266,98.45931243896484,92.53313446044922,90.01976013183594,96.7769775390625,93.97796630859375,91.52357482910156,98.37347412109375,92.80870056152344,93.77034759521484,97.5790786743164,98.32566833496094,96.6429672241211,92.24349212646484,90.32081604003906
Mammal,91.48914337158203,88.22901916503906,97.31495666503906,91.60541534423828,93.0445785522461,95.08060455322266,98.45931243896484,92.47645568847656,90.01976013183594,96.72969818115234,93.97796630859375,91.52357482910156,98.37347412109375,92.80870056152344,93.08631134033203,97.07398223876953,98.32566833496094,96.6429672241211,92.24349212646484,90.32081604003906
Pet,88.96022033691406,84.22750091552734,97.31495666503906,88.72359466552734,90.90311431884766,94.26637268066406,0.0,91.26036071777344,84.82093048095703,96.7769775390625,93.46873474121094,88.04435729980469,92.52812957763672,91.11109161376953,93.77034759521484,97.5790786743164,91.19346618652344,0.0,79.04302215576172,81.19920349121094
Dog,87.9063720703125,64.88762664794922,0.0,88.72359466552734,90.73009490966797,94.04100799560547,0.0,55.564327239990234,84.82093048095703,96.02513122558594,91.46367645263672,86.22870635986328,92.52812957763672,91.11109161376953,92.9024658203125,96.90902709960938,91.19346618652344,0.0,79.04302215576172,81.19920349121094
Bear,80.1278076171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.61127471923828,0.0,0.0,0.0,0.0,0.0
Wildlife,80.1278076171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.61127471923828,0.0,0.0,0.0,0.0,0.0
Husky,63.02078628540039,0.0,0.0,0.0,66.5969467163086,76.64752960205078,0.0,0.0,55.37618637084961,0.0,0.0,81.66622924804688,0.0,0.0,60.25022506713867,65.59125518798828,91.19346618652344,0.0,59.95542526245117,59.31812286376953
Puppy,56.79517364501953,0.0,0.0,0.0,0.0,0.0,0.0,55.564327239990234,0.0,0.0,0.0,55.729305267333984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,97.77066040039062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forest,0.0,92.62235260009766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Land,0.0,92.62235260009766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,92.62235260009766,0.0,0.0,0.0,55.89590072631836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woodland,0.0,92.62235260009766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,92.62235260009766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tree,0.0,92.62235260009766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Shepherd,0.0,64.88762664794922,0.0,85.02149963378906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.784061431884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collie,0.0,59.093711853027344,0.0,0.0,69.83146667480469,59.564842224121094,0.0,0.0,57.64460372924805,72.81300354003906,64.28386688232422,55.81513214111328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wilderness,0.0,58.92171096801758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,56.14766311645508,0.0,0.0,62.48330307006836,81.18946838378906,0.0,0.0,0.0,59.406795501708984,0.0,70.76017761230469,0.0,57.99318313598633,57.98881530761719,77.35540771484375,0.0,0.0,0.0,0.0
Angora,0.0,0.0,97.31495666503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,97.31495666503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.25928497314453,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,76.76799011230469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,57.696495056152344,0.0,0.0,98.45931243896484,59.04477310180664,55.927852630615234,0.0,0.0,91.52357482910156,0.0,0.0,0.0,0.0,98.32566833496094,96.6429672241211,92.24349212646484,90.32081604003906
Snout,0.0,0.0,0.0,55.7520637512207,0.0,0.0,71.69355773925781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,61.80149841308594,92.69019317626953,0.0,0.0,78.40441131591797,0.0,87.098876953125,0.0,98.37347412109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Wolf,0.0,0.0,0.0,0.0,0.0,0.0,74.33403015136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.085426330566406
Photo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.033714294433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.033714294433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.41226196289062,0.0,0.0,0.0,0.0,0.0,0.0
Rodent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.41226196289062,0.0,0.0,0.0,0.0,0.0,0.0
Coyote,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.642982482910156,0.0,0.0
White Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.801490783691406
Mouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.89088821411133
Lip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.89088821411133
