,코리안 마스티프_1,코리안 마스티프_2,코리안 마스티프_3,코리안 마스티프_4,코리안 마스티프_5,코리안 마스티프_6,코리안 마스티프_7,코리안 마스티프_8,코리안 마스티프_9,코리안 마스티프_10,코리안 마스티프_11,코리안 마스티프_12,코리안 마스티프_13,코리안 마스티프_14,코리안 마스티프_15,코리안 마스티프_16,코리안 마스티프_17,코리안 마스티프_18,코리안 마스티프_19,코리안 마스티프_20
Canine,88.63545989990234,97.73402404785156,93.21471405029297,80.80572509765625,83.1656265258789,71.23670959472656,95.4006118774414,86.06090545654297,90.7210693359375,90.60399627685547,0.0,86.53271484375,94.98507690429688,91.60091400146484,96.517333984375,94.02525329589844,89.3444595336914,93.17420196533203,93.90946197509766,94.04841613769531
Mammal,88.63545989990234,97.73402404785156,93.21471405029297,80.80572509765625,89.09038543701172,84.84288787841797,95.4006118774414,86.06934356689453,90.7210693359375,90.60399627685547,87.27387237548828,98.95547485351562,94.98507690429688,91.60091400146484,96.517333984375,94.02525329589844,89.3444595336914,93.17420196533203,93.90946197509766,95.44148254394531
Animal,88.63545989990234,97.73402404785156,93.21471405029297,80.80572509765625,89.09038543701172,86.28775787353516,95.4006118774414,86.24506378173828,90.7210693359375,90.60399627685547,87.27387237548828,98.95547485351562,94.98507690429688,91.60091400146484,96.517333984375,94.02525329589844,89.3444595336914,93.17420196533203,93.90946197509766,95.44148254394531
Dog,87.61309814453125,97.73402404785156,87.6025619506836,79.45072937011719,0.0,71.23670959472656,95.4006118774414,71.22755432128906,84.824951171875,72.36318969726562,0.0,86.53271484375,94.98507690429688,91.60091400146484,96.517333984375,94.02525329589844,88.5691146850586,93.17420196533203,86.74679565429688,68.32819366455078
Pet,87.61309814453125,97.73402404785156,92.05046081542969,79.45072937011719,83.74657440185547,71.23670959472656,95.4006118774414,86.24506378173828,88.64189910888672,87.55952453613281,0.0,86.53271484375,94.98507690429688,91.60091400146484,96.517333984375,94.02525329589844,88.5691146850586,93.17420196533203,93.1356430053711,69.9288101196289
Boxer,59.40342330932617,75.8134765625,0.0,59.76679611206055,0.0,71.23670959472656,95.4006118774414,0.0,78.674072265625,66.62815856933594,0.0,75.96184539794922,94.98507690429688,91.60091400146484,88.60647583007812,0.0,0.0,0.0,57.795467376708984,0.0
Bulldog,59.40342330932617,75.8134765625,0.0,61.37311553955078,0.0,71.23670959472656,95.4006118774414,71.22755432128906,84.824951171875,72.36318969726562,0.0,86.53271484375,94.98507690429688,91.60091400146484,96.517333984375,0.0,0.0,0.0,57.795467376708984,0.0
Great Dane,58.21773147583008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.02525329589844,67.25404357910156,0.0,86.74679565429688,0.0
Home Decor,0.0,87.92269897460938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.86206817626953,0.0,0.0,0.0,0.0,0.0
Hound,0.0,67.05900573730469,0.0,0.0,0.0,0.0,67.87317657470703,0.0,0.0,0.0,0.0,0.0,58.80305862426758,0.0,0.0,0.0,0.0,0.0,57.786624908447266,0.0
Door,0.0,61.399566650390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Porch,0.0,55.889949798583984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
