,코몬도르_1,코몬도르_2,코몬도르_3,코몬도르_4,코몬도르_5,코몬도르_6,코몬도르_7,코몬도르_8,코몬도르_9,코몬도르_10,코몬도르_11,코몬도르_12,코몬도르_13,코몬도르_14,코몬도르_15,코몬도르_16,코몬도르_17,코몬도르_18,코몬도르_19,코몬도르_20
Toy,86.61910247802734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,81.48831939697266,0.0,96.44064331054688,0.0,0.0,0.0,99.99995422363281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,81.48831939697266,0.0,96.44064331054688,0.0,0.0,0.0,99.99995422363281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,81.48831939697266,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,81.48831939697266,0.0,96.44064331054688,77.19470977783203,0.0,0.0,99.99995422363281,0.0,67.86432647705078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.20285415649414,60.68372344970703
Nature,81.48831939697266,0.0,96.44064331054688,70.1446304321289,0.0,0.0,99.99995422363281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teddy Bear,72.00305938720703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mammal,0.0,96.32661437988281,97.8748779296875,87.51564025878906,89.00048828125,82.94187927246094,86.82476806640625,99.81149291992188,98.22413635253906,90.29337310791016,91.96532440185547,84.81121826171875,97.93095397949219,99.98926544189453,92.68669128417969,96.61756896972656,88.67203521728516,74.028564453125,98.30623626708984,92.22232818603516
Canine,0.0,96.32661437988281,97.8748779296875,79.55029296875,85.84489440917969,63.400726318359375,86.82476806640625,0.0,0.0,90.29337310791016,91.85537719726562,77.47382354736328,97.93095397949219,99.98926544189453,90.47341918945312,96.61756896972656,70.32357025146484,0.0,0.0,82.94895935058594
Animal,0.0,96.32661437988281,97.8748779296875,87.51564025878906,89.00048828125,82.94187927246094,86.82476806640625,99.81149291992188,98.33401489257812,92.00115203857422,91.96532440185547,85.24002838134766,97.93095397949219,99.98926544189453,96.10004425048828,96.61756896972656,89.6719970703125,80.50794219970703,98.30623626708984,92.22232818603516
Pet,0.0,95.84396362304688,97.8748779296875,76.98918914794922,87.45320892333984,65.83187866210938,86.82476806640625,0.0,58.05136489868164,90.01887512207031,91.85537719726562,79.20623016357422,97.93095397949219,99.98926544189453,91.80274963378906,96.61756896972656,71.40634155273438,0.0,0.0,79.55908203125
Dog,0.0,94.59591674804688,97.8748779296875,76.51883697509766,84.48822021484375,0.0,86.82476806640625,0.0,0.0,85.82380676269531,91.85537719726562,76.4339370727539,97.93095397949219,99.98926544189453,88.96045684814453,96.61756896972656,70.32357025146484,0.0,0.0,79.0318832397461
White Dog,0.0,85.70431518554688,58.022769927978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.39432525634766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,78.55814361572266,55.9917106628418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,59.762474060058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,97.8748779296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.55511474609375,0.0,64.54452514648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sea Life,0.0,0.0,0.0,63.48632049560547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
