,코커 스패니얼_1,코커 스패니얼_2,코커 스패니얼_3,코커 스패니얼_4,코커 스패니얼_5,코커 스패니얼_6,코커 스패니얼_7,코커 스패니얼_8,코커 스패니얼_9,코커 스패니얼_10,코커 스패니얼_11,코커 스패니얼_12,코커 스패니얼_13,코커 스패니얼_14,코커 스패니얼_15,코커 스패니얼_16,코커 스패니얼_17,코커 스패니얼_18,코커 스패니얼_19,코커 스패니얼_20
Animal,88.9273681640625,97.9986572265625,97.8748779296875,90.47599029541016,98.83870697021484,94.16452026367188,99.55172729492188,91.83552551269531,98.08570098876953,95.2116928100586,98.85517120361328,98.35411834716797,99.46556091308594,98.71903228759766,94.14675903320312,93.36184692382812,99.5465316772461,92.63214111328125,94.1800537109375,99.57725524902344
Mammal,88.9273681640625,97.9986572265625,97.8748779296875,90.47599029541016,98.83870697021484,94.16452026367188,99.55172729492188,91.0064697265625,98.08570098876953,95.2116928100586,98.85517120361328,98.35411834716797,99.46556091308594,98.71903228759766,94.14675903320312,93.36184692382812,99.5465316772461,92.63214111328125,94.1800537109375,99.57725524902344
Canine,88.2859878540039,97.9986572265625,97.8748779296875,90.47599029541016,98.83870697021484,94.16452026367188,99.55172729492188,91.0064697265625,98.08570098876953,95.2116928100586,98.85517120361328,98.35411834716797,99.46556091308594,98.71903228759766,94.14675903320312,93.36184692382812,99.5465316772461,92.63214111328125,94.1800537109375,99.57725524902344
Dog,84.19709777832031,97.9986572265625,97.8748779296875,89.06198120117188,98.83870697021484,94.16452026367188,99.55172729492188,89.31278228759766,98.08570098876953,95.13818359375,98.85517120361328,98.35411834716797,99.46556091308594,98.71903228759766,94.14675903320312,91.72527313232422,99.5465316772461,92.63214111328125,94.1800537109375,99.57725524902344
Pet,84.19709777832031,97.9986572265625,97.8748779296875,89.06198120117188,98.83870697021484,94.16452026367188,99.55172729492188,91.83552551269531,98.08570098876953,95.13818359375,98.85517120361328,98.35411834716797,99.46556091308594,98.71903228759766,94.14675903320312,92.20782470703125,99.5465316772461,92.63214111328125,94.1800537109375,99.57725524902344
Golden Retriever,80.56880187988281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.59946060180664,0.0,0.0,0.0,0.0,92.78701782226562,0.0,0.0,0.0,0.0,0.0
Puppy,60.013614654541016,0.0,97.8748779296875,56.57111740112305,0.0,77.88385009765625,0.0,0.0,0.0,0.0,0.0,0.0,79.3088150024414,0.0,60.21391296386719,0.0,88.72953796386719,0.0,0.0,0.0
Hound,0.0,97.9986572265625,0.0,0.0,0.0,0.0,0.0,88.23039245605469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beagle,0.0,92.60521697998047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,76.81233215332031,0.0,0.0,0.0,97.77622985839844,0.0,58.79685592651367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
