,코통 드 튈레아르_1,코통 드 튈레아르_2,코통 드 튈레아르_3,코통 드 튈레아르_4,코통 드 튈레아르_5,코통 드 튈레아르_6,코통 드 튈레아르_7,코통 드 튈레아르_8,코통 드 튈레아르_9,코통 드 튈레아르_10,코통 드 튈레아르_11,코통 드 튈레아르_12,코통 드 튈레아르_13,코통 드 튈레아르_14,코통 드 튈레아르_15,코통 드 튈레아르_16,코통 드 튈레아르_17,코통 드 튈레아르_18,코통 드 튈레아르_19,코통 드 튈레아르_20
Nature,97.29521942138672,96.44064331054688,0.0,0.0,0.0,61.106422424316406,0.0,91.406005859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.60855102539062,0.0,59.66688919067383,0.0,65.01785278320312
Outdoors,97.29521942138672,96.44064331054688,0.0,0.0,0.0,61.106422424316406,0.0,91.406005859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.60855102539062,0.0,59.66688919067383,0.0,65.01785278320312
Snowman,97.29521942138672,96.44064331054688,0.0,0.0,0.0,61.106422424316406,0.0,91.406005859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.60855102539062,0.0,59.66688919067383,0.0,65.01785278320312
Snow,97.29521942138672,96.44064331054688,0.0,0.0,0.0,61.106422424316406,0.0,91.406005859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.60855102539062,0.0,59.66688919067383,0.0,65.01785278320312
Winter,97.29521942138672,96.44064331054688,0.0,0.0,0.0,61.106422424316406,0.0,91.406005859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.60855102539062,0.0,59.66688919067383,0.0,65.01785278320312
Animal,93.97544860839844,97.87480163574219,98.44255828857422,77.17000579833984,97.22164916992188,63.394527435302734,82.45502471923828,95.04287719726562,73.71640014648438,56.84904098510742,85.58956146240234,93.20904541015625,88.16454315185547,96.02623748779297,91.26840209960938,96.23532104492188,90.08604431152344,92.88567352294922,91.80467987060547,95.14114379882812
Mammal,93.02947998046875,97.87480163574219,98.44255828857422,77.17000579833984,97.22164916992188,63.394527435302734,82.45502471923828,95.04287719726562,71.55370330810547,55.727779388427734,85.58956146240234,93.20904541015625,87.90394592285156,96.02623748779297,91.26840209960938,94.7793960571289,90.08604431152344,92.88567352294922,91.80467987060547,95.14114379882812
Canine,89.72119903564453,97.87480163574219,98.44255828857422,77.17000579833984,97.22164916992188,59.12601089477539,82.45502471923828,95.04287719726562,71.55370330810547,0.0,85.58956146240234,93.20904541015625,87.90394592285156,96.02623748779297,91.26840209960938,94.7793960571289,90.08604431152344,92.88567352294922,91.80467987060547,95.14114379882812
Pet,84.72794342041016,97.87480163574219,98.44255828857422,76.7353515625,97.22164916992188,62.50117111206055,76.33306884765625,94.01836395263672,71.55370330810547,0.0,82.64559173583984,92.93479919433594,88.16454315185547,95.9623794555664,91.26840209960938,96.23532104492188,88.00311279296875,92.88567352294922,90.38555145263672,95.14114379882812
Dog,84.55292510986328,97.87480163574219,98.44255828857422,0.0,97.22164916992188,56.58433151245117,65.0792236328125,93.68651580810547,71.55370330810547,0.0,58.57982635498047,92.63358306884766,81.04098510742188,95.1524887084961,91.26840209960938,94.00171661376953,88.00311279296875,92.88567352294922,90.18721771240234,95.14114379882812
Puppy,78.49984741210938,97.87480163574219,98.44255828857422,0.0,0.0,0.0,65.0792236328125,93.10155487060547,0.0,0.0,58.57982635498047,92.63358306884766,81.04098510742188,0.0,0.0,87.18418884277344,68.43866729736328,90.51579284667969,86.0329818725586,94.17340087890625
White Dog,0.0,58.022708892822266,0.0,0.0,62.03309631347656,0.0,0.0,0.0,0.0,0.0,0.0,57.78151321411133,56.11568832397461,58.91877365112305,0.0,56.97649002075195,57.67928695678711,92.88567352294922,0.0,95.14114379882812
Eskimo Dog,0.0,55.99173355102539,0.0,0.0,57.330101013183594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.87014770507812,56.58681869506836,0.0,0.0,0.0,0.0,56.42873001098633
Person,0.0,0.0,79.07028198242188,99.37373352050781,0.0,0.0,98.99668884277344,0.0,71.99606323242188,66.25188446044922,90.21249389648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,0.0,0.0,79.07028198242188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer Ball,0.0,0.0,79.07028198242188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
