,콜리_1,콜리_2,콜리_3,콜리_4,콜리_5,콜리_6,콜리_7,콜리_8,콜리_9,콜리_10,콜리_11,콜리_12,콜리_13,콜리_14,콜리_15,콜리_16,콜리_17,콜리_18,콜리_19,콜리_20
Canine,94.98355865478516,0.0,97.43425750732422,96.33522033691406,99.29217529296875,98.3727798461914,95.16651153564453,98.4357681274414,91.02409362792969,98.72743225097656,97.16529083251953,98.07617950439453,96.78914642333984,98.4781265258789,90.47599029541016,97.2513656616211,95.86151885986328,94.67505645751953,99.22647094726562,89.61538696289062
Animal,94.98355865478516,95.1599349975586,97.43425750732422,96.33522033691406,99.29217529296875,98.3727798461914,95.16651153564453,98.4357681274414,91.02409362792969,98.72743225097656,97.16529083251953,98.07617950439453,96.78914642333984,98.4781265258789,90.47599029541016,97.2513656616211,95.86151885986328,94.67505645751953,99.22647094726562,89.61538696289062
Mammal,94.98355865478516,73.3628158569336,97.43425750732422,96.33522033691406,99.29217529296875,98.3727798461914,95.16651153564453,98.4357681274414,91.02409362792969,98.72743225097656,97.16529083251953,98.07617950439453,96.78914642333984,98.4781265258789,90.47599029541016,97.2513656616211,95.86151885986328,94.67505645751953,99.22647094726562,89.61538696289062
Pet,94.44601440429688,0.0,97.43425750732422,96.33522033691406,99.29217529296875,98.3727798461914,95.16651153564453,98.4357681274414,91.02409362792969,98.72743225097656,97.16529083251953,98.07617950439453,96.78914642333984,98.4781265258789,89.06198120117188,97.2513656616211,95.03199005126953,92.29683685302734,99.22647094726562,89.45060729980469
Dog,94.3432388305664,0.0,97.43425750732422,96.33522033691406,99.29217529296875,98.3727798461914,95.16651153564453,98.4357681274414,91.02409362792969,98.72743225097656,97.16529083251953,98.07617950439453,96.78914642333984,98.4781265258789,89.06198120117188,97.2513656616211,94.48773193359375,92.29683685302734,99.22647094726562,89.45060729980469
Collie,88.17466735839844,0.0,0.0,96.33522033691406,62.53464126586914,75.5299301147461,95.16651153564453,89.5209732055664,91.02409362792969,96.6493911743164,92.17464447021484,90.35157012939453,96.78914642333984,94.73755645751953,0.0,93.91564178466797,90.07792663574219,84.10972595214844,94.98152923583984,89.45060729980469
Human,55.789554595947266,0.0,0.0,0.0,0.0,0.0,0.0,81.8602294921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,55.789554595947266,0.0,0.0,0.0,0.0,0.0,0.0,81.8602294921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bird,0.0,82.4604263305664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Painting,0.0,68.20342254638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,0.0,68.20342254638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,97.43425750732422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bonfire,0.0,0.0,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fire,0.0,0.0,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flame,0.0,0.0,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,57.98565673828125,0.0,61.679012298583984,0.0,0.0,58.384639739990234,0.0,0.0,68.17584991455078,60.40514373779297,0.0,0.0,56.57111740112305,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,70.22709655761719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.16815948486328,87.30616760253906,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,82.70647430419922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.51666259765625,0.0,0.0,0.0,0.0,0.0
Wood,0.0,0.0,0.0,0.0,78.86006927490234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,73.43649291992188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pillow,0.0,0.0,0.0,0.0,73.43649291992188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Face,0.0,0.0,0.0,0.0,64.91915130615234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portrait,0.0,0.0,0.0,0.0,64.91915130615234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photography,0.0,0.0,0.0,0.0,64.91915130615234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photo,0.0,0.0,0.0,0.0,64.91915130615234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indoors,0.0,0.0,0.0,0.0,64.74713134765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plywood,0.0,0.0,0.0,0.0,61.8555793762207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
