,쿠바스_1,쿠바스_2,쿠바스_3,쿠바스_4,쿠바스_5,쿠바스_6,쿠바스_7,쿠바스_8,쿠바스_9,쿠바스_10,쿠바스_11,쿠바스_12,쿠바스_13,쿠바스_14,쿠바스_15,쿠바스_16,쿠바스_17,쿠바스_18,쿠바스_19,쿠바스_20
Mammal,93.61616516113281,93.81555938720703,96.32661437988281,0.0,0.0,94.73999786376953,82.52571868896484,0.0,0.0,95.3327407836914,90.01545715332031,81.79609680175781,97.61936950683594,90.43882751464844,0.0,0.0,0.0,92.54582214355469,0.0,0.0
Animal,93.61616516113281,93.81555938720703,96.32661437988281,0.0,0.0,94.73999786376953,85.28163146972656,0.0,0.0,95.3327407836914,90.8943099975586,86.95391845703125,97.61936950683594,90.43882751464844,0.0,0.0,0.0,92.54582214355469,0.0,0.0
Canine,93.54910278320312,93.81555938720703,96.32661437988281,0.0,0.0,94.73999786376953,81.76301574707031,0.0,0.0,95.3327407836914,90.01545715332031,79.29418182373047,97.61936950683594,90.43882751464844,0.0,0.0,0.0,92.54582214355469,0.0,0.0
Pet,92.93694305419922,92.9109115600586,95.84396362304688,0.0,0.0,94.73999786376953,83.95966339111328,0.0,0.0,95.3327407836914,90.8943099975586,86.95391845703125,97.61936950683594,88.6372299194336,0.0,0.0,0.0,92.54582214355469,0.0,0.0
Dog,92.59566497802734,91.8648910522461,94.59591674804688,0.0,0.0,94.73999786376953,81.51765441894531,0.0,0.0,95.3327407836914,88.70515441894531,77.1179428100586,97.61936950683594,79.36209106445312,0.0,0.0,0.0,92.54582214355469,0.0,0.0
White Dog,79.25834655761719,70.7052001953125,85.70431518554688,0.0,0.0,94.73999786376953,0.0,0.0,0.0,0.0,81.33401489257812,68.41222381591797,80.6683120727539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gown,0.0,94.03215026855469,0.0,0.0,0.0,69.10493469238281,0.0,0.0,0.0,0.0,0.0,85.2145767211914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robe,0.0,94.03215026855469,0.0,0.0,0.0,69.10493469238281,0.0,0.0,0.0,0.0,0.0,85.2145767211914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,94.03215026855469,0.0,99.9721450805664,0.0,69.10493469238281,0.0,0.0,0.0,0.0,63.80696105957031,85.2145767211914,0.0,96.35104370117188,0.0,0.0,99.88654327392578,0.0,0.0,99.95650482177734
Clothing,0.0,94.03215026855469,0.0,99.9721450805664,0.0,69.10493469238281,0.0,0.0,0.0,0.0,63.80696105957031,85.2145767211914,0.0,96.35104370117188,0.0,0.0,99.88654327392578,0.0,0.0,99.95650482177734
Wedding,0.0,94.03215026855469,0.0,0.0,0.0,69.10493469238281,0.0,0.0,0.0,0.0,0.0,85.2145767211914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wedding Gown,0.0,94.03215026855469,0.0,0.0,0.0,69.10493469238281,0.0,0.0,0.0,0.0,0.0,85.2145767211914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fashion,0.0,94.03215026855469,0.0,0.0,0.0,69.10493469238281,0.0,0.0,0.0,0.0,0.0,85.2145767211914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,0.0,86.95963287353516,0.0,0.0,0.0,85.40818786621094,0.0,0.0,0.0,0.0,0.0,71.00511932373047,0.0,67.10845947265625,0.0,0.0,0.0,92.64617156982422,0.0,0.0
Snowman,0.0,86.95963287353516,0.0,0.0,0.0,85.40818786621094,0.0,0.0,0.0,0.0,0.0,71.00511932373047,0.0,67.10845947265625,0.0,0.0,0.0,92.64617156982422,0.0,0.0
Snow,0.0,86.95963287353516,0.0,0.0,0.0,85.40818786621094,0.0,0.0,0.0,0.0,0.0,71.00511932373047,0.0,67.10845947265625,0.0,0.0,0.0,92.64617156982422,0.0,0.0
Outdoors,0.0,86.95963287353516,0.0,0.0,0.0,85.40818786621094,0.0,0.0,0.0,0.0,56.562931060791016,71.00511932373047,0.0,67.10845947265625,0.0,99.8370132446289,0.0,92.64617156982422,0.0,0.0
