,쿠이커혼제_1,쿠이커혼제_2,쿠이커혼제_3,쿠이커혼제_4,쿠이커혼제_5,쿠이커혼제_6,쿠이커혼제_7,쿠이커혼제_8,쿠이커혼제_9,쿠이커혼제_10,쿠이커혼제_11,쿠이커혼제_12,쿠이커혼제_13,쿠이커혼제_14,쿠이커혼제_15,쿠이커혼제_16,쿠이커혼제_17,쿠이커혼제_18,쿠이커혼제_19,쿠이커혼제_20
Mammal,99.14338684082031,95.55091857910156,95.66925811767578,89.96771240234375,93.89167022705078,98.1838607788086,98.79678344726562,96.51880645751953,98.17935180664062,96.71580505371094,92.1776123046875,91.53705596923828,89.25152587890625,72.49237060546875,87.7743148803711,91.43273162841797,93.93559265136719,91.34883117675781,90.48249816894531,88.94710540771484
Dog,99.14338684082031,95.55091857910156,95.66925811767578,89.40699005126953,93.89167022705078,98.1838607788086,98.79678344726562,96.51880645751953,98.17935180664062,96.71580505371094,90.48377227783203,90.81502532958984,87.58137512207031,57.763526916503906,87.2509994506836,86.09960174560547,93.93559265136719,90.99396514892578,89.25562286376953,87.8578109741211
Canine,99.14338684082031,95.55091857910156,95.66925811767578,89.96771240234375,93.89167022705078,98.1838607788086,98.79678344726562,96.51880645751953,98.17935180664062,96.71580505371094,92.1776123046875,91.53705596923828,89.25152587890625,70.09861755371094,87.7743148803711,91.43273162841797,93.93559265136719,91.34883117675781,90.48249816894531,88.94710540771484
Animal,99.14338684082031,95.55091857910156,95.66925811767578,89.96771240234375,93.89167022705078,98.1838607788086,98.79678344726562,96.51880645751953,98.17935180664062,96.71580505371094,92.1776123046875,91.53705596923828,89.25152587890625,76.00443267822266,87.7743148803711,92.44556427001953,93.93559265136719,91.34883117675781,90.48249816894531,88.94710540771484
Pet,99.14338684082031,95.55091857910156,95.66925811767578,89.40699005126953,93.89167022705078,98.1838607788086,98.79678344726562,96.51880645751953,98.17935180664062,96.71580505371094,91.43372344970703,90.81502532958984,87.80288696289062,76.00443267822266,87.2509994506836,92.44556427001953,93.93559265136719,90.99396514892578,89.25562286376953,88.0987319946289
Outdoors,91.43336486816406,0.0,0.0,0.0,70.61653900146484,59.140708923339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sand,88.12604522705078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,88.12604522705078,0.0,0.0,0.0,70.61653900146484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,64.9052505493164,95.55091857910156,93.96929931640625,60.16761779785156,93.89167022705078,98.1838607788086,98.79678344726562,96.51880645751953,98.17935180664062,96.71580505371094,58.65513229370117,0.0,66.55487823486328,57.763526916503906,0.0,56.895103454589844,83.76136016845703,82.3599853515625,0.0,58.43055725097656
Puppy,63.56233215332031,0.0,55.19536209106445,88.47945404052734,0.0,0.0,0.0,56.0700569152832,0.0,57.38764572143555,0.0,73.21595764160156,59.831077575683594,0.0,0.0,86.09960174560547,0.0,55.139896392822266,55.1751594543457,78.80316925048828
Soil,57.46247482299805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghan Hound,0.0,76.58035278320312,68.57026672363281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
