,클럼버 스패니얼_1,클럼버 스패니얼_2,클럼버 스패니얼_3,클럼버 스패니얼_4,클럼버 스패니얼_5,클럼버 스패니얼_6,클럼버 스패니얼_7,클럼버 스패니얼_8,클럼버 스패니얼_9,클럼버 스패니얼_10,클럼버 스패니얼_11,클럼버 스패니얼_12,클럼버 스패니얼_13,클럼버 스패니얼_14,클럼버 스패니얼_15,클럼버 스패니얼_16,클럼버 스패니얼_17,클럼버 스패니얼_18,클럼버 스패니얼_19,클럼버 스패니얼_20
Mammal,98.67972564697266,97.49591827392578,99.92093658447266,0.0,96.38347625732422,82.98435974121094,93.29065704345703,93.57340240478516,89.67640686035156,93.84170532226562,99.22019958496094,98.73143768310547,91.09719848632812,93.9193344116211,90.32577514648438,80.32085418701172,94.43074798583984,91.85614013671875,90.4166259765625,98.9490966796875
Pig,98.67972564697266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.70622253417969,0.0,98.9490966796875
Animal,98.67972564697266,97.49591827392578,99.92093658447266,0.0,96.38347625732422,84.78072357177734,93.29065704345703,93.98470306396484,89.67640686035156,93.84170532226562,99.22019958496094,98.73143768310547,91.09719848632812,93.9193344116211,90.5608139038086,80.32085418701172,94.43074798583984,91.85614013671875,90.4166259765625,98.9490966796875
Canine,93.94345092773438,97.49591827392578,99.92093658447266,0.0,96.38347625732422,68.22115325927734,93.29065704345703,93.57340240478516,88.91149139404297,93.84170532226562,99.22019958496094,98.73143768310547,91.09719848632812,93.9193344116211,90.32577514648438,80.32085418701172,94.43074798583984,91.85614013671875,90.4166259765625,95.64716339111328
Dog,92.71753692626953,97.49591827392578,99.92093658447266,0.0,95.35120391845703,65.82292938232422,93.1492919921875,91.62812042236328,87.22888946533203,92.47118377685547,99.22019958496094,98.73143768310547,90.0522689819336,93.9193344116211,90.32577514648438,0.0,94.43074798583984,91.63162994384766,89.76983642578125,95.44937133789062
Pet,92.71753692626953,97.49591827392578,99.92093658447266,0.0,96.17493438720703,71.80896759033203,93.1492919921875,93.98470306396484,89.21112823486328,92.47118377685547,99.22019958496094,98.73143768310547,90.0522689819336,93.9193344116211,90.5608139038086,80.30776977539062,94.43074798583984,91.63162994384766,89.76983642578125,95.44937133789062
Golden Retriever,78.35386657714844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.32918930053711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0126724243164,0.0,0.0
Bulldog,69.60921478271484,0.0,0.0,0.0,0.0,65.82292938232422,85.49224090576172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.46202850341797
Boxer,68.2932357788086,0.0,0.0,0.0,0.0,0.0,59.65298843383789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,55.6427116394043,0.0,0.0,0.0,73.27825164794922,0.0,86.85420989990234,0.0,0.0,0.0,0.0,0.0,70.76844024658203,0.0,0.0,0.0,0.0,0.0,57.26525115966797,0.0
Pitbull,55.31947326660156,0.0,0.0,0.0,0.0,0.0,62.5286750793457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.98344421386719
Cocker Spaniel,0.0,97.49591827392578,98.79435729980469,0.0,56.964866638183594,0.0,0.0,55.168121337890625,61.29658889770508,91.53440856933594,0.0,0.0,0.0,93.9193344116211,90.32577514648438,0.0,94.43074798583984,57.7568359375,85.99208068847656,66.10853576660156
Spaniel,0.0,97.49591827392578,98.79435729980469,0.0,56.964866638183594,0.0,0.0,55.168121337890625,61.29658889770508,91.53440856933594,0.0,0.0,0.0,93.9193344116211,90.32577514648438,0.0,94.43074798583984,57.7568359375,85.99208068847656,66.10853576660156
Text,0.0,0.0,0.0,99.57744598388672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Word,0.0,0.0,0.0,98.77176666259766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,94.95106506347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poster,0.0,0.0,0.0,88.6448745727539,0.0,57.32011413574219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
