,토이 폭스 테리어_1,토이 폭스 테리어_2,토이 폭스 테리어_3,토이 폭스 테리어_4,토이 폭스 테리어_5,토이 폭스 테리어_6,토이 폭스 테리어_7,토이 폭스 테리어_8,토이 폭스 테리어_9,토이 폭스 테리어_10,토이 폭스 테리어_11,토이 폭스 테리어_12,토이 폭스 테리어_13,토이 폭스 테리어_14,토이 폭스 테리어_15,토이 폭스 테리어_16,토이 폭스 테리어_17,토이 폭스 테리어_18,토이 폭스 테리어_19,토이 폭스 테리어_20
Dog,99.59466552734375,96.88997650146484,98.73809051513672,99.80400848388672,90.09708404541016,99.45831298828125,87.93870544433594,98.58589172363281,99.93213653564453,82.68341064453125,98.42406463623047,92.74079895019531,98.8622055053711,95.416748046875,98.67168426513672,65.89803314208984,93.40021514892578,90.5943832397461,99.5745620727539,97.41609191894531
Chihuahua,99.59466552734375,88.9079818725586,0.0,99.80400848388672,90.09708404541016,99.45831298828125,65.66263580322266,98.58589172363281,99.93213653564453,0.0,98.42406463623047,55.2689208984375,98.8622055053711,95.416748046875,98.67168426513672,0.0,0.0,68.8343734741211,99.5745620727539,97.41609191894531
Canine,99.59466552734375,96.88997650146484,98.73809051513672,99.80400848388672,90.09708404541016,99.45831298828125,89.21343994140625,98.58589172363281,99.93213653564453,82.68341064453125,98.42406463623047,93.9266128540039,98.8622055053711,95.416748046875,98.67168426513672,65.89803314208984,93.40021514892578,91.33621978759766,99.5745620727539,97.41609191894531
Pet,99.59466552734375,96.88997650146484,98.73809051513672,99.80400848388672,90.09708404541016,99.45831298828125,89.61920166015625,98.58589172363281,99.93213653564453,86.94778442382812,98.42406463623047,94.25486755371094,98.8622055053711,95.416748046875,98.67168426513672,89.30774688720703,93.40021514892578,92.57353210449219,99.5745620727539,97.41609191894531
Mammal,99.59466552734375,96.88997650146484,98.73809051513672,99.80400848388672,90.09708404541016,99.45831298828125,89.21343994140625,98.58589172363281,99.93213653564453,84.31346893310547,98.42406463623047,93.9266128540039,98.8622055053711,95.416748046875,98.67168426513672,88.96337127685547,93.40021514892578,91.33621978759766,99.5745620727539,97.41609191894531
Animal,99.59466552734375,96.88997650146484,98.73809051513672,99.80400848388672,90.09708404541016,99.45831298828125,89.61920166015625,98.58589172363281,99.93213653564453,86.94778442382812,98.42406463623047,94.25486755371094,98.8622055053711,95.416748046875,98.67168426513672,90.54021453857422,93.40021514892578,92.57353210449219,99.5745620727539,97.41609191894531
Boston Bull,0.0,96.88997650146484,59.591102600097656,0.0,0.0,56.488807678222656,0.0,56.814212799072266,72.20387268066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.40021514892578,0.0,0.0,0.0
Bulldog,0.0,96.88997650146484,59.591102600097656,0.0,0.0,56.488807678222656,0.0,56.814212799072266,72.20387268066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.40021514892578,0.0,0.0,0.0
Strap,0.0,66.13406372070312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.02265930175781,0.0,0.0,0.0,0.0,57.615440368652344,0.0,0.0
Husky,0.0,0.0,98.73809051513672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,80.78408813476562,0.0,55.75737380981445,63.42744827270508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,80.78408813476562,0.0,55.75737380981445,63.42744827270508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,62.772274017333984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.2074203491211,0.0,0.0
Clothing,0.0,0.0,62.772274017333984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.2074203491211,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,81.85564422607422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pillow,0.0,0.0,0.0,0.0,81.85564422607422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,59.61353302001953,0.0,0.0,72.48582458496094,0.0,0.0,79.23261260986328,83.45738220214844,0.0,0.0,71.40626525878906,0.0,0.0,75.53970336914062,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,55.75737380981445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,83.87557220458984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.35504150390625,86.45167541503906,0.0,0.0,0.0,0.0,71.3480224609375
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.90766906738281,0.0,0.0,0.0,0.0,0.0,0.0,81.3929443359375,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.02092361450195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5978889465332,0.0,60.413124084472656,0.0,0.0,0.0,0.0,0.0,60.98225402832031,0.0,0.0
Pointer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.312530517578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
