,티베탄 마스티프_1,티베탄 마스티프_2,티베탄 마스티프_3,티베탄 마스티프_4,티베탄 마스티프_5,티베탄 마스티프_6,티베탄 마스티프_7,티베탄 마스티프_8,티베탄 마스티프_9,티베탄 마스티프_10,티베탄 마스티프_11,티베탄 마스티프_12,티베탄 마스티프_13,티베탄 마스티프_14,티베탄 마스티프_15,티베탄 마스티프_16,티베탄 마스티프_17,티베탄 마스티프_18,티베탄 마스티프_19,티베탄 마스티프_20
Human,99.66033935546875,91.60542297363281,0.0,0.0,0.0,0.0,92.01704406738281,0.0,0.0,0.0,0.0,0.0,0.0,96.96197509765625,0.0,0.0,97.13381958007812,97.43527221679688,0.0,99.60313415527344
Person,99.66033935546875,91.60542297363281,0.0,0.0,0.0,0.0,92.01704406738281,0.0,0.0,0.0,0.0,0.0,0.0,96.96197509765625,0.0,0.0,97.13381958007812,97.43527221679688,0.0,99.60313415527344
Animal,94.5096435546875,92.3674545288086,93.8013916015625,95.49667358398438,91.05180358886719,93.35372161865234,96.83863830566406,95.48226165771484,97.33518981933594,98.16742706298828,97.77964782714844,93.76979064941406,96.04783630371094,63.22824478149414,94.47756958007812,92.85847473144531,75.01911163330078,91.35221862792969,99.99759674072266,82.84957885742188
Clothing,91.94225311279297,0.0,0.0,0.0,0.0,0.0,65.27308654785156,0.0,0.0,0.0,0.0,0.0,0.0,69.05750274658203,0.0,0.0,59.91828536987305,0.0,0.0,0.0
Apparel,91.94225311279297,0.0,0.0,0.0,0.0,0.0,65.27308654785156,0.0,0.0,0.0,0.0,0.0,0.0,69.05750274658203,0.0,0.0,59.91828536987305,0.0,0.0,0.0
Pants,91.94225311279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mammal,91.41436004638672,92.27516174316406,92.23283386230469,95.45252990722656,89.57801818847656,93.35372161865234,96.83863830566406,95.48226165771484,97.33518981933594,98.16742706298828,96.67286682128906,91.93579864501953,96.04783630371094,63.22824478149414,94.47756958007812,92.85847473144531,75.01911163330078,88.96810913085938,99.99759674072266,82.84957885742188
Canine,91.41436004638672,60.15269470214844,86.26292419433594,95.45252990722656,84.2657241821289,93.35372161865234,96.83863830566406,95.48226165771484,97.33518981933594,98.16742706298828,94.19778442382812,90.95159912109375,93.00485229492188,61.67565155029297,94.47756958007812,92.85847473144531,75.01911163330078,73.65542602539062,93.49391174316406,57.40100860595703
Pet,87.57897186279297,64.09371948242188,88.24287414550781,95.49667358398438,82.97473907470703,92.57206726074219,96.83863830566406,95.48226165771484,97.33518981933594,98.16742706298828,92.75645446777344,90.1830825805664,93.66873931884766,56.75223922729492,94.06082916259766,92.85847473144531,70.43511962890625,77.26146697998047,93.37245178222656,0.0
Dog,73.39082336425781,0.0,86.00737762451172,95.41971588134766,82.97473907470703,92.57206726074219,96.83863830566406,95.48226165771484,97.33518981933594,98.16742706298828,92.75645446777344,90.1830825805664,91.77702331542969,0.0,94.06082916259766,92.85847473144531,0.0,0.0,93.37245178222656,0.0
