,티베탄 스패니얼_1,티베탄 스패니얼_2,티베탄 스패니얼_3,티베탄 스패니얼_4,티베탄 스패니얼_5,티베탄 스패니얼_6,티베탄 스패니얼_7,티베탄 스패니얼_8,티베탄 스패니얼_9,티베탄 스패니얼_10,티베탄 스패니얼_11,티베탄 스패니얼_12,티베탄 스패니얼_13,티베탄 스패니얼_14,티베탄 스패니얼_15,티베탄 스패니얼_16,티베탄 스패니얼_17,티베탄 스패니얼_18,티베탄 스패니얼_19,티베탄 스패니얼_20
Dog,96.57026672363281,91.29914855957031,78.82408142089844,94.32512664794922,98.77532196044922,96.76203155517578,94.58091735839844,87.91423034667969,91.47132873535156,93.67877197265625,86.2826919555664,92.55370330810547,93.9065933227539,87.56262969970703,93.00470733642578,86.75194549560547,88.84198760986328,85.45675659179688,89.98675537109375,93.874267578125
Pet,96.57026672363281,92.17252349853516,82.98955535888672,94.32512664794922,98.77532196044922,96.76203155517578,94.58091735839844,87.91423034667969,91.47132873535156,94.06209564208984,94.76126861572266,92.7858657836914,94.69976806640625,90.47335052490234,93.00470733642578,90.55140686035156,89.67174530029297,86.69085693359375,92.01724243164062,93.874267578125
Canine,96.57026672363281,92.37972259521484,78.82408142089844,94.32512664794922,98.77532196044922,96.76203155517578,94.58091735839844,87.91423034667969,93.4102783203125,94.7935791015625,86.2826919555664,93.74099731445312,94.92082977294922,88.6906509399414,93.98577880859375,92.62968444824219,88.96984100341797,88.70204162597656,93.03160095214844,93.874267578125
Mammal,96.57026672363281,92.37972259521484,78.82408142089844,94.32512664794922,98.77532196044922,96.76203155517578,94.58091735839844,91.15771484375,93.4102783203125,94.7935791015625,92.78894805908203,93.74099731445312,94.92082977294922,88.6906509399414,93.98577880859375,92.62968444824219,88.96984100341797,88.70204162597656,93.03160095214844,93.874267578125
Animal,96.57026672363281,92.37972259521484,82.98955535888672,94.32512664794922,98.77532196044922,96.76203155517578,94.58091735839844,91.15771484375,93.4102783203125,94.7935791015625,95.97889709472656,93.74099731445312,94.92082977294922,90.47335052490234,93.98577880859375,92.62968444824219,89.67174530029297,88.70204162597656,93.03160095214844,93.874267578125
Golden Retriever,95.03231048583984,0.0,0.0,0.0,0.0,0.0,70.50785064697266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,76.62584686279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.21565628051758,0.0
Grass,72.0083236694336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.66997528076172,0.0,0.0,0.0,0.0,0.0,0.0,68.55400085449219,0.0
Plant,72.0083236694336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.66997528076172,0.0,0.0,0.0,0.0,0.0,0.0,68.55400085449219,57.77290344238281
Spaniel,57.86211013793945,0.0,56.519832611083984,69.37033081054688,0.0,96.76203155517578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.95016479492188,63.466434478759766,0.0,0.0,0.0,0.0
Cocker Spaniel,57.86211013793945,0.0,56.519832611083984,69.37033081054688,0.0,96.76203155517578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.95016479492188,63.466434478759766,0.0,0.0,0.0,0.0
Puppy,55.996612548828125,0.0,0.0,0.0,98.77532196044922,0.0,94.58091735839844,64.89054870605469,85.04541778564453,59.87822341918945,0.0,0.0,0.0,60.926692962646484,60.12355041503906,86.75194549560547,81.58880615234375,80.81947326660156,71.05282592773438,93.874267578125
Strap,0.0,0.0,83.40650177001953,68.64456176757812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spoke,0.0,0.0,68.10572814941406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machine,0.0,0.0,68.10572814941406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harness,0.0,0.0,64.06543731689453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,60.92884063720703,0.0,0.0,0.0,0.0,81.1628189086914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,58.8026123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collie,0.0,0.0,56.095523834228516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.923362731933594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Papillon,0.0,0.0,55.75897979736328,0.0,0.0,96.76203155517578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.33351135253906,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,80.77274322509766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.82136535644531,0.0,0.0,0.0,55.74673080444336,0.0,0.0
Rock,0.0,0.0,0.0,0.0,0.0,0.0,66.77001190185547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.7104263305664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.25157928466797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.32829284667969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.41390228271484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.16641616821289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.84846878051758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.435489654541016,0.0,0.0,0.0,0.0,0.0,0.0
Photo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.435489654541016,0.0,0.0,0.0,0.0,0.0,0.0
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.476436614990234,0.0,0.0,0.0,0.0,0.0,0.0
