,티베탄 테리어_1,티베탄 테리어_2,티베탄 테리어_3,티베탄 테리어_4,티베탄 테리어_5,티베탄 테리어_6,티베탄 테리어_7,티베탄 테리어_8,티베탄 테리어_9,티베탄 테리어_10,티베탄 테리어_11,티베탄 테리어_12,티베탄 테리어_13,티베탄 테리어_14,티베탄 테리어_15,티베탄 테리어_16,티베탄 테리어_17,티베탄 테리어_18,티베탄 테리어_19,티베탄 테리어_20
Mammal,89.9521255493164,99.1396713256836,98.65067291259766,97.75005340576172,93.11436462402344,98.85579681396484,99.17632293701172,87.52859497070312,91.72439575195312,92.31565856933594,94.9030990600586,93.81928253173828,93.48466491699219,85.25180053710938,92.84851837158203,93.9066390991211,93.65052032470703,97.04462432861328,93.4450454711914,92.60502624511719
Animal,89.9521255493164,99.1396713256836,98.65067291259766,97.75005340576172,93.11436462402344,98.85579681396484,99.17632293701172,87.6253662109375,92.3219985961914,92.31565856933594,94.9030990600586,93.93006134033203,93.96920776367188,86.84342193603516,92.84851837158203,93.9066390991211,93.65052032470703,97.04462432861328,93.4450454711914,92.60502624511719
Canine,89.9521255493164,99.1396713256836,98.65067291259766,97.75005340576172,93.11436462402344,98.85579681396484,99.17632293701172,87.52859497070312,91.72439575195312,92.31565856933594,94.9030990600586,93.81928253173828,93.48466491699219,85.25180053710938,92.84851837158203,93.9066390991211,93.65052032470703,97.04462432861328,93.4450454711914,92.60502624511719
Pet,89.68080139160156,99.1396713256836,98.65067291259766,97.75005340576172,93.10308837890625,98.85579681396484,99.17632293701172,87.6253662109375,92.3219985961914,91.18299102783203,94.9030990600586,93.93006134033203,93.96920776367188,86.84342193603516,92.70140838623047,93.9066390991211,93.65052032470703,97.04462432861328,91.95231628417969,92.12728881835938
Dog,89.19197845458984,99.1396713256836,98.65067291259766,97.75005340576172,92.59634399414062,98.85579681396484,99.17632293701172,87.29351043701172,57.08320617675781,91.15077209472656,94.9030990600586,93.81928253173828,93.48466491699219,81.34501647949219,92.37794494628906,93.9066390991211,93.65052032470703,97.04462432861328,91.85346984863281,92.12728881835938
Puppy,85.91667938232422,69.72364044189453,86.31008911132812,0.0,77.27623748779297,0.0,90.39763641357422,74.60262298583984,0.0,0.0,94.9030990600586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.06790924072266,0.0
Snow,72.87651062011719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,72.87651062011719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,72.87651062011719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,65.87313079833984,87.39403533935547,75.34768676757812,76.36468505859375,80.90771484375,84.28751373291016,75.8147964477539,81.3144760131836,57.08320617675781,55.52794647216797,75.34358978271484,0.0,0.0,70.5062026977539,63.05699920654297,85.44869232177734,0.0,0.0,0.0,0.0
Ice,57.57853317260742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,98.71588134765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pillow,0.0,0.0,98.71588134765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,68.84493255615234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Couch,0.0,0.0,62.86167907714844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
