,파라오 하운드_1,파라오 하운드_2,파라오 하운드_3,파라오 하운드_4,파라오 하운드_5,파라오 하운드_6,파라오 하운드_7,파라오 하운드_8,파라오 하운드_9,파라오 하운드_10,파라오 하운드_11,파라오 하운드_12,파라오 하운드_13,파라오 하운드_14,파라오 하운드_15,파라오 하운드_16,파라오 하운드_17,파라오 하운드_18,파라오 하운드_19,파라오 하운드_20
Mammal,90.87816619873047,94.18490600585938,93.96006774902344,95.59557342529297,96.19173431396484,98.53450775146484,85.2680435180664,99.08163452148438,91.83885955810547,93.48176574707031,93.7907943725586,94.98849487304688,99.98926544189453,92.42395782470703,91.61869049072266,90.27657318115234,90.4570541381836,92.60112762451172,91.58570861816406,78.97795104980469
Animal,90.87816619873047,94.18490600585938,93.96006774902344,95.59557342529297,96.19173431396484,98.53450775146484,87.05807495117188,99.08163452148438,92.88701629638672,93.48176574707031,95.0945816040039,96.18262481689453,99.98926544189453,92.42395782470703,91.61869049072266,91.11041259765625,90.4570541381836,92.60112762451172,93.6355209350586,78.97795104980469
Canine,90.87816619873047,63.71330261230469,93.96006774902344,95.59557342529297,96.19173431396484,92.93179321289062,85.2680435180664,99.08163452148438,91.83885955810547,93.48176574707031,86.48920440673828,81.03328704833984,99.98926544189453,92.42395782470703,91.61869049072266,86.12483215332031,90.4570541381836,92.60112762451172,91.58570861816406,78.97795104980469
Pet,89.61641693115234,62.34902572631836,93.96006774902344,95.59557342529297,96.19173431396484,92.93179321289062,87.05807495117188,99.08163452148438,92.88701629638672,93.48176574707031,76.17263793945312,87.27440643310547,99.98926544189453,91.07846069335938,91.39707946777344,81.60692596435547,89.59866333007812,91.27667999267578,93.6355209350586,76.68046569824219
Dog,87.83267974853516,0.0,93.96006774902344,95.59557342529297,96.19173431396484,92.93179321289062,85.23460388183594,99.08163452148438,90.99798583984375,93.48176574707031,0.0,71.37864685058594,99.98926544189453,91.07846069335938,79.5309829711914,81.60692596435547,75.18986511230469,91.27667999267578,90.50454711914062,73.63733673095703
Chihuahua,86.61297607421875,0.0,0.0,55.23396301269531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.01692199707031,0.0,0.0,0.0,0.0,0.0,73.63733673095703
Puppy,85.29106903076172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.039939880371094,0.0
Confectionery,60.59611892700195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food,60.59611892700195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweets,60.59611892700195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,60.58995056152344,0.0,93.96006774902344,58.75263977050781,61.5433235168457,0.0,0.0,0.0,74.53675079345703,0.0,0.0,71.37864685058594,99.98926544189453,61.34429931640625,74.18425750732422,0.0,75.18986511230469,72.68626403808594,0.0,0.0
Sleeping,0.0,97.14227294921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asleep,0.0,97.14227294921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,61.42489242553711,0.0,0.0,78.8583755493164,0.0,68.30493927001953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,61.42489242553711,0.0,0.0,78.8583755493164,0.0,73.98045349121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,92.85786437988281,0.0,64.81317901611328,70.08501434326172,84.30602264404297,0.0,0.0,0.0,0.0,0.0,59.04868698120117,0.0,0.0,0.0,0.0,0.0,0.0
Walkway,0.0,0.0,0.0,92.43303680419922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Path,0.0,0.0,0.0,92.43303680419922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,90.52568054199219,0.0,63.42023849487305,0.0,57.182228088378906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yard,0.0,0.0,0.0,85.76519012451172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,85.76519012451172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flagstone,0.0,0.0,0.0,74.61175537109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slate,0.0,0.0,0.0,70.3701171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,66.19007110595703,0.0,98.53450775146484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.77951049804688,0.0,66.15412902832031,0.0,0.0
Deer,0.0,0.0,0.0,66.19007110595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.77951049804688,0.0,0.0,0.0,0.0
Garden,0.0,0.0,0.0,55.56888961791992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,65.85859680175781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standing,0.0,0.0,0.0,0.0,60.078155517578125,0.0,0.0,0.0,0.0,0.0,0.0,67.74787139892578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antelope,0.0,0.0,0.0,0.0,0.0,98.53450775146484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.15412902832031,0.0,0.0
Great Dane,0.0,0.0,0.0,0.0,0.0,92.93179321289062,75.64570617675781,0.0,70.8532943725586,0.0,0.0,0.0,0.0,58.49190139770508,0.0,68.13540649414062,0.0,0.0,0.0,0.0
Pointer,0.0,0.0,0.0,0.0,0.0,71.37995147705078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.1876449584961,0.0,0.0
Field,0.0,0.0,0.0,0.0,0.0,63.42023849487305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,0.0,0.0,0.0,0.0,63.42023849487305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,0.0,0.0,0.0,0.0,0.0,0.0,80.86083221435547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,62.86854934692383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machine,0.0,0.0,0.0,0.0,0.0,0.0,57.05080032348633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.15694427490234,0.0,0.0,0.0,0.0,0.0
