,파슨 러셀 테리어_1,파슨 러셀 테리어_2,파슨 러셀 테리어_3,파슨 러셀 테리어_4,파슨 러셀 테리어_5,파슨 러셀 테리어_6,파슨 러셀 테리어_7,파슨 러셀 테리어_8,파슨 러셀 테리어_9,파슨 러셀 테리어_10,파슨 러셀 테리어_11,파슨 러셀 테리어_12,파슨 러셀 테리어_13,파슨 러셀 테리어_14,파슨 러셀 테리어_15,파슨 러셀 테리어_16,파슨 러셀 테리어_17,파슨 러셀 테리어_18,파슨 러셀 테리어_19,파슨 러셀 테리어_20
Animal,94.2384033203125,95.21717071533203,95.38513946533203,99.70415496826172,99.8034896850586,98.49026489257812,95.45077514648438,84.74945831298828,97.55105590820312,83.72149658203125,91.4194107055664,89.15203857421875,90.7716064453125,88.9330062866211,87.64176177978516,70.81940460205078,92.56085968017578,93.40626525878906,91.13838195800781,88.76081085205078
Pet,94.2384033203125,95.21717071533203,94.62297821044922,99.70415496826172,99.8034896850586,98.49026489257812,95.45077514648438,0.0,97.55105590820312,83.72149658203125,90.72334289550781,88.3816909790039,90.7716064453125,88.9330062866211,86.86507415771484,70.81940460205078,92.56085968017578,93.40626525878906,91.13838195800781,88.76081085205078
Canine,93.8622817993164,93.99748992919922,95.38513946533203,99.70415496826172,99.8034896850586,98.49026489257812,95.32557678222656,0.0,97.55105590820312,83.12669372558594,91.4194107055664,89.15203857421875,89.70083618164062,87.85074615478516,87.64176177978516,69.04198455810547,92.56085968017578,93.40626525878906,90.88628387451172,88.74456024169922
Mammal,93.8622817993164,93.99748992919922,95.38513946533203,99.70415496826172,99.8034896850586,98.49026489257812,95.32557678222656,83.0473403930664,97.55105590820312,83.12669372558594,91.4194107055664,89.15203857421875,89.70083618164062,87.85074615478516,87.64176177978516,69.04198455810547,92.56085968017578,93.40626525878906,90.88628387451172,88.74456024169922
Dog,93.5068588256836,93.62459564208984,94.08158874511719,99.70415496826172,99.8034896850586,98.49026489257812,95.15625762939453,0.0,97.55105590820312,83.12669372558594,89.26068878173828,87.24359893798828,87.44478607177734,87.85074615478516,86.86507415771484,67.59513092041016,92.56085968017578,93.40626525878906,89.76874542236328,56.037109375
Terrier,83.34097290039062,78.8932876586914,88.11520385742188,0.0,0.0,58.17523956298828,0.0,0.0,0.0,71.95117950439453,0.0,59.332054138183594,64.66033172607422,58.43769836425781,0.0,0.0,64.05242156982422,0.0,76.39433288574219,56.037109375
Puppy,66.40126037597656,75.2303466796875,0.0,0.0,0.0,0.0,79.86656188964844,0.0,0.0,0.0,0.0,65.68346405029297,87.44478607177734,56.84473419189453,0.0,0.0,92.56085968017578,0.0,0.0,0.0
White Dog,0.0,57.83012390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.28879928588867,77.04536437988281,0.0,0.0,0.0,84.97638702392578,0.0,64.61248779296875,0.0
Poodle,0.0,56.7122917175293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Airedale,0.0,0.0,56.025943756103516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
