,파피용_1,파피용_2,파피용_3,파피용_4,파피용_5,파피용_6,파피용_7,파피용_8,파피용_9,파피용_10,파피용_11,파피용_12,파피용_13,파피용_14,파피용_15,파피용_16,파피용_17,파피용_18,파피용_19,파피용_20
Animal,95.98209381103516,95.61468505859375,98.3554458618164,98.75531005859375,93.65841674804688,98.79696655273438,99.27701568603516,99.04283905029297,99.29953002929688,97.99267578125,0.0,99.5289535522461,98.89630889892578,96.4576644897461,97.57904815673828,96.3362808227539,90.47599029541016,97.8748779296875,95.92408752441406,96.51361083984375
Canine,95.31397247314453,95.61468505859375,98.3554458618164,98.75531005859375,93.65841674804688,98.79696655273438,99.27701568603516,99.04283905029297,99.29953002929688,97.99267578125,0.0,99.5289535522461,98.89630889892578,96.4576644897461,97.57904815673828,96.3362808227539,90.47599029541016,97.8748779296875,95.92408752441406,96.51361083984375
Mammal,95.31397247314453,95.61468505859375,98.3554458618164,98.75531005859375,93.65841674804688,98.79696655273438,99.27701568603516,99.04283905029297,99.29953002929688,97.99267578125,0.0,99.5289535522461,98.89630889892578,96.4576644897461,97.57904815673828,96.3362808227539,90.47599029541016,97.8748779296875,95.92408752441406,96.51361083984375
Papillon,95.2679672241211,0.0,0.0,98.75531005859375,90.40957641601562,97.68528747558594,97.62068176269531,92.45915985107422,0.0,97.99267578125,0.0,96.82964324951172,96.49199676513672,90.11360168457031,91.05449676513672,92.58991241455078,0.0,0.0,95.92408752441406,96.51361083984375
Cocker Spaniel,95.2679672241211,0.0,0.0,98.75531005859375,90.40957641601562,97.68528747558594,97.62068176269531,92.45915985107422,57.092193603515625,97.99267578125,0.0,96.82964324951172,96.49199676513672,90.11360168457031,91.05449676513672,96.3362808227539,0.0,0.0,95.92408752441406,96.51361083984375
Pet,95.2679672241211,94.15010833740234,98.3554458618164,98.75531005859375,92.31302642822266,98.79696655273438,99.27701568603516,99.04283905029297,99.29953002929688,97.99267578125,0.0,99.5289535522461,98.89630889892578,96.4576644897461,97.57904815673828,96.3362808227539,89.06198120117188,97.8748779296875,95.92408752441406,96.51361083984375
Dog,95.2679672241211,93.38189697265625,98.3554458618164,98.75531005859375,92.31302642822266,98.79696655273438,99.27701568603516,99.04283905029297,99.29953002929688,97.99267578125,0.0,99.5289535522461,98.89630889892578,96.4576644897461,97.57904815673828,96.3362808227539,89.06198120117188,97.8748779296875,95.92408752441406,96.51361083984375
Spaniel,95.2679672241211,0.0,0.0,98.75531005859375,90.40957641601562,97.68528747558594,97.62068176269531,92.45915985107422,57.092193603515625,97.99267578125,0.0,96.82964324951172,96.49199676513672,90.11360168457031,91.05449676513672,96.3362808227539,0.0,0.0,95.92408752441406,96.51361083984375
Human,76.63851928710938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.20320892333984
Person,76.63851928710938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.20320892333984
Eskimo Dog,0.0,89.8036880493164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.9917106628418,0.0,0.0
Snow,0.0,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.44064331054688,0.0,0.0
Outdoors,0.0,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.44064331054688,0.0,0.0
Nature,0.0,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.44064331054688,0.0,0.0
Winter,0.0,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.44064331054688,0.0,0.0
Snowman,0.0,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.44064331054688,0.0,0.0
Puppy,0.0,0.0,98.3554458618164,0.0,0.0,0.0,0.0,66.91641998291016,99.29953002929688,0.0,0.0,0.0,0.0,85.41592407226562,93.5270004272461,0.0,56.57111740112305,97.8748779296875,0.0,0.0
Cat,0.0,0.0,0.0,0.0,66.54023742675781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.63556671142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.91615295410156,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.63556671142578,0.0,0.0,0.0,92.4136962890625,0.0,0.0,0.0,0.0,0.0,0.0,81.91615295410156,0.0
Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1124382019043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.9654769897461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Book,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.9654769897461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bottle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.70362854003906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
