,패터데일 테리어_1,패터데일 테리어_2,패터데일 테리어_3,패터데일 테리어_4,패터데일 테리어_5,패터데일 테리어_6,패터데일 테리어_7,패터데일 테리어_8,패터데일 테리어_9,패터데일 테리어_10,패터데일 테리어_11,패터데일 테리어_12,패터데일 테리어_13,패터데일 테리어_14,패터데일 테리어_15,패터데일 테리어_16,패터데일 테리어_17,패터데일 테리어_18,패터데일 테리어_19,패터데일 테리어_20
Human,92.90199279785156,82.77505493164062,0.0,0.0,0.0,98.20515441894531,0.0,0.0,0.0,0.0,60.69198989868164,0.0,0.0,0.0,0.0,0.0,0.0,85.61517333984375,0.0,95.8770751953125
Person,92.90199279785156,82.77505493164062,0.0,0.0,0.0,98.20515441894531,0.0,0.0,0.0,0.0,60.69198989868164,0.0,0.0,0.0,0.0,0.0,0.0,85.61517333984375,0.0,95.8770751953125
Canine,87.36170959472656,88.10624694824219,97.4776382446289,91.60126495361328,94.3485336303711,95.2006607055664,92.19166564941406,98.8719253540039,94.30855560302734,90.78514862060547,97.34343719482422,89.58724975585938,94.31768798828125,92.18392181396484,93.83765411376953,99.06764221191406,85.40277099609375,94.15616607666016,98.35262298583984,92.32942199707031
Animal,87.36170959472656,88.10624694824219,97.4776382446289,91.60126495361328,94.3485336303711,95.2006607055664,92.19166564941406,98.8719253540039,94.31558227539062,90.94837188720703,99.53511810302734,89.58724975585938,98.61997985839844,92.18392181396484,93.83765411376953,99.06764221191406,85.40277099609375,94.15616607666016,98.35262298583984,92.40143585205078
Mammal,87.36170959472656,88.10624694824219,97.4776382446289,91.60126495361328,94.3485336303711,95.2006607055664,92.19166564941406,98.8719253540039,94.30855560302734,90.78514862060547,99.53511810302734,89.58724975585938,98.61997985839844,92.18392181396484,93.83765411376953,99.06764221191406,85.40277099609375,94.15616607666016,98.35262298583984,92.32942199707031
Pet,85.87039947509766,87.47735595703125,97.4776382446289,90.08212280273438,94.3485336303711,93.72586822509766,91.34016418457031,98.8719253540039,94.31558227539062,90.94837188720703,97.34343719482422,89.10574340820312,93.77142333984375,92.18392181396484,93.22100830078125,99.06764221191406,82.74755859375,94.15616607666016,98.35262298583984,92.40143585205078
Dog,60.41242218017578,86.55530548095703,97.4776382446289,89.97561645507812,94.3485336303711,91.35393524169922,90.26409912109375,98.8719253540039,93.73395538330078,89.63267517089844,97.34343719482422,88.10053253173828,93.28499603271484,92.18392181396484,91.75962829589844,99.06764221191406,81.27484893798828,94.15616607666016,98.35262298583984,58.07184982299805
Husky,59.125492095947266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Home Decor,0.0,89.44563293457031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulldog,0.0,80.79896545410156,65.7585678100586,77.6908950805664,0.0,0.0,72.05488586425781,0.0,87.48483276367188,0.0,97.34343719482422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
