,퍼그_1,퍼그_2,퍼그_3,퍼그_4,퍼그_5,퍼그_6,퍼그_7,퍼그_8,퍼그_9,퍼그_10,퍼그_11,퍼그_12,퍼그_13,퍼그_14,퍼그_15,퍼그_16,퍼그_17,퍼그_18,퍼그_19,퍼그_20
Pug,95.41500091552734,95.16535186767578,0.0,91.96968841552734,0.0,94.01754760742188,0.0,94.75843811035156,0.0,95.40917205810547,93.77249145507812,91.43011474609375,0.0,0.0,0.0,0.0,96.90153503417969,93.81446075439453,0.0,95.68773651123047
Dog,95.41500091552734,95.16535186767578,98.44010925292969,91.96968841552734,0.0,94.64591217041016,76.4869613647461,94.75843811035156,0.0,95.40917205810547,93.77249145507812,91.43011474609375,96.23704528808594,98.94322967529297,93.2696533203125,96.19355773925781,99.37623596191406,93.81446075439453,99.5301742553711,95.68773651123047
Canine,95.41500091552734,95.16535186767578,98.44010925292969,93.4791488647461,59.09206771850586,95.11438751220703,77.58621215820312,94.75843811035156,0.0,95.40917205810547,93.77249145507812,91.43011474609375,96.23704528808594,98.94322967529297,93.2696533203125,96.19355773925781,99.37623596191406,93.81446075439453,99.5301742553711,95.68773651123047
Pet,95.41500091552734,95.16535186767578,98.44010925292969,91.96968841552734,57.689884185791016,94.64591217041016,96.25791931152344,94.75843811035156,0.0,95.40917205810547,93.77249145507812,91.43011474609375,96.23704528808594,98.94322967529297,93.2696533203125,96.19355773925781,99.37623596191406,93.81446075439453,99.5301742553711,95.68773651123047
Mammal,95.41500091552734,95.16535186767578,98.44010925292969,93.4791488647461,75.80133056640625,95.11438751220703,94.7182846069336,94.75843811035156,0.0,95.40917205810547,93.77249145507812,91.43011474609375,96.23704528808594,98.94322967529297,93.2696533203125,96.19355773925781,99.37623596191406,93.81446075439453,99.5301742553711,95.68773651123047
Animal,95.41500091552734,95.16535186767578,98.44010925292969,93.4791488647461,78.17699432373047,95.11438751220703,96.25791931152344,94.75843811035156,57.340476989746094,95.40917205810547,93.85926055908203,92.57495880126953,96.23704528808594,98.94322967529297,93.2696533203125,96.19355773925781,99.37623596191406,93.81446075439453,99.5301742553711,95.68773651123047
Person,82.88321685791016,78.51912689208984,0.0,80.26152801513672,93.90046691894531,0.0,0.0,0.0,0.0,79.9859619140625,79.21741485595703,64.17457580566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,82.88321685791016,78.51912689208984,0.0,80.26152801513672,93.90046691894531,0.0,0.0,0.0,0.0,79.9859619140625,79.21741485595703,64.17457580566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,98.44010925292969,0.0,0.0,63.26018524169922,0.0,0.0,0.0,0.0,0.0,0.0,96.23704528808594,91.71282196044922,93.2696533203125,0.0,0.0,0.0,0.0,0.0
Bulldog,0.0,0.0,56.018367767333984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.19355773925781,0.0,0.0,99.5301742553711,0.0
Boxer,0.0,0.0,55.90110778808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.363037109375,0.0,0.0,0.0,0.0
Hound,0.0,0.0,55.2906379699707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hoodie,0.0,0.0,0.0,60.81964874267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweater,0.0,0.0,0.0,60.81964874267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,60.81964874267578,64.44856262207031,0.0,0.0,87.20230865478516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,60.81964874267578,64.44856262207031,0.0,0.0,87.20230865478516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweatshirt,0.0,0.0,0.0,60.81964874267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standing,0.0,0.0,0.0,0.0,93.64848327636719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,83.94856262207031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elevator,0.0,0.0,0.0,0.0,76.0654067993164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor,0.0,0.0,0.0,0.0,57.68305206298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.6942138671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gown,0.0,0.0,0.0,0.0,57.60464859008789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robe,0.0,0.0,0.0,0.0,57.60464859008789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fashion,0.0,0.0,0.0,0.0,57.60464859008789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wedding,0.0,0.0,0.0,0.0,57.60464859008789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wedding Gown,0.0,0.0,0.0,0.0,57.60464859008789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,0.0,0.0,0.0,0.0,84.82820129394531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,55.146881103515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiger,0.0,0.0,0.0,0.0,0.0,0.0,55.146881103515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Helmet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.20230865478516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drawing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.60305786132812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.60305786132812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sketch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.03846740722656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.878543853759766,0.0,0.0,73.26554107666016,0.0,0.0,0.0,0.0,0.0
Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.878543853759766,0.0,0.0,73.26554107666016,0.0,0.0,0.0,0.0,0.0
Ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.878543853759766,0.0,0.0,73.26554107666016,0.0,0.0,0.0,0.0,0.0
Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.878543853759766,0.0,0.0,73.26554107666016,0.0,0.0,0.0,0.0,0.0
Team Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.878543853759766,0.0,0.0,73.26554107666016,0.0,0.0,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.878543853759766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.878543853759766,0.0,0.0,73.26554107666016,0.0,0.0,0.0,0.0,0.0
Soccer Ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.878543853759766,0.0,0.0,73.26554107666016,0.0,0.0,0.0,0.0,0.0
Football,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.878543853759766,0.0,0.0,73.26554107666016,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.23329162597656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.94322967529297,0.0,0.0,0.0,0.0,0.0,0.0
Winter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3049087524414,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3049087524414,0.0,0.0,0.0,0.0,0.0
Snowman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3049087524414,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3049087524414,0.0,0.0,0.0,0.0,0.0
Snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3049087524414,0.0,0.0,0.0,0.0,0.0
Pitbull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.761661529541016,0.0,0.0,0.0,0.0
French Bulldog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.5301742553711,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.61450958251953,0.0
