,페키니즈_1,페키니즈_2,페키니즈_3,페키니즈_4,페키니즈_5,페키니즈_6,페키니즈_7,페키니즈_8,페키니즈_9,페키니즈_10,페키니즈_11,페키니즈_12,페키니즈_13,페키니즈_14,페키니즈_15,페키니즈_16,페키니즈_17,페키니즈_18,페키니즈_19,페키니즈_20
Symbol,86.86068725585938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trademark,83.60740661621094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logo,83.60740661621094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,76.6753158569336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,76.52815246582031,0.0,0.0,0.0,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.22462844848633,94.86540985107422,69.3049087524414,0.0,94.83533477783203
Nature,71.57077026367188,0.0,0.0,0.0,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.86540985107422,69.3049087524414,0.0,94.83533477783203
Label,57.66227722167969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal,0.0,93.77041625976562,94.72774505615234,91.44564819335938,95.8550033569336,97.8748779296875,96.23704528808594,96.91756439208984,93.42845153808594,99.30558776855469,99.65586853027344,94.7049560546875,98.57271575927734,94.65726470947266,95.93330383300781,91.54296112060547,99.09645080566406,93.2696533203125,93.78104400634766,99.50502014160156
Mammal,0.0,90.0362777709961,94.69338989257812,91.17503356933594,95.8550033569336,97.8748779296875,96.23704528808594,96.91756439208984,93.00743103027344,99.30558776855469,99.65586853027344,94.7049560546875,98.57271575927734,94.65726470947266,93.33172607421875,91.40389251708984,99.09645080566406,93.2696533203125,93.78104400634766,99.50502014160156
Pet,0.0,72.68060302734375,78.1872329711914,91.44564819335938,95.8550033569336,97.8748779296875,96.23704528808594,96.91756439208984,93.42845153808594,99.30558776855469,99.65586853027344,94.7049560546875,98.57271575927734,94.65726470947266,94.18863677978516,91.54296112060547,99.09645080566406,93.2696533203125,93.64653015136719,99.50502014160156
Bird,0.0,72.0110092163086,59.49264907836914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.39798355102539,0.0,0.0,0.0,0.0,0.0
Owl,0.0,72.0110092163086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canine,0.0,71.28894805908203,65.66044616699219,90.40422058105469,95.8550033569336,97.8748779296875,96.23704528808594,96.91756439208984,93.00743103027344,99.30558776855469,99.65586853027344,94.7049560546875,98.57271575927734,94.65726470947266,93.33172607421875,91.40389251708984,99.09645080566406,93.2696533203125,93.78104400634766,99.50502014160156
Dog,0.0,64.9296875,59.023250579833984,89.560302734375,95.8550033569336,97.8748779296875,96.23704528808594,96.91756439208984,92.6502456665039,99.30558776855469,99.65586853027344,94.7049560546875,98.57271575927734,94.65726470947266,93.33172607421875,89.50843811035156,99.09645080566406,93.2696533203125,92.60237121582031,99.50502014160156
Human,0.0,55.41058349609375,0.0,0.0,63.206295013427734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.5365982055664,0.0,0.0,0.0,0.0,0.0
Person,0.0,55.41058349609375,0.0,0.0,63.206295013427734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.5365982055664,0.0,0.0,0.0,0.0,0.0
Rodent,0.0,0.0,62.970863342285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bunny,0.0,0.0,62.970863342285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rabbit,0.0,0.0,62.970863342285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,58.73980712890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,81.78465270996094,58.16318893432617,97.8748779296875,96.23704528808594,59.3449821472168,56.067806243896484,0.0,99.65586853027344,0.0,97.42276000976562,94.65726470947266,0.0,60.25387954711914,99.09645080566406,93.2696533203125,0.0,99.50502014160156
Bulldog,0.0,0.0,0.0,63.4168701171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pug,0.0,0.0,0.0,0.0,95.8550033569336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,58.74800491333008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
