,펨브록 웰시 코기_1,펨브록 웰시 코기_2,펨브록 웰시 코기_3,펨브록 웰시 코기_4,펨브록 웰시 코기_5,펨브록 웰시 코기_6,펨브록 웰시 코기_7,펨브록 웰시 코기_8,펨브록 웰시 코기_9,펨브록 웰시 코기_10,펨브록 웰시 코기_11,펨브록 웰시 코기_12,펨브록 웰시 코기_13,펨브록 웰시 코기_14,펨브록 웰시 코기_15,펨브록 웰시 코기_16,펨브록 웰시 코기_17,펨브록 웰시 코기_18,펨브록 웰시 코기_19,펨브록 웰시 코기_20
Dog,99.66618347167969,81.12317657470703,96.78437805175781,89.6651840209961,84.61719512939453,90.28683471679688,96.34732818603516,95.44113159179688,0.0,99.35966491699219,94.74752807617188,92.55101776123047,71.8199234008789,85.84283447265625,90.26793670654297,73.16683959960938,85.64714050292969,99.72135162353516,99.61370849609375,91.71561431884766
Mammal,99.66618347167969,82.13716888427734,96.78437805175781,89.6651840209961,90.64002990722656,90.28683471679688,96.34732818603516,95.44113159179688,76.49130249023438,99.35966491699219,94.74752807617188,92.55101776123047,86.80795288085938,85.84283447265625,90.26793670654297,85.04712677001953,85.64714050292969,99.72135162353516,99.61370849609375,91.71561431884766
Pet,99.66618347167969,81.7862777709961,96.78437805175781,89.6651840209961,89.39513397216797,90.28683471679688,96.34732818603516,95.44113159179688,68.71540069580078,99.35966491699219,94.74752807617188,92.55101776123047,80.6153564453125,85.84283447265625,90.26793670654297,85.00550079345703,85.64714050292969,99.72135162353516,99.61370849609375,91.71561431884766
Animal,99.66618347167969,82.13716888427734,96.78437805175781,89.6651840209961,90.64002990722656,90.28683471679688,96.34732818603516,95.44113159179688,78.44249725341797,99.35966491699219,94.74752807617188,92.55101776123047,86.80795288085938,85.84283447265625,90.26793670654297,85.04712677001953,85.64714050292969,99.72135162353516,99.61370849609375,91.71561431884766
Canine,99.66618347167969,81.12317657470703,96.78437805175781,89.6651840209961,90.64002990722656,90.28683471679688,96.34732818603516,95.44113159179688,76.4861831665039,99.35966491699219,94.74752807617188,92.55101776123047,82.99384307861328,85.84283447265625,90.26793670654297,85.04712677001953,85.64714050292969,99.72135162353516,99.61370849609375,91.71561431884766
Strap,99.11882781982422,92.02113342285156,66.34058380126953,96.23898315429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.93569946289062,0.0,0.0,0.0,0.0,0.0,92.6726303100586
Grass,93.2502212524414,76.95501708984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.98737335205078,0.0,92.51416778564453,0.0,0.0,0.0,0.0,0.0,0.0
Plant,93.2502212524414,76.95501708984375,0.0,57.061119079589844,0.0,0.0,76.95352935791016,0.0,0.0,0.0,0.0,89.98737335205078,0.0,92.51416778564453,0.0,0.0,0.0,0.0,0.0,0.0
Leash,73.48767852783203,0.0,0.0,57.98756408691406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.06993103027344,0.0,0.0,0.0,0.0,0.0,0.0
Collie,0.0,81.12317657470703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.86687469482422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
