,포르투기즈 워터 도그_1,포르투기즈 워터 도그_2,포르투기즈 워터 도그_3,포르투기즈 워터 도그_4,포르투기즈 워터 도그_5,포르투기즈 워터 도그_6,포르투기즈 워터 도그_7,포르투기즈 워터 도그_8,포르투기즈 워터 도그_9,포르투기즈 워터 도그_10,포르투기즈 워터 도그_11,포르투기즈 워터 도그_12,포르투기즈 워터 도그_13,포르투기즈 워터 도그_14,포르투기즈 워터 도그_15,포르투기즈 워터 도그_16,포르투기즈 워터 도그_17,포르투기즈 워터 도그_18,포르투기즈 워터 도그_19,포르투기즈 워터 도그_20
Grass,89.53394317626953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,89.53394317626953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canine,89.10477447509766,94.6895523071289,91.36393737792969,89.89411926269531,93.6222915649414,85.384521484375,95.10640716552734,88.4948501586914,0.0,94.18897247314453,91.96997833251953,57.380428314208984,87.74594116210938,56.26813507080078,93.18994140625,86.35283660888672,96.32320404052734,0.0,93.52692413330078,93.93092346191406
Animal,89.10477447509766,94.6895523071289,91.36393737792969,89.98906707763672,93.6222915649414,90.10910034179688,95.10640716552734,88.4948501586914,86.71202850341797,94.18897247314453,91.96997833251953,60.98094177246094,87.74594116210938,56.66807556152344,93.7652587890625,92.7693099975586,96.3619155883789,0.0,93.712890625,94.0691146850586
Mammal,89.10477447509766,94.6895523071289,91.36393737792969,89.89411926269531,93.6222915649414,90.10910034179688,95.10640716552734,88.4948501586914,84.00260925292969,94.18897247314453,91.96997833251953,57.380428314208984,87.74594116210938,56.66807556152344,93.18994140625,92.7693099975586,96.32320404052734,0.0,93.52692413330078,93.93092346191406
Pet,88.70624542236328,93.60166931152344,90.78742980957031,89.98906707763672,93.48059844970703,86.14393615722656,93.82926177978516,86.0190658569336,0.0,93.1046142578125,90.48381042480469,0.0,85.80570983886719,0.0,93.7652587890625,87.85719299316406,96.3619155883789,0.0,93.712890625,94.0691146850586
Dog,86.7217788696289,75.47010040283203,88.89240264892578,89.37154388427734,93.48059844970703,57.67552185058594,81.05431365966797,71.16943359375,0.0,77.91629028320312,86.4362564086914,0.0,56.5689582824707,0.0,92.9495620727539,85.47806549072266,96.07926177978516,0.0,93.30338287353516,92.91692352294922
Poodle,72.60598754882812,75.47010040283203,88.89240264892578,74.18283081054688,64.28113555908203,57.67552185058594,81.05431365966797,55.136383056640625,0.0,65.66520690917969,86.4362564086914,0.0,0.0,0.0,0.0,0.0,95.68252563476562,0.0,0.0,0.0
Outdoors,62.0459098815918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.25460052490234,0.0,0.0,0.0,0.0,0.0,0.0,94.54452514648438,0.0,0.0,0.0,0.0
Human,0.0,99.79620361328125,94.76473999023438,0.0,0.0,0.0,94.27778625488281,97.1786880493164,64.02183532714844,88.33570861816406,80.73950958251953,99.68653106689453,98.6153793334961,97.94825744628906,0.0,0.0,0.0,99.61621856689453,55.005516052246094,0.0
Person,0.0,99.79620361328125,94.76473999023438,0.0,0.0,0.0,94.27778625488281,97.1786880493164,64.02183532714844,88.33570861816406,80.73950958251953,99.68653106689453,98.6153793334961,97.94825744628906,0.0,0.0,0.0,99.61621856689453,55.005516052246094,0.0
People,0.0,61.871116638183594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.62751770019531,60.71366882324219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
