,포메라니안_1,포메라니안_2,포메라니안_3,포메라니안_4,포메라니안_5,포메라니안_6,포메라니안_7,포메라니안_8,포메라니안_9,포메라니안_10,포메라니안_11,포메라니안_12,포메라니안_13,포메라니안_14,포메라니안_15,포메라니안_16,포메라니안_17,포메라니안_18,포메라니안_19,포메라니안_20
Animal,89.75174713134766,95.94641876220703,97.8748779296875,98.80917358398438,91.74703216552734,99.73355102539062,95.98235321044922,91.69782257080078,80.88838958740234,90.8195571899414,94.02991485595703,95.61064147949219,94.90801239013672,99.78483581542969,94.16748046875,95.06723022460938,99.08660888671875,97.10386657714844,94.43594360351562,99.4131851196289
Pet,88.94255828857422,95.94641876220703,97.8748779296875,98.80917358398438,90.86614227294922,99.73355102539062,95.98235321044922,91.56934356689453,80.88838958740234,87.22244262695312,92.49351501464844,95.41160583496094,56.66411209106445,99.78483581542969,94.16748046875,95.06723022460938,92.02119445800781,97.10386657714844,92.87301635742188,99.4131851196289
Canine,88.70793914794922,95.62899780273438,97.8748779296875,98.80917358398438,91.74703216552734,99.73355102539062,95.98235321044922,91.69782257080078,74.23574829101562,85.52828216552734,94.02991485595703,89.2533187866211,76.74620056152344,99.78483581542969,93.71920013427734,95.0367431640625,92.23019409179688,97.0920639038086,94.43594360351562,99.4131851196289
Mammal,88.70793914794922,95.62899780273438,97.8748779296875,98.80917358398438,91.74703216552734,99.73355102539062,95.98235321044922,91.69782257080078,76.92926788330078,87.88207244873047,94.02991485595703,94.65682220458984,89.35519409179688,99.78483581542969,93.71920013427734,95.0367431640625,99.08660888671875,97.0920639038086,94.43594360351562,99.4131851196289
Dog,88.45109558105469,95.62899780273438,97.8748779296875,98.80917358398438,90.67608642578125,99.73355102539062,95.98235321044922,91.56934356689453,55.96877670288086,83.66156005859375,92.49351501464844,55.62907409667969,0.0,99.78483581542969,93.12777709960938,95.0367431640625,90.5885238647461,97.08196258544922,92.87301635742188,99.4131851196289
Outdoors,71.28170013427734,70.71432495117188,96.44064331054688,0.0,0.0,0.0,73.95454406738281,0.0,0.0,95.92914581298828,0.0,0.0,61.16047286987305,92.74092864990234,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,71.28170013427734,70.71432495117188,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,95.92914581298828,0.0,0.0,61.16047286987305,92.74092864990234,0.0,0.0,0.0,0.0,0.0,0.0
Winter,71.28170013427734,70.71432495117188,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,95.92914581298828,0.0,0.0,61.16047286987305,92.74092864990234,0.0,0.0,0.0,0.0,0.0,0.0
Nature,71.28170013427734,70.71432495117188,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,95.92914581298828,0.0,0.0,61.16047286987305,92.74092864990234,0.0,0.0,0.0,0.0,0.0,0.0
Snow,71.28170013427734,70.71432495117188,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,95.92914581298828,0.0,0.0,61.16047286987305,92.74092864990234,0.0,0.0,0.0,0.0,0.0,0.0
Word,65.59376525878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toy,59.93269348144531,56.7684211730957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.65066528320312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,57.64633560180664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drawing,57.64633560180664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plush,57.381282806396484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,55.16501998901367,95.62899780273438,97.8748779296875,98.80917358398438,85.8963623046875,99.73355102539062,58.45030975341797,0.0,55.96877670288086,64.36979675292969,61.290679931640625,0.0,0.0,99.78483581542969,0.0,0.0,82.13496398925781,0.0,0.0,99.4131851196289
White Dog,0.0,77.20419311523438,58.022769927978516,0.0,0.0,59.71906661987305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.58688354492188,0.0,0.0,0.0,0.0,0.0,78.65872192382812
Poodle,0.0,58.38523864746094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.62907409667969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,57.68400192260742,55.9917106628418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.78099822998047,0.0,0.0,59.50388717651367,0.0,0.0,0.0,91.10366821289062,83.29393768310547,63.20143508911133
Rat,0.0,0.0,0.0,61.8893928527832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodent,0.0,0.0,0.0,61.8893928527832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Papillon,0.0,0.0,0.0,57.99688720703125,0.0,0.0,59.20469284057617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocker Spaniel,0.0,0.0,0.0,57.99688720703125,0.0,0.0,59.20469284057617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.19268035888672,0.0
Spaniel,0.0,0.0,0.0,57.99688720703125,0.0,0.0,59.20469284057617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.19268035888672,0.0
Cat,0.0,0.0,0.0,0.0,0.0,62.227474212646484,0.0,0.0,62.89121627807617,0.0,0.0,67.74105834960938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,99.28842163085938,0.0,0.0,56.27012252807617,0.0,0.0,0.0,0.0,0.0,0.0,55.56073760986328,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,99.28842163085938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.56073760986328,0.0,0.0,0.0
Lawn,0.0,0.0,0.0,0.0,0.0,0.0,62.88241195678711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Field,0.0,0.0,0.0,0.0,0.0,0.0,58.5361442565918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.41246795654297,0.0,0.0,0.0,0.0,0.0,0.0,90.22352600097656,95.0367431640625,59.23641586303711,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.16122436523438,0.0,0.0,86.05845642089844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.16122436523438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.16122436523438,0.0,0.0,86.05845642089844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.2331314086914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.7281494140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.27619934082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.27619934082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portrait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.27619934082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.95925903320312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.89121627807617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Selfie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.62461853027344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.40043640136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accessory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.40043640136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glasses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.40043640136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pillow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.36043930053711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.36043930053711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.367462158203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.21127700805664,0.0,0.0,72.59222412109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.23207092285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Owl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.59222412109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arctic Fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.17935943603516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
