,포인터_1,포인터_2,포인터_3,포인터_4,포인터_5,포인터_6,포인터_7,포인터_8,포인터_9,포인터_10,포인터_11,포인터_12,포인터_13,포인터_14,포인터_15,포인터_16,포인터_17,포인터_18,포인터_19,포인터_20
Text,99.44342803955078,0.0,94.75540161132812,63.919189453125,83.9477767944336,99.9072494506836,99.06330108642578,99.20820617675781,97.13935852050781,98.67863464355469,0.0,0.0,70.9711685180664,98.9950180053711,63.10154342651367,85.90796661376953,99.93899536132812,0.0,0.0,0.0
Symbol,95.97603607177734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.56050872802734,0.0,0.0,0.0,88.34793853759766,57.809417724609375,0.0,76.61672973632812,99.93899536132812,0.0,0.0,94.77682495117188
Number,95.97603607177734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.56050872802734,0.0,0.0,0.0,70.9711685180664,57.809417724609375,0.0,76.61672973632812,99.93899536132812,0.0,0.0,0.0
Alphabet,80.15943145751953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Label,62.859039306640625,0.0,0.0,0.0,0.0,0.0,0.0,56.019981384277344,95.8644027709961,95.66984558105469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor Plan,0.0,96.7623291015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diagram,0.0,96.7623291015625,0.0,82.82172393798828,92.8466567993164,0.0,0.0,0.0,86.3306655883789,56.59974670410156,0.0,0.0,0.0,0.0,83.57965087890625,83.85880279541016,68.11819458007812,0.0,0.0,0.0
Plot,0.0,94.72564697265625,0.0,89.04997253417969,92.8466567993164,0.0,0.0,0.0,93.53314971923828,55.250465393066406,0.0,0.0,0.0,57.85759735107422,94.90715789794922,97.68035125732422,86.05632019042969,0.0,0.0,0.0
Plan,0.0,94.72564697265625,0.0,82.82172393798828,92.8466567993164,0.0,0.0,0.0,86.3306655883789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Page,0.0,0.0,77.63517761230469,0.0,0.0,0.0,72.83596801757812,86.27598571777344,63.97294998168945,82.5650634765625,0.0,0.0,0.0,83.06303405761719,0.0,0.0,63.67951583862305,0.0,0.0,0.0
Electronics,0.0,0.0,67.71382904052734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.19364547729492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Document,0.0,0.0,0.0,0.0,83.24629211425781,98.74691772460938,81.89547729492188,99.05585479736328,0.0,93.37135314941406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Driving License,0.0,0.0,0.0,0.0,83.24629211425781,98.74691772460938,81.89547729492188,99.05585479736328,0.0,69.62415313720703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
License,0.0,0.0,0.0,0.0,83.24629211425781,98.74691772460938,81.89547729492188,99.05585479736328,0.0,69.62415313720703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,64.64427185058594,96.74685668945312,90.03868865966797,83.6228256225586,0.0,96.30940246582031,0.0,0.0,0.0,83.34800720214844,0.0,0.0,0.0,82.87055206298828,0.0,0.0
Id Cards,0.0,0.0,0.0,0.0,61.776004791259766,0.0,0.0,55.98897933959961,0.0,93.37135314941406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ticket,0.0,0.0,0.0,0.0,0.0,65.45616149902344,55.9926643371582,0.0,0.0,58.47581100463867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Business Card,0.0,0.0,0.0,0.0,0.0,57.61907958984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Word,0.0,0.0,0.0,0.0,0.0,0.0,99.98529815673828,64.85713958740234,99.99868774414062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.99612426757812,0.0,0.0,0.0
File,0.0,0.0,0.0,0.0,0.0,0.0,59.81687545776367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.30632019042969,0.0,59.912940979003906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.87055206298828,0.0,0.0
Flyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1245346069336,0.0,59.912940979003906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.87055206298828,0.0,0.0
Brochure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1245346069336,0.0,59.912940979003906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.87055206298828,0.0,0.0
Poster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1245346069336,0.0,59.912940979003906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.87055206298828,0.0,0.0
Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.65296936035156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.65296936035156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Measurements,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.609046936035156,0.0,0.0,0.0,0.0,0.0,55.933719635009766,83.65443420410156,0.0,0.0,0.0,0.0
Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.41169738769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.74896240234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.6767807006836,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.74896240234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.6767807006836,0.0
Laser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.37963104248047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.93022155761719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flashlight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.918792724609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.82505416870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.12989807128906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.33512878417969,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drawing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.33512878417969,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stencil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.2929916381836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Recycling Symbol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.28360748291016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Menu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.64513397216797,0.0,0.0,83.77412414550781,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.305824279785156,0.0,0.0,0.0,0.0,0.0
Home Decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.711509704589844,0.0,0.0,0.0
Animal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.7376937866211,97.86018371582031,0.0
Mammal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.7376937866211,97.86018371582031,0.0
Canine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.7376937866211,97.86018371582031,0.0
Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.45967864990234,97.86018371582031,0.0
Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.45967864990234,79.04546356201172,0.0
Pet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.45967864990234,97.86018371582031,0.0
Beagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.581172943115234,0.0,0.0
Pointer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.86018371582031,0.0
Sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.92644500732422
Road Sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.61827087402344
