,폭스 테리어_1,폭스 테리어_2,폭스 테리어_3,폭스 테리어_4,폭스 테리어_5,폭스 테리어_6,폭스 테리어_7,폭스 테리어_8,폭스 테리어_9,폭스 테리어_10,폭스 테리어_11,폭스 테리어_12,폭스 테리어_13,폭스 테리어_14,폭스 테리어_15,폭스 테리어_16,폭스 테리어_17,폭스 테리어_18,폭스 테리어_19,폭스 테리어_20
Animal,95.21717071533203,95.45077514648438,92.3769760131836,99.19969177246094,97.03438568115234,95.1754150390625,97.50816345214844,99.0906982421875,99.67803955078125,97.64730834960938,95.69213104248047,0.0,98.29051971435547,95.80868530273438,84.74945831298828,95.73328399658203,93.09485626220703,98.00682830810547,92.22872161865234,89.51597595214844
Pet,95.21717071533203,95.45077514648438,73.09943389892578,99.19969177246094,97.03438568115234,95.1754150390625,97.50816345214844,99.0906982421875,99.67803955078125,97.64730834960938,95.69213104248047,0.0,98.29051971435547,93.40499114990234,0.0,95.73328399658203,92.67969512939453,98.00682830810547,91.67140197753906,89.51597595214844
Canine,93.99748992919922,95.32557678222656,67.9610824584961,99.19969177246094,97.03438568115234,95.1754150390625,97.50816345214844,99.0906982421875,99.67803955078125,97.64730834960938,95.69213104248047,0.0,98.29051971435547,94.3227767944336,0.0,95.73328399658203,93.09485626220703,98.00682830810547,92.22872161865234,89.51597595214844
Mammal,93.99748992919922,95.32557678222656,92.3769760131836,99.19969177246094,97.03438568115234,95.1754150390625,97.50816345214844,99.0906982421875,99.67803955078125,97.64730834960938,95.69213104248047,0.0,98.29051971435547,94.3227767944336,83.0473403930664,95.73328399658203,93.09485626220703,98.00682830810547,92.22872161865234,89.51597595214844
Dog,93.62459564208984,95.15625762939453,62.024497985839844,99.19969177246094,97.03438568115234,95.1754150390625,97.50816345214844,99.0906982421875,99.67803955078125,97.64730834960938,95.69213104248047,0.0,98.29051971435547,91.85913848876953,0.0,95.73328399658203,92.67969512939453,98.00682830810547,78.7884521484375,89.51597595214844
Terrier,78.8932876586914,0.0,0.0,0.0,97.03438568115234,95.1754150390625,97.50816345214844,99.0906982421875,0.0,97.64730834960938,95.69213104248047,0.0,98.29051971435547,85.38787841796875,0.0,0.0,0.0,98.00682830810547,78.7884521484375,89.51597595214844
Puppy,75.2303466796875,79.86656188964844,0.0,0.0,0.0,0.0,0.0,0.0,56.67084884643555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,57.83012390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.60184097290039
Poodle,56.7122917175293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,95.15625762939453,57.67456817626953,0.0,0.0,0.0,0.0,0.0,66.84980773925781,0.0,0.0,0.0,0.0,0.0,0.0,73.55709075927734,87.45199584960938,0.0,63.121925354003906,0.0
Beagle,0.0,77.14253234863281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,62.62777328491211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.48637390136719,0.0,0.0,0.0,99.74786376953125,0.0
Human,0.0,62.62777328491211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.48637390136719,0.0,0.0,0.0,99.74786376953125,0.0
Strap,0.0,0.0,0.0,99.9065933227539,0.0,0.0,0.0,0.0,67.73360443115234,64.88865661621094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cattle,0.0,0.0,0.0,87.34173583984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cow,0.0,0.0,0.0,87.34173583984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leash,0.0,0.0,0.0,84.81761169433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,62.44304275512695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.58085632324219
Plant,0.0,0.0,0.0,62.44304275512695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.58085632324219
Airedale,0.0,0.0,0.0,0.0,93.80863189697266,70.79795837402344,96.13475036621094,97.56393432617188,0.0,80.15005493164062,75.80586242675781,0.0,94.21753692626953,0.0,0.0,0.0,0.0,90.9467544555664,0.0,0.0
Den,0.0,0.0,0.0,0.0,0.0,67.10297393798828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dog House,0.0,0.0,0.0,0.0,0.0,58.57089614868164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.39599609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5382080078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5382080078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Screen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.75992584228516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electronics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.75992584228516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Board,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.5019760131836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.99356842041016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Room,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.99356842041016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Display,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.22374725341797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.22374725341797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0925521850586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.34873580932617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.34325408935547,0.0,83.59446716308594,56.679073333740234,65.16470336914062,0.0,0.0
Snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.34325408935547,0.0,71.33830261230469,0.0,65.16470336914062,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.34325408935547,0.0,80.580078125,58.3786506652832,65.16470336914062,0.0,0.0
Winter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.34325408935547,0.0,0.0,0.0,65.16470336914062,0.0,0.0
Snowman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.34325408935547,0.0,0.0,0.0,65.16470336914062,0.0,0.0
Word,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.65850830078125,0.0,0.0,0.0,0.0,0.0
Bull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.77275466918945,0.0,0.0,0.0,0.0,0.0
Horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.02336883544922,0.0,0.0,0.0,0.0,0.0
Pointer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.16532135009766,63.08971405029297,0.0,0.0,0.0
Field,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.6832275390625,0.0,0.0,0.0,0.0
Grassland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.6832275390625,0.0,0.0,0.0,0.0
Saint Bernard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.09273529052734,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.34557342529297,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.34557342529297,0.0
Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.36322021484375
