,폴리시 롤런드 시프도그_1,폴리시 롤런드 시프도그_2,폴리시 롤런드 시프도그_3,폴리시 롤런드 시프도그_4,폴리시 롤런드 시프도그_5,폴리시 롤런드 시프도그_6,폴리시 롤런드 시프도그_7,폴리시 롤런드 시프도그_8,폴리시 롤런드 시프도그_9,폴리시 롤런드 시프도그_10,폴리시 롤런드 시프도그_11,폴리시 롤런드 시프도그_12,폴리시 롤런드 시프도그_13,폴리시 롤런드 시프도그_14,폴리시 롤런드 시프도그_15,폴리시 롤런드 시프도그_16,폴리시 롤런드 시프도그_17,폴리시 롤런드 시프도그_18,폴리시 롤런드 시프도그_19,폴리시 롤런드 시프도그_20
Hound,97.72750854492188,0.0,0.0,89.46686553955078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.393829345703125,92.70259094238281,0.0,0.0,0.0,0.0,0.0,0.0
Canine,97.72750854492188,92.38616943359375,98.41983795166016,89.46686553955078,68.05116271972656,90.8829345703125,93.07357025146484,95.10011291503906,88.43684387207031,99.1238784790039,92.62073516845703,91.55909729003906,88.00888061523438,92.70259094238281,93.37670135498047,95.84696960449219,65.38292694091797,89.52242279052734,90.71627807617188,92.57742309570312
Animal,97.72750854492188,92.38616943359375,98.41983795166016,89.46686553955078,71.307861328125,90.8829345703125,93.07357025146484,98.8678207397461,99.5550308227539,99.1238784790039,92.62073516845703,91.55909729003906,89.0602798461914,92.70259094238281,93.37670135498047,95.84696960449219,67.7972412109375,90.63822174072266,90.71627807617188,92.57742309570312
Pet,97.72750854492188,91.16584014892578,98.41983795166016,89.46686553955078,68.14533233642578,90.44692993164062,93.07357025146484,95.10011291503906,88.81864929199219,99.1238784790039,91.72210693359375,90.30348205566406,89.0602798461914,92.70259094238281,92.18387603759766,95.84696960449219,0.0,86.31695556640625,90.71627807617188,92.57742309570312
Dog,97.72750854492188,65.49537658691406,98.41983795166016,89.46686553955078,63.8939208984375,89.65621185302734,93.07357025146484,95.10011291503906,88.27340698242188,99.1238784790039,90.94158172607422,59.36643981933594,87.06488800048828,92.70259094238281,91.52851104736328,95.84696960449219,0.0,61.37579345703125,90.71627807617188,92.57742309570312
Mammal,97.72750854492188,92.38616943359375,98.41983795166016,89.46686553955078,71.307861328125,90.8829345703125,93.07357025146484,98.8678207397461,99.5550308227539,99.1238784790039,92.62073516845703,91.55909729003906,88.00888061523438,92.70259094238281,93.37670135498047,95.84696960449219,65.38292694091797,89.52242279052734,90.71627807617188,92.57742309570312
Grass,93.92172241210938,97.83777618408203,96.79691314697266,96.38446044921875,0.0,0.0,0.0,0.0,97.86359405517578,0.0,0.0,86.14110565185547,0.0,0.0,98.71844482421875,0.0,0.0,0.0,66.54460144042969,76.67655944824219
Plant,93.92172241210938,97.83777618408203,96.79691314697266,96.38446044921875,0.0,0.0,56.66377639770508,0.0,97.86359405517578,0.0,0.0,86.14110565185547,0.0,0.0,98.71844482421875,0.0,0.0,0.0,66.54460144042969,76.67655944824219
Afghan Hound,83.97943115234375,0.0,0.0,62.843544006347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8150405883789,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,99.51779174804688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.61578369140625,0.0,0.0,0.0,78.38359069824219,0.0,99.87643432617188,60.43583297729492,0.0
Human,0.0,99.51779174804688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.61578369140625,0.0,0.0,0.0,78.38359069824219,0.0,99.87643432617188,60.43583297729492,0.0
Collie,0.0,65.49537658691406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.907989501953125,0.0,0.0,0.0,0.0,0.0
Field,0.0,60.1190185546875,57.121917724609375,0.0,0.0,0.0,0.0,0.0,67.68479919433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,0.0,0.0,64.8092041015625,0.0,0.0,0.0,93.07357025146484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.84696960449219,0.0,61.37579345703125,0.0,0.0
Vegetation,0.0,0.0,59.38058853149414,57.46754455566406,0.0,0.0,56.66377639770508,0.0,55.82941818237305,0.0,0.0,60.5274658203125,0.0,0.0,85.23248291015625,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,57.84230041503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kit Fox,0.0,0.0,57.84230041503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fox,0.0,0.0,57.84230041503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,0.0,57.121917724609375,0.0,0.0,0.0,0.0,0.0,67.68479919433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,57.121917724609375,75.49150848388672,0.0,0.0,56.89479064941406,0.0,67.68479919433594,0.0,0.0,0.0,0.0,0.0,87.42436218261719,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,56.17271423339844,57.461219787597656,0.0,70.16834259033203,59.82271957397461,95.10011291503906,58.336090087890625,0.0,81.9444351196289,0.0,55.9353141784668,0.0,60.53108596801758,0.0,0.0,55.844303131103516,0.0,0.0
Lawn,0.0,0.0,0.0,55.824256896972656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.699615478515625,0.0,0.0,0.0,0.0,0.0
Basket,0.0,0.0,0.0,0.0,86.80860137939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor,0.0,0.0,0.0,0.0,0.0,78.47078704833984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0174560546875,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,77.46556091308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.12909698486328,0.0
Wood,0.0,0.0,0.0,0.0,0.0,70.61375427246094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hardwood,0.0,0.0,0.0,0.0,0.0,69.3653793334961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,62.823856353759766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,62.823856353759766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bush,0.0,0.0,0.0,0.0,0.0,0.0,56.66377639770508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.8678207397461,99.5550308227539,0.0,0.0,0.0,0.0,0.0,91.87950897216797,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.866172790527344,0.0,0.0,0.0,0.0,0.0,0.0,67.63961029052734,0.0,0.0,0.0,0.0,0.0
Airedale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.989990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Affenpinscher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.47581481933594,0.0,0.0,55.910675048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1238784790039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barefoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.55530548095703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.517547607421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.771121978759766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.36643981933594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.73244857788086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.73244857788086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.843048095703125,66.22234344482422,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.50228118896484,0.0,0.0,0.0,0.0,0.0
Postage Stamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.85130310058594,0.0,0.0,0.0
Indoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.91187286376953,0.0,0.0
Flooring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.72592163085938,0.0,0.0
Room,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.07149887084961,0.0,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.103416442871094,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.085914611816406,0.0,0.0
Chair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.085914611816406,0.0,0.0
Crowd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.847530364990234,0.0,0.0
Lobby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.6353874206543,0.0,0.0
Bulldog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.71627807617188,92.57742309570312
Boxer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.12493133544922,83.48369598388672
Leash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.78227233886719,0.0
Pitbull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.541690826416016
