,폼피츠_1,폼피츠_2,폼피츠_3,폼피츠_4,폼피츠_5,폼피츠_6,폼피츠_7,폼피츠_8,폼피츠_9,폼피츠_10,폼피츠_11,폼피츠_12,폼피츠_13,폼피츠_14,폼피츠_15,폼피츠_16,폼피츠_17,폼피츠_18,폼피츠_19,폼피츠_20
Mammal,94.85859680175781,98.14388275146484,91.52320098876953,0.0,0.0,96.27727508544922,97.07998657226562,94.40074157714844,97.97959899902344,96.14958953857422,92.85584259033203,84.70390319824219,93.69818115234375,98.77346801757812,98.12869262695312,87.76121520996094,99.84344482421875,92.00658416748047,95.93376159667969,96.59254455566406
Canine,94.85859680175781,98.14388275146484,91.52320098876953,0.0,0.0,96.27727508544922,97.07998657226562,94.40074157714844,97.97959899902344,84.66181182861328,92.85584259033203,83.92562103271484,93.69818115234375,98.77346801757812,98.12869262695312,87.27534484863281,99.84344482421875,92.00658416748047,95.93376159667969,96.59254455566406
Animal,94.85859680175781,98.14388275146484,93.50293731689453,0.0,0.0,96.27727508544922,97.07998657226562,94.40074157714844,97.97959899902344,96.14958953857422,92.85584259033203,87.64273834228516,93.69818115234375,98.77346801757812,98.12869262695312,87.76121520996094,99.84344482421875,92.00658416748047,95.93376159667969,96.59254455566406
Arctic Fox,89.69796752929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fox,89.69796752929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,89.69796752929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.52106475830078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pet,63.572635650634766,98.14388275146484,93.50293731689453,0.0,0.0,96.27727508544922,95.67601776123047,94.11648559570312,97.97959899902344,96.14958953857422,91.20401000976562,87.61766815185547,93.18172454833984,98.77346801757812,98.12869262695312,85.2651138305664,99.84344482421875,90.57606506347656,95.58708190917969,95.75447082519531
Dog,63.572635650634766,98.14388275146484,91.0489730834961,0.0,0.0,96.27727508544922,94.9894027709961,94.03302001953125,97.97959899902344,82.0495834350586,81.37411499023438,72.29857635498047,92.4799575805664,98.77346801757812,98.12869262695312,84.86408233642578,99.84344482421875,84.37079620361328,95.45304870605469,95.62724304199219
Pig,58.26465606689453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,98.14388275146484,81.1185302734375,0.0,0.0,0.0,94.9894027709961,58.67454528808594,0.0,74.36331176757812,57.075809478759766,72.29857635498047,0.0,98.77346801757812,0.0,0.0,99.84344482421875,0.0,56.70674133300781,0.0
Hound,0.0,72.16217803955078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,0.0,63.7443962097168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Painting,0.0,63.7443962097168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,56.44922637939453,58.46088790893555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.64918518066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.93312072753906,0.0
German Shepherd,0.0,55.74847412109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,0.0,75.74353790283203,0.0,0.0,81.4247817993164,90.12786865234375,84.09236907958984,84.57172393798828,0.0,81.37411499023438,0.0,86.6815414428711,59.87828063964844,73.28083801269531,68.79496765136719,58.5473747253418,84.37079620361328,87.41382598876953,90.68708038330078
Apparel,0.0,0.0,0.0,85.71311950683594,0.0,0.0,86.75935363769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,85.71311950683594,0.0,0.0,86.75935363769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
