,푸들_1,푸들_2,푸들_3,푸들_4,푸들_5,푸들_6,푸들_7,푸들_8,푸들_9,푸들_10,푸들_11,푸들_12,푸들_13,푸들_14,푸들_15,푸들_16,푸들_17,푸들_18,푸들_19,푸들_20
Dog,95.7647476196289,0.0,94.59607696533203,92.6384506225586,0.0,0.0,84.58588409423828,0.0,91.16438293457031,70.22686767578125,0.0,95.23487091064453,0.0,98.62157440185547,91.3769760131836,92.88626861572266,89.53034210205078,97.16942596435547,97.30955505371094,95.09856414794922
Puppy,95.7647476196289,0.0,0.0,84.47079467773438,0.0,0.0,0.0,0.0,76.22028350830078,59.84063720703125,0.0,68.20154571533203,0.0,98.62157440185547,90.8243637084961,61.443626403808594,56.69158935546875,97.16942596435547,0.0,0.0
Mammal,95.7647476196289,87.46240997314453,95.5311279296875,93.06214904785156,0.0,0.0,86.74441528320312,85.07553100585938,92.6060791015625,88.50807189941406,83.52323913574219,96.1577377319336,0.0,98.62157440185547,99.66425323486328,94.0406494140625,92.44009399414062,97.16942596435547,97.30955505371094,95.09856414794922
Pet,95.7647476196289,64.84661102294922,94.59607696533203,94.1762466430664,0.0,0.0,86.94725799560547,60.835052490234375,91.64341735839844,87.26110076904297,75.56536102294922,96.22314453125,0.0,98.62157440185547,91.3769760131836,93.07577514648438,89.53034210205078,97.16942596435547,97.30955505371094,95.09856414794922
Animal,95.7647476196289,88.24324035644531,95.5311279296875,94.1762466430664,66.85527038574219,0.0,86.94725799560547,87.056396484375,92.6060791015625,88.50807189941406,83.52323913574219,96.3322525024414,0.0,98.62157440185547,99.66425323486328,94.0406494140625,92.57942962646484,97.16942596435547,97.30955505371094,95.09856414794922
Canine,95.7647476196289,66.60458374023438,94.59607696533203,93.06214904785156,0.0,0.0,86.48889923095703,55.88988494873047,92.6060791015625,88.50807189941406,77.79345703125,96.1577377319336,0.0,98.62157440185547,92.5379638671875,93.68529510498047,91.33895111083984,97.16942596435547,97.30955505371094,95.09856414794922
Poodle,82.28790283203125,0.0,94.59607696533203,65.93498992919922,0.0,0.0,0.0,0.0,69.69574737548828,70.22686767578125,0.0,71.34175109863281,0.0,0.0,65.07894134521484,92.88626861572266,87.47174835205078,55.91546630859375,97.30955505371094,95.09856414794922
Human,0.0,94.7012710571289,89.68191528320312,0.0,0.0,0.0,0.0,99.28929901123047,0.0,73.85617065429688,83.86847686767578,0.0,0.0,89.06527709960938,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,94.7012710571289,89.68191528320312,0.0,0.0,0.0,0.0,99.28929901123047,0.0,73.85617065429688,83.86847686767578,0.0,0.0,89.06527709960938,0.0,0.0,0.0,0.0,0.0,0.0
Toy,0.0,67.54025268554688,0.0,0.0,0.0,87.96737670898438,67.04524993896484,0.0,0.0,62.4603157043457,90.85445404052734,0.0,99.60426330566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
