,푸미_1,푸미_2,푸미_3,푸미_4,푸미_5,푸미_6,푸미_7,푸미_8,푸미_9,푸미_10,푸미_11,푸미_12,푸미_13,푸미_14,푸미_15,푸미_16,푸미_17,푸미_18,푸미_19,푸미_20
Animal,93.61616516113281,76.0997543334961,61.03660202026367,96.10004425048828,91.91386413574219,94.00869750976562,97.74129486083984,98.92986297607422,0.0,87.40827178955078,92.35334014892578,94.07007598876953,0.0,95.15719604492188,90.45084381103516,90.81365203857422,91.71382141113281,94.35284423828125,90.59854888916016,0.0
Mammal,93.61616516113281,75.75970458984375,0.0,92.68669128417969,91.7379379272461,94.00869750976562,97.74129486083984,98.92986297607422,0.0,87.40827178955078,92.35334014892578,93.95783996582031,0.0,95.15719604492188,90.34136962890625,90.79683685302734,91.71382141113281,94.35284423828125,90.59854888916016,0.0
Canine,93.54910278320312,75.75970458984375,0.0,90.47341918945312,89.26419830322266,94.00869750976562,0.0,0.0,0.0,87.40827178955078,92.35334014892578,93.95783996582031,0.0,95.15719604492188,90.34136962890625,90.79683685302734,91.71382141113281,0.0,90.59854888916016,0.0
Pet,92.93694305419922,73.49170684814453,0.0,91.80274963378906,87.31919860839844,94.00869750976562,0.0,0.0,0.0,87.40827178955078,92.35334014892578,94.07007598876953,0.0,95.15719604492188,90.45084381103516,90.81365203857422,90.9245376586914,0.0,88.80841827392578,0.0
Dog,92.59566497802734,67.1588363647461,0.0,88.96045684814453,85.85554504394531,94.00869750976562,0.0,0.0,0.0,87.40827178955078,92.35334014892578,93.43228149414062,0.0,95.15719604492188,89.75603485107422,89.10723876953125,90.09524536132812,0.0,88.80841827392578,0.0
White Dog,79.25834655761719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.57244110107422,0.0
Word,0.0,96.25794982910156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,88.9477310180664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,72.68274688720703,0.0,0.0,0.0,0.0,0.0,0.0,98.79914093017578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.85745239257812,0.0,0.0
Human,0.0,72.68274688720703,0.0,0.0,0.0,0.0,0.0,0.0,98.79914093017578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.85745239257812,0.0,0.0
Crowd,0.0,67.62139892578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulldog,0.0,67.1588363647461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston Bull,0.0,67.1588363647461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,59.76441192626953,0.0,80.1344985961914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,99.97037506103516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.520973205566406,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,99.97037506103516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.00720977783203,0.0,0.0,0.0,0.0,78.42250061035156
Outdoors,0.0,0.0,98.10092163085938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.10590362548828,0.0,0.0,0.0,0.0,0.0,64.7341537475586,89.64247131347656
Nature,0.0,0.0,95.55183410644531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.10590362548828,0.0,0.0,0.0,0.0,0.0,64.7341537475586,81.01104736328125
Field,0.0,0.0,94.77758026123047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,0.0,94.77758026123047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green,0.0,0.0,89.22183227539062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
