,풀리_1,풀리_2,풀리_3,풀리_4,풀리_5,풀리_6,풀리_7,풀리_8,풀리_9,풀리_10,풀리_11,풀리_12,풀리_13,풀리_14,풀리_15,풀리_16,풀리_17,풀리_18,풀리_19,풀리_20
Sheep,99.81149291992188,0.0,0.0,0.0,0.0,0.0,58.28353500366211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal,99.81149291992188,97.98018646240234,86.59117126464844,79.29942321777344,97.33438110351562,96.14564514160156,89.10774230957031,99.73182678222656,97.87493896484375,61.03660202026367,94.20323181152344,90.47599029541016,74.50496673583984,94.56958770751953,88.38304901123047,93.09905242919922,63.63611602783203,98.27811431884766,94.50861358642578,93.62857818603516
Mammal,99.81149291992188,0.0,82.9482650756836,79.29942321777344,97.33438110351562,96.14564514160156,89.10774230957031,99.73182678222656,97.87493896484375,0.0,61.4528694152832,90.47599029541016,74.44157409667969,94.56958770751953,88.38304901123047,93.09905242919922,0.0,98.27811431884766,94.50861358642578,93.62857818603516
Sweater,99.02437591552734,0.0,0.0,0.0,0.0,0.0,99.82442474365234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.47030639648438,0.0,0.0,73.81982421875,0.0,0.0
Clothing,99.02437591552734,0.0,0.0,0.0,0.0,0.0,99.82442474365234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.47030639648438,0.0,0.0,73.81982421875,0.0,0.0
Apparel,99.02437591552734,0.0,0.0,0.0,0.0,0.0,99.82442474365234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.47030639648438,0.0,0.0,73.81982421875,0.0,0.0
Wool,71.55248260498047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.585105895996094,0.0,56.88303756713867,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,99.80043029785156,0.0,0.0,0.0,61.50163650512695,0.0,0.0,0.0,74.7342758178711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,99.80043029785156,77.40021514892578,0.0,55.51167678833008,99.9970932006836,0.0,0.0,0.0,99.97037506103516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.45841217041016
Grass,0.0,99.78450775146484,77.40021514892578,0.0,0.0,99.9970932006836,0.0,0.0,0.0,99.97037506103516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
