,풍산개_1,풍산개_2,풍산개_3,풍산개_4,풍산개_5,풍산개_6,풍산개_7,풍산개_8,풍산개_9,풍산개_10,풍산개_11,풍산개_12,풍산개_13,풍산개_14,풍산개_15,풍산개_16,풍산개_17,풍산개_18,풍산개_19,풍산개_20
Animal,97.9654769897461,97.7905044555664,78.39283752441406,91.64341735839844,91.77587890625,92.24717712402344,93.0899429321289,95.04310607910156,94.3515853881836,99.0119400024414,92.41156768798828,92.8118896484375,94.70014190673828,98.104736328125,93.7848892211914,94.73500061035156,98.64832305908203,96.10318756103516,94.36640167236328,97.93095397949219
Pig,97.9654769897461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.14836883544922
Mammal,97.9654769897461,75.12056732177734,78.39283752441406,88.14647674560547,91.09062957763672,92.24717712402344,92.0399169921875,94.38362884521484,92.98776245117188,99.0119400024414,90.61134338378906,90.02081298828125,94.70014190673828,98.104736328125,93.7848892211914,94.73500061035156,98.64832305908203,96.10318756103516,92.65025329589844,97.93095397949219
Canine,97.53482818603516,0.0,78.39283752441406,83.26837158203125,88.4290542602539,92.24717712402344,89.6135025024414,94.38362884521484,92.98776245117188,99.0119400024414,86.27465057373047,90.02081298828125,94.70014190673828,98.104736328125,93.7848892211914,94.73500061035156,98.64832305908203,96.10318756103516,90.93045043945312,97.93095397949219
Puppy,97.53482818603516,0.0,0.0,0.0,64.73321533203125,78.46717834472656,0.0,0.0,0.0,99.0119400024414,69.51782989501953,0.0,88.98690795898438,0.0,89.60277557373047,0.0,0.0,0.0,90.37821960449219,64.54452514648438
Pet,97.53482818603516,0.0,73.33827209472656,79.33988952636719,84.5789566040039,91.24327087402344,89.26005554199219,94.1572036743164,92.72431945800781,99.0119400024414,86.21942901611328,89.3326416015625,92.98489379882812,98.104736328125,92.51419067382812,94.73500061035156,98.64832305908203,95.48713684082031,91.0666275024414,97.93095397949219
Dog,97.53482818603516,0.0,64.85572052001953,0.0,84.5789566040039,90.64959716796875,88.48983764648438,93.23247528076172,92.72431945800781,99.0119400024414,82.95606994628906,88.68195343017578,92.98489379882812,98.104736328125,91.99348449707031,94.73500061035156,98.64832305908203,95.16544342041016,90.37821960449219,97.93095397949219
Husky,64.7642822265625,0.0,0.0,0.0,0.0,86.55833435058594,88.48983764648438,57.80253601074219,0.0,0.0,0.0,0.0,0.0,98.104736328125,80.58120727539062,55.776329040527344,84.19630432128906,58.3703498840332,0.0,0.0
Golden Retriever,61.23331832885742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.73500061035156,0.0,0.0,0.0,97.93095397949219
Hound,58.21213912963867,0.0,64.85572052001953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.93788528442383,56.02682876586914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,96.04862976074219,74.54266357421875,94.20433807373047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.32378387451172,0.0,0.0,0.0,0.0,0.0
Person,0.0,96.04862976074219,74.54266357421875,94.20433807373047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.32378387451172,0.0,0.0,0.0,0.0,0.0
Bird,0.0,94.65210723876953,0.0,57.442378997802734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ferret,0.0,60.991905212402344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food,0.0,0.0,71.78167724609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confectionery,0.0,0.0,71.78167724609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweets,0.0,0.0,71.78167724609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lip,0.0,0.0,67.76094055175781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouth,0.0,0.0,67.76094055175781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Den,0.0,0.0,63.071929931640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teeth,0.0,0.0,59.03224563598633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,94.65423583984375,85.52825164794922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,94.65423583984375,85.52825164794922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer,0.0,0.0,0.0,76.1927261352539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team,0.0,0.0,0.0,76.1927261352539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ball,0.0,0.0,0.0,76.1927261352539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,0.0,0.0,0.0,76.1927261352539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team Sport,0.0,0.0,0.0,76.1927261352539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
People,0.0,0.0,0.0,76.1927261352539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
