,프렌치 불도그_1,프렌치 불도그_2,프렌치 불도그_3,프렌치 불도그_4,프렌치 불도그_5,프렌치 불도그_6,프렌치 불도그_7,프렌치 불도그_8,프렌치 불도그_9,프렌치 불도그_10,프렌치 불도그_11,프렌치 불도그_12,프렌치 불도그_13,프렌치 불도그_14,프렌치 불도그_15,프렌치 불도그_16,프렌치 불도그_17,프렌치 불도그_18,프렌치 불도그_19,프렌치 불도그_20
Pug,95.8550033569336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.03117752075195,0.0,0.0,0.0,0.0,0.0,0.0
Mammal,95.8550033569336,96.21674346923828,96.23704528808594,92.22309875488281,99.9866714477539,99.23062133789062,98.99687194824219,99.86343383789062,99.58761596679688,99.13532257080078,99.79267883300781,99.85525512695312,92.91647338867188,91.86518859863281,97.82809448242188,99.73416137695312,99.48594665527344,98.67959594726562,96.52425384521484,97.98658752441406
Dog,95.8550033569336,96.21674346923828,96.23704528808594,91.28807830810547,99.9866714477539,99.23062133789062,98.99687194824219,99.86343383789062,99.58761596679688,99.13532257080078,99.79267883300781,99.85525512695312,91.14564514160156,91.79267883300781,97.82809448242188,99.73416137695312,99.48594665527344,98.67959594726562,96.52425384521484,97.98658752441406
Canine,95.8550033569336,96.21674346923828,96.23704528808594,92.22309875488281,99.9866714477539,99.23062133789062,98.99687194824219,99.86343383789062,99.58761596679688,99.13532257080078,99.79267883300781,99.85525512695312,92.91647338867188,91.86518859863281,97.82809448242188,99.73416137695312,99.48594665527344,98.67959594726562,96.52425384521484,97.98658752441406
Animal,95.8550033569336,96.21674346923828,96.23704528808594,92.22309875488281,99.9866714477539,99.23062133789062,98.99687194824219,99.86343383789062,99.58761596679688,99.13532257080078,99.79267883300781,99.85525512695312,93.68701934814453,92.06439971923828,97.82809448242188,99.73416137695312,99.48594665527344,98.67959594726562,96.52425384521484,97.98658752441406
Pet,95.8550033569336,96.21674346923828,96.23704528808594,92.01363372802734,99.9866714477539,99.23062133789062,98.99687194824219,99.86343383789062,99.58761596679688,99.13532257080078,99.79267883300781,99.85525512695312,91.3714828491211,91.79267883300781,97.82809448242188,99.73416137695312,99.48594665527344,98.67959594726562,96.52425384521484,97.98658752441406
Person,63.206295013427734,0.0,0.0,0.0,0.0,0.0,96.29621887207031,0.0,0.0,0.0,72.22509002685547,0.0,0.0,0.0,85.49093627929688,0.0,0.0,0.0,0.0,0.0
Human,63.206295013427734,0.0,0.0,0.0,0.0,0.0,96.29621887207031,0.0,0.0,0.0,72.22509002685547,0.0,0.0,0.0,85.49093627929688,0.0,0.0,0.0,0.0,0.0
Sitting,58.74800491333008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,58.16318893432617,0.0,96.23704528808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.13033676147461,0.0,0.0,0.0,0.0,0.0,0.0,61.66456604003906,0.0
Bulldog,0.0,96.21674346923828,0.0,86.93855285644531,99.9866714477539,99.23062133789062,98.99687194824219,99.86343383789062,99.58761596679688,97.20171356201172,99.79267883300781,99.85525512695312,72.30644989013672,91.79267883300781,97.82809448242188,99.73416137695312,99.48594665527344,98.67959594726562,96.52425384521484,97.98658752441406
Pitbull,0.0,93.918701171875,0.0,0.0,0.0,57.01707077026367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boxer,0.0,63.36768341064453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.176109313964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor,0.0,0.0,94.6942138671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,0.0,61.23329162597656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Bulldog,0.0,0.0,0.0,59.85535430908203,99.9866714477539,99.23062133789062,98.99687194824219,99.86343383789062,99.58761596679688,97.20171356201172,99.79267883300781,99.85525512695312,0.0,91.79267883300781,97.82809448242188,99.73416137695312,99.48594665527344,98.67959594726562,96.52425384521484,97.98658752441406
Boston Bull,0.0,0.0,0.0,0.0,59.49430465698242,0.0,0.0,0.0,0.0,90.19537353515625,0.0,69.71815490722656,0.0,0.0,58.16063690185547,0.0,0.0,0.0,0.0,81.35236358642578
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.90174102783203,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.90174102783203,0.0,0.0,0.0,0.0,0.0,0.0
Drawing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.43865966796875,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.43865966796875,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.79193878173828,0.0,0.0,0.0,0.0,0.0
