,프티 바세 그리퐁 방댕_1,프티 바세 그리퐁 방댕_2,프티 바세 그리퐁 방댕_3,프티 바세 그리퐁 방댕_4,프티 바세 그리퐁 방댕_5,프티 바세 그리퐁 방댕_6,프티 바세 그리퐁 방댕_7,프티 바세 그리퐁 방댕_8,프티 바세 그리퐁 방댕_9,프티 바세 그리퐁 방댕_10,프티 바세 그리퐁 방댕_11,프티 바세 그리퐁 방댕_12,프티 바세 그리퐁 방댕_13,프티 바세 그리퐁 방댕_14,프티 바세 그리퐁 방댕_15,프티 바세 그리퐁 방댕_16,프티 바세 그리퐁 방댕_17,프티 바세 그리퐁 방댕_18,프티 바세 그리퐁 방댕_19,프티 바세 그리퐁 방댕_20
Mammal,93.46602630615234,93.8490219116211,91.60537719726562,86.83193969726562,94.16331481933594,88.41507720947266,0.0,92.83684539794922,91.75092315673828,91.3868408203125,87.66095733642578,87.82856750488281,89.42489624023438,92.66626739501953,0.0,98.1616439819336,88.31036376953125,98.84235382080078,82.46306610107422,92.91319274902344
Animal,93.46602630615234,93.8490219116211,91.8587417602539,86.83193969726562,94.16331481933594,88.41507720947266,0.0,93.3253402709961,91.75092315673828,93.61358642578125,88.23147583007812,87.82856750488281,90.22293853759766,93.37592315673828,0.0,98.1616439819336,88.59770965576172,98.84235382080078,95.2984848022461,92.91319274902344
Canine,93.46602630615234,93.8490219116211,91.60537719726562,86.83193969726562,94.16331481933594,88.41507720947266,0.0,92.83684539794922,91.75092315673828,91.3868408203125,75.91006469726562,87.82856750488281,89.42489624023438,92.66626739501953,0.0,98.1616439819336,88.31036376953125,98.84235382080078,82.46306610107422,92.91319274902344
Pet,92.5828857421875,92.95616149902344,91.8587417602539,86.02027130126953,93.4296875,87.35614776611328,0.0,93.3253402709961,90.7746810913086,93.61358642578125,88.23147583007812,86.68354034423828,90.22293853759766,93.37592315673828,0.0,98.1616439819336,88.59770965576172,98.84235382080078,82.64128112792969,92.91319274902344
Dog,92.49707794189453,92.20101928710938,90.35285186767578,59.411949157714844,74.00495147705078,86.68319702148438,0.0,91.83162689208984,90.7746810913086,90.42021179199219,72.35316467285156,86.0137710571289,83.60163116455078,92.21025085449219,0.0,98.1616439819336,87.14231872558594,98.84235382080078,82.09172058105469,92.91319274902344
Terrier,87.01702880859375,64.65101623535156,82.55250549316406,0.0,71.92943572998047,58.850589752197266,0.0,88.66787719726562,0.0,73.37965393066406,0.0,59.71562576293945,56.99924850463867,82.80502319335938,0.0,73.48391723632812,57.86153030395508,0.0,0.0,77.20598602294922
Hound,70.72062683105469,0.0,0.0,0.0,0.0,58.907806396484375,0.0,89.31497192382812,0.0,0.0,58.64371871948242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.1985855102539,0.0
Plant,63.338462829589844,0.0,0.0,0.0,0.0,58.98069763183594,99.97403717041016,0.0,0.0,0.0,0.0,0.0,90.5572280883789,0.0,0.0,56.752803802490234,0.0,0.0,0.0,0.0
Poodle,60.00928497314453,0.0,0.0,55.223182678222656,0.0,58.27006530761719,0.0,0.0,0.0,72.8807144165039,0.0,69.83753204345703,68.21045684814453,0.0,0.0,0.0,62.56909942626953,0.0,0.0,0.0
Puppy,58.34891128540039,0.0,82.20670318603516,59.411949157714844,55.992218017578125,56.1016731262207,0.0,0.0,74.79107666015625,64.61830139160156,0.0,0.0,83.60163116455078,91.77520751953125,0.0,98.1616439819336,0.0,0.0,0.0,0.0
Outdoors,55.73453140258789,0.0,57.32903289794922,0.0,0.0,62.13063049316406,0.0,0.0,0.0,0.0,0.0,0.0,60.49156951904297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,63.858802795410156,0.0,57.01213073730469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocker Spaniel,0.0,57.208499908447266,0.0,0.0,74.00495147705078,0.0,0.0,0.0,57.472808837890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spaniel,0.0,57.208499908447266,0.0,0.0,74.00495147705078,0.0,0.0,0.0,57.472808837890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,72.45795440673828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,66.26152801513672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,66.26152801513672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,66.0526123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indoors,0.0,0.0,0.0,61.765777587890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,93.62565612792969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.832763671875,0.0,0.0,0.0,0.0,84.52059936523438,0.0,0.0
Human,0.0,0.0,0.0,0.0,93.62565612792969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.832763671875,0.0,0.0,0.0,0.0,84.52059936523438,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,58.98069763183594,0.0,0.0,0.0,0.0,0.0,0.0,90.5572280883789,0.0,0.0,56.752803802490234,0.0,0.0,0.0,0.0
Tree,0.0,0.0,0.0,0.0,0.0,0.0,99.97403717041016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maple,0.0,0.0,0.0,0.0,0.0,0.0,99.97403717041016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,62.726924896240234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conifer,0.0,0.0,0.0,0.0,0.0,0.0,56.036781311035156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bush,0.0,0.0,0.0,0.0,0.0,0.0,55.00169372558594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghan Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.963409423828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Airedale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.28097915649414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
