,플랫코티드 레트리버_1,플랫코티드 레트리버_2,플랫코티드 레트리버_3,플랫코티드 레트리버_4,플랫코티드 레트리버_5,플랫코티드 레트리버_6,플랫코티드 레트리버_7,플랫코티드 레트리버_8,플랫코티드 레트리버_9,플랫코티드 레트리버_10,플랫코티드 레트리버_11,플랫코티드 레트리버_12,플랫코티드 레트리버_13,플랫코티드 레트리버_14,플랫코티드 레트리버_15,플랫코티드 레트리버_16,플랫코티드 레트리버_17,플랫코티드 레트리버_18,플랫코티드 레트리버_19,플랫코티드 레트리버_20
Dog,97.43425750732422,91.79692077636719,99.03945922851562,99.29425048828125,98.91649627685547,88.54664611816406,99.3404312133789,74.18050384521484,90.16862487792969,92.20207977294922,95.98521423339844,89.82572937011719,90.67263793945312,93.47843933105469,95.62415313720703,98.14522552490234,94.92998504638672,94.70317077636719,90.67040252685547,92.04852294921875
Golden Retriever,97.43425750732422,0.0,0.0,0.0,0.0,0.0,76.68106842041016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.62415313720703,0.0,0.0,0.0,0.0,0.0
Canine,97.43425750732422,92.79522705078125,99.03945922851562,99.29425048828125,98.91649627685547,88.54664611816406,99.3404312133789,77.9513168334961,91.49983978271484,92.24240112304688,95.98521423339844,93.5003890991211,91.68944549560547,94.50735473632812,96.56835174560547,98.14522552490234,94.92998504638672,94.70317077636719,93.51042938232422,92.59566497802734
Pet,97.43425750732422,91.79692077636719,99.03945922851562,99.29425048828125,98.91649627685547,94.66671752929688,99.3404312133789,76.16621398925781,90.16862487792969,92.20207977294922,95.98521423339844,89.82572937011719,92.29682159423828,93.47843933105469,96.0667495727539,98.14522552490234,94.92998504638672,94.70317077636719,91.68006896972656,92.04852294921875
Mammal,97.43425750732422,92.79522705078125,99.03945922851562,99.29425048828125,98.91649627685547,90.80355834960938,99.3404312133789,79.73729705810547,91.49983978271484,92.24240112304688,99.64164733886719,93.5003890991211,91.68944549560547,94.50735473632812,96.56835174560547,98.14522552490234,94.92998504638672,94.70317077636719,93.51042938232422,92.59566497802734
Animal,97.43425750732422,92.79522705078125,99.03945922851562,99.29425048828125,98.91649627685547,94.66671752929688,99.3404312133789,79.93443298339844,91.49983978271484,93.45262145996094,99.64164733886719,93.5003890991211,92.29682159423828,94.50735473632812,96.8704605102539,98.14522552490234,94.92998504638672,94.70317077636719,93.51042938232422,92.59566497802734
Bonfire,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fire,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flame,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,57.98565673828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
