,플롯 하운드_1,플롯 하운드_2,플롯 하운드_3,플롯 하운드_4,플롯 하운드_5,플롯 하운드_6,플롯 하운드_7,플롯 하운드_8,플롯 하운드_9,플롯 하운드_10,플롯 하운드_11,플롯 하운드_12,플롯 하운드_13,플롯 하운드_14,플롯 하운드_15,플롯 하운드_16,플롯 하운드_17,플롯 하운드_18,플롯 하운드_19,플롯 하운드_20
Mammal,91.55184936523438,96.87153625488281,88.0838623046875,93.47457122802734,94.16722869873047,92.25194549560547,79.88427734375,89.63826751708984,99.35786437988281,98.63459777832031,92.11678314208984,92.36643981933594,89.45805358886719,93.29554748535156,92.93283081054688,93.76341247558594,99.53050994873047,77.82662963867188,69.99322509765625,97.16775512695312
Animal,91.55184936523438,96.87153625488281,89.40166473388672,93.47457122802734,94.16722869873047,92.25194549560547,80.19351196289062,90.66168212890625,99.35786437988281,98.63459777832031,92.43228149414062,92.36643981933594,89.70869445800781,93.47908782958984,95.99888610839844,93.76341247558594,99.53050994873047,77.82662963867188,71.26846313476562,97.16775512695312
Pet,90.90425109863281,96.87153625488281,89.40166473388672,93.47457122802734,94.16722869873047,61.4566650390625,73.12389373779297,85.5355453491211,99.35786437988281,98.63459777832031,92.43228149414062,92.13813018798828,87.84671783447266,93.47908782958984,0.0,93.76341247558594,91.19242095947266,70.36614990234375,69.96662139892578,97.16775512695312
Canine,90.32058715820312,96.87153625488281,88.0838623046875,93.47457122802734,94.16722869873047,81.33727264404297,74.7021713256836,87.37433624267578,99.35786437988281,98.63459777832031,92.11678314208984,92.36643981933594,88.98881530761719,93.29554748535156,0.0,93.76341247558594,91.95899963378906,77.82662963867188,65.88908386230469,97.16775512695312
Human,83.62531280517578,0.0,0.0,0.0,60.40345764160156,98.7105484008789,87.10014343261719,81.99561309814453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.58558654785156,0.0,0.0,66.40925598144531,0.0
Person,83.62531280517578,0.0,0.0,0.0,60.40345764160156,98.7105484008789,87.10014343261719,81.99561309814453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.58558654785156,0.0,0.0,66.40925598144531,0.0
Hound,74.3140869140625,0.0,0.0,0.0,0.0,0.0,66.28387451171875,0.0,0.0,0.0,56.382408142089844,0.0,0.0,0.0,0.0,93.76341247558594,74.65341186523438,60.27640151977539,0.0,86.54518127441406
Dog,74.3140869140625,96.87153625488281,57.185733795166016,93.47457122802734,94.16722869873047,0.0,66.28387451171875,58.98428726196289,99.35786437988281,98.63459777832031,90.22505950927734,92.13813018798828,87.84671783447266,93.27301788330078,0.0,93.76341247558594,90.8646469116211,60.27640151977539,0.0,97.16775512695312
Pointer,63.18952560424805,96.87153625488281,0.0,0.0,94.16722869873047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.25799560546875,0.0,65.20464324951172,0.0,0.0,0.0,0.0
Great Dane,59.05845642089844,0.0,57.185733795166016,57.584957122802734,0.0,0.0,0.0,0.0,0.0,0.0,59.263763427734375,0.0,0.0,93.27301788330078,0.0,0.0,0.0,0.0,0.0,0.0
