,피레니안 마스티프_1,피레니안 마스티프_2,피레니안 마스티프_3,피레니안 마스티프_4,피레니안 마스티프_5,피레니안 마스티프_6,피레니안 마스티프_7,피레니안 마스티프_8,피레니안 마스티프_9,피레니안 마스티프_10,피레니안 마스티프_11,피레니안 마스티프_12,피레니안 마스티프_13,피레니안 마스티프_14,피레니안 마스티프_15,피레니안 마스티프_16,피레니안 마스티프_17,피레니안 마스티프_18,피레니안 마스티프_19,피레니안 마스티프_20
Mammal,98.786376953125,93.25347137451172,95.61471557617188,98.63048553466797,98.89984893798828,95.12832641601562,89.6318359375,0.0,94.23047637939453,91.41436004638672,0.0,68.13440704345703,91.05919647216797,80.03023529052734,80.58606719970703,91.43690490722656,97.267578125,88.97089385986328,94.77908325195312,74.60620880126953
Wolf,98.786376953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal,98.786376953125,93.25347137451172,95.61471557617188,98.63048553466797,98.89984893798828,95.12832641601562,89.89422607421875,90.92659759521484,94.7547836303711,94.5096435546875,60.69697952270508,69.86764526367188,91.58575439453125,80.03023529052734,80.58606719970703,91.43690490722656,97.267578125,88.97089385986328,94.77908325195312,74.60620880126953
Red Wolf,76.89826202392578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canine,76.89826202392578,93.25347137451172,95.61471557617188,98.63048553466797,98.89984893798828,95.12832641601562,89.6318359375,0.0,79.81108856201172,91.41436004638672,0.0,63.98727798461914,90.45707702636719,80.03023529052734,73.71355438232422,91.43690490722656,97.267578125,88.97089385986328,94.77908325195312,74.60620880126953
Coyote,59.76179504394531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dog,0.0,92.29681396484375,93.38188934326172,98.63048553466797,98.89984893798828,94.25504302978516,0.0,0.0,0.0,73.39082336425781,0.0,59.451751708984375,80.78276824951172,56.56340408325195,57.26605224609375,89.34988403320312,95.0311279296875,60.48267364501953,94.67276000976562,0.0
Pet,0.0,92.29681396484375,94.15010070800781,98.63048553466797,98.89984893798828,94.2716293334961,89.89422607421875,0.0,83.63365936279297,87.57897186279297,0.0,59.451751708984375,91.58575439453125,77.33470916748047,72.94905853271484,89.61507415771484,95.50094604492188,88.69223022460938,94.67789459228516,66.47515869140625
Saint Bernard,0.0,75.53309631347656,0.0,96.69335174560547,0.0,88.76249694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.75741577148438,0.0,94.67276000976562,0.0
Hound,0.0,73.68289184570312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.39082336425781,0.0,0.0,0.0,0.0,0.0,55.88052749633789,0.0,0.0,0.0,0.0
Collie,0.0,58.01368713378906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.75638961791992,0.0,59.4110107421875,0.0,0.0,0.0,0.0
Appenzeller,0.0,57.429908752441406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,0.0,89.80379486083984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.36282348632812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.395809173583984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.13981628417969
Snow,0.0,0.0,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.395809173583984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.395809173583984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.78572845458984
Winter,0.0,0.0,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.395809173583984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,0.0,0.0,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.395809173583984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,98.89984893798828,59.585758209228516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newfoundland,0.0,0.0,0.0,0.0,67.75975799560547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.68015670776367,0.0,0.0,0.0,0.0,56.089996337890625,59.46293258666992,0.0
Puppy,0.0,0.0,0.0,0.0,59.53806686401367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,58.379390716552734,91.8326187133789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.4641227722168,0.0,0.0,0.0,0.0,96.90982818603516
Grass,0.0,0.0,0.0,0.0,0.0,58.379390716552734,91.8326187133789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.4641227722168,0.0,0.0,0.0,0.0,96.90982818603516
