,피레니안 쉽독_1,피레니안 쉽독_2,피레니안 쉽독_3,피레니안 쉽독_4,피레니안 쉽독_5,피레니안 쉽독_6,피레니안 쉽독_7,피레니안 쉽독_8,피레니안 쉽독_9,피레니안 쉽독_10,피레니안 쉽독_11,피레니안 쉽독_12,피레니안 쉽독_13,피레니안 쉽독_14,피레니안 쉽독_15,피레니안 쉽독_16,피레니안 쉽독_17,피레니안 쉽독_18,피레니안 쉽독_19,피레니안 쉽독_20
Dog,98.29496002197266,95.84091186523438,93.6528091430664,91.56883239746094,0.0,60.48267364501953,95.13163757324219,69.76132202148438,57.870628356933594,0.0,91.20603942871094,81.29179382324219,0.0,85.75648498535156,90.49745178222656,74.73921203613281,0.0,96.28340911865234,91.71578216552734,0.0
Mammal,98.29496002197266,96.3030014038086,94.54705810546875,91.56883239746094,0.0,88.97089385986328,95.13163757324219,86.4594497680664,87.17973327636719,0.0,91.73675537109375,90.67063903808594,0.0,88.5632553100586,91.71411895751953,85.21586608886719,56.669944763183594,96.28340911865234,91.71578216552734,71.0517807006836
Pet,98.29496002197266,95.84091186523438,93.6528091430664,91.56883239746094,0.0,88.69223022460938,95.13163757324219,84.79345703125,85.50513458251953,0.0,91.36251831054688,88.4842300415039,0.0,88.02378845214844,90.7872314453125,82.5168228149414,0.0,96.28340911865234,91.71578216552734,0.0
Animal,98.29496002197266,96.3030014038086,94.54705810546875,91.56883239746094,0.0,88.97089385986328,95.13163757324219,87.73492431640625,87.17973327636719,0.0,91.73675537109375,90.67063903808594,0.0,88.5632553100586,91.71411895751953,85.21586608886719,70.74998474121094,96.28340911865234,92.00724792480469,82.85140991210938
Canine,98.29496002197266,96.3030014038086,94.54705810546875,91.56883239746094,0.0,88.97089385986328,95.13163757324219,86.4594497680664,87.17973327636719,0.0,91.73675537109375,90.67063903808594,0.0,87.03765869140625,91.71411895751953,85.21586608886719,0.0,96.28340911865234,91.71578216552734,0.0
Affenpinscher,81.61843872070312,89.30952453613281,80.02347564697266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,72.36953735351562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collie,0.0,0.0,0.0,77.58844757080078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.42744827270508,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,69.45875549316406,0.0,0.0,0.0,0.0,97.59475708007812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,69.45875549316406,0.0,0.0,0.0,0.0,97.59475708007812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
