,피레니언 셰퍼드_1,피레니언 셰퍼드_2,피레니언 셰퍼드_3,피레니언 셰퍼드_4,피레니언 셰퍼드_5,피레니언 셰퍼드_6,피레니언 셰퍼드_7,피레니언 셰퍼드_8,피레니언 셰퍼드_9,피레니언 셰퍼드_10,피레니언 셰퍼드_11,피레니언 셰퍼드_12,피레니언 셰퍼드_13,피레니언 셰퍼드_14,피레니언 셰퍼드_15,피레니언 셰퍼드_16,피레니언 셰퍼드_17,피레니언 셰퍼드_18,피레니언 셰퍼드_19,피레니언 셰퍼드_20
Grass,94.94508361816406,72.18780517578125,0.0,74.91536712646484,93.3004150390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,94.94508361816406,72.18780517578125,0.0,74.91536712646484,93.3004150390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.78585052490234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dog,93.53514862060547,94.21536254882812,97.96070098876953,87.8875503540039,92.48579406738281,85.36209869384766,98.75767517089844,93.00303649902344,94.07566833496094,67.7179183959961,63.783836364746094,94.35536193847656,92.63054656982422,82.49005889892578,92.70718383789062,95.9046401977539,95.94793701171875,95.34056091308594,92.32891082763672,94.61073303222656
Mammal,93.53514862060547,94.38590240478516,97.96070098876953,90.65782928466797,92.48579406738281,85.36209869384766,98.75767517089844,94.4070816040039,94.372314453125,77.7431411743164,73.60586547851562,94.35536193847656,92.63054656982422,89.78912353515625,92.94725799560547,95.9046401977539,96.63802337646484,95.34056091308594,92.32891082763672,94.7116928100586
Golden Retriever,93.53514862060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.63054656982422,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal,93.53514862060547,94.38590240478516,97.96070098876953,90.65782928466797,92.48579406738281,85.91481018066406,98.75767517089844,94.4070816040039,95.17859649658203,80.84934997558594,73.60586547851562,94.35536193847656,92.63054656982422,89.78912353515625,93.21804809570312,96.25001525878906,96.63802337646484,95.34056091308594,92.50273895263672,94.81442260742188
Pet,93.53514862060547,94.21536254882812,97.96070098876953,89.04296112060547,92.48579406738281,85.91481018066406,98.75767517089844,93.00303649902344,95.17859649658203,74.36842346191406,69.0492935180664,94.35536193847656,92.63054656982422,87.04730987548828,93.21804809570312,96.25001525878906,95.94793701171875,95.34056091308594,92.50273895263672,94.81442260742188
Canine,93.53514862060547,94.38590240478516,97.96070098876953,89.8699951171875,92.48579406738281,85.36209869384766,98.75767517089844,94.4070816040039,94.372314453125,71.24374389648438,73.60586547851562,94.35536193847656,92.63054656982422,89.78912353515625,92.94725799560547,95.9046401977539,96.63802337646484,95.34056091308594,92.32891082763672,94.7116928100586
Outdoors,63.345947265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.597537994384766,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collie,56.514854431152344,0.0,0.0,0.0,63.573516845703125,0.0,0.0,0.0,0.0,67.7179183959961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,55.3297004699707,0.0,0.0,0.0,58.13273620605469,79.92303466796875,0.0,0.0,0.0,0.0,82.52265167236328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.89458465576172
Eskimo Dog,0.0,55.19831848144531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,94.57779693603516,0.0,91.67963409423828,0.0,0.0,0.0,69.88236236572266,0.0,0.0,0.0,0.0,0.0,0.0,84.82101440429688,0.0,0.0,59.114952087402344,87.63813781738281
German Shepherd,0.0,0.0,80.71832275390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghan Hound,0.0,0.0,67.19010162353516,0.0,58.89148712158203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.034027099609375
Husky,0.0,0.0,0.0,83.54302215576172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,0.0,68.60092163085938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.75156021118164,0.0
Wolf,0.0,0.0,0.0,55.735252380371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Wolf,0.0,0.0,0.0,55.735252380371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,61.211483001708984,60.74819564819336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
