,필드 스패니얼_1,필드 스패니얼_2,필드 스패니얼_3,필드 스패니얼_4,필드 스패니얼_5,필드 스패니얼_6,필드 스패니얼_7,필드 스패니얼_8,필드 스패니얼_9,필드 스패니얼_10,필드 스패니얼_11,필드 스패니얼_12,필드 스패니얼_13,필드 스패니얼_14,필드 스패니얼_15,필드 스패니얼_16,필드 스패니얼_17,필드 스패니얼_18,필드 스패니얼_19,필드 스패니얼_20
Animal,93.03907775878906,92.34808349609375,94.48563385009766,93.55066680908203,94.92677307128906,93.31504821777344,97.22767639160156,92.87477111816406,92.34904479980469,92.81022644042969,93.53007507324219,93.92063903808594,92.66490936279297,93.2430419921875,96.3417739868164,92.81936645507812,88.53621673583984,85.27836608886719,91.24237060546875,88.45349884033203
Canine,93.03907775878906,92.20851135253906,94.48563385009766,93.55066680908203,94.92677307128906,93.31504821777344,97.22767639160156,92.87477111816406,92.34904479980469,92.81022644042969,93.53007507324219,93.92063903808594,92.66490936279297,93.2430419921875,96.3417739868164,92.81936645507812,88.42774200439453,80.6427230834961,91.24237060546875,88.45349884033203
Mammal,93.03907775878906,92.20851135253906,94.48563385009766,93.55066680908203,94.92677307128906,93.31504821777344,97.22767639160156,92.87477111816406,92.34904479980469,92.81022644042969,93.53007507324219,93.92063903808594,92.66490936279297,93.2430419921875,96.3417739868164,92.81936645507812,88.42774200439453,81.40974426269531,91.24237060546875,88.45349884033203
Pet,92.87354278564453,92.34808349609375,94.48563385009766,93.1742172241211,94.92677307128906,92.40547180175781,97.22767639160156,92.02371215820312,91.1279067993164,92.77305603027344,93.36105346679688,93.92063903808594,92.31019592285156,92.3513412475586,96.3417739868164,92.6187744140625,88.53621673583984,80.6327133178711,88.57719421386719,87.64308166503906
Dog,92.60833740234375,90.46078491210938,94.48563385009766,93.1742172241211,94.92677307128906,92.40547180175781,97.22767639160156,78.23601531982422,90.67530822753906,91.99286651611328,93.36105346679688,93.92063903808594,92.31019592285156,92.3513412475586,96.3417739868164,86.25790405273438,88.42774200439453,74.95787811279297,71.22234344482422,87.40177917480469
Cocker Spaniel,90.77278137207031,69.61402130126953,94.48563385009766,84.85538482666016,94.92677307128906,83.44509887695312,97.22767639160156,78.23601531982422,64.62095642089844,0.0,59.3062858581543,93.28961944580078,92.04560089111328,92.3513412475586,96.3417739868164,64.81749725341797,56.97773361206055,0.0,66.4423828125,56.24227523803711
Spaniel,90.77278137207031,69.61402130126953,94.48563385009766,84.85538482666016,94.92677307128906,83.44509887695312,97.22767639160156,78.23601531982422,64.62095642089844,0.0,59.3062858581543,93.28961944580078,92.04560089111328,92.3513412475586,96.3417739868164,64.81749725341797,56.97773361206055,0.0,66.4423828125,56.24227523803711
Puppy,78.53215789794922,80.16227722167969,0.0,69.79441833496094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.078426361083984
Person,0.0,0.0,61.859825134277344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.26215362548828,0.0,65.59590148925781,0.0,85.31719207763672,90.37294006347656,0.0
Human,0.0,0.0,61.859825134277344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.26215362548828,0.0,65.59590148925781,0.0,85.31719207763672,90.37294006347656,0.0
