,핏 불 테리어_1,핏 불 테리어_2,핏 불 테리어_3,핏 불 테리어_4,핏 불 테리어_5,핏 불 테리어_6,핏 불 테리어_7,핏 불 테리어_8,핏 불 테리어_9,핏 불 테리어_10,핏 불 테리어_11,핏 불 테리어_12,핏 불 테리어_13,핏 불 테리어_14,핏 불 테리어_15,핏 불 테리어_16,핏 불 테리어_17,핏 불 테리어_18,핏 불 테리어_19,핏 불 테리어_20
Animal,93.53446960449219,94.86946868896484,93.20264434814453,96.06336212158203,97.41947937011719,97.23175811767578,95.88751220703125,95.74591827392578,90.2259292602539,94.99119567871094,96.21675109863281,94.71553802490234,92.51950073242188,92.61701965332031,84.79523468017578,94.1192398071289,97.12838745117188,99.89862823486328,93.73090362548828,90.11372375488281
Mammal,92.3932876586914,93.8445053100586,92.37812805175781,96.06336212158203,97.41947937011719,97.23175811767578,95.88751220703125,95.74591827392578,90.2259292602539,94.99119567871094,96.21675109863281,94.71553802490234,92.51950073242188,92.61701965332031,84.79523468017578,94.1192398071289,97.12838745117188,99.89862823486328,93.73090362548828,90.11372375488281
Canine,92.1845932006836,64.19629669189453,89.86271667480469,96.06336212158203,97.41947937011719,97.23175811767578,95.88751220703125,95.74591827392578,90.2259292602539,94.99119567871094,96.21675109863281,94.71553802490234,92.51950073242188,92.61701965332031,84.79523468017578,94.1192398071289,88.12025451660156,95.20465087890625,93.73090362548828,90.11372375488281
Pet,89.71257781982422,70.58915710449219,92.2698745727539,96.06336212158203,97.41947937011719,97.23175811767578,95.88751220703125,95.74591827392578,89.67500305175781,94.99119567871094,96.21675109863281,94.71553802490234,92.51950073242188,92.61701965332031,83.81185913085938,94.1192398071289,85.88829040527344,95.20465087890625,93.73090362548828,88.31177520751953
Dog,89.71257781982422,55.02616882324219,87.16966247558594,96.06336212158203,97.41947937011719,97.23175811767578,95.88751220703125,95.74591827392578,79.07225799560547,94.99119567871094,96.21675109863281,94.71553802490234,92.51950073242188,92.61701965332031,83.81185913085938,94.1192398071289,79.2686538696289,95.20465087890625,93.73090362548828,87.53331756591797
Bulldog,79.33120727539062,0.0,56.83298873901367,86.6480712890625,88.05091094970703,94.19312286376953,93.91494750976562,76.90562438964844,79.07225799560547,0.0,96.21675109863281,94.71553802490234,92.51950073242188,92.61701965332031,0.0,94.1192398071289,79.2686538696289,95.20465087890625,93.73090362548828,0.0
Pitbull,72.98413848876953,0.0,0.0,76.73802947998047,86.21464538574219,94.19312286376953,93.7755126953125,76.90562438964844,0.0,0.0,93.918701171875,94.71553802490234,90.29512786865234,92.61701965332031,0.0,94.1192398071289,76.79255676269531,64.64163970947266,93.73090362548828,0.0
Great Dane,57.47935104370117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.125274658203125
Puppy,56.67789077758789,0.0,87.16966247558594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,55.8785514831543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.99119567871094,0.0,0.0,0.0,0.0,56.65397644042969,0.0,0.0,0.0,0.0,66.63787078857422
Person,0.0,80.251953125,0.0,0.0,0.0,0.0,0.0,93.12146759033203,69.95716857910156,83.42809295654297,0.0,0.0,68.67037963867188,0.0,0.0,64.53048706054688,0.0,0.0,0.0,0.0
Human,0.0,80.251953125,0.0,0.0,0.0,0.0,0.0,93.12146759033203,69.95716857910156,83.42809295654297,0.0,0.0,68.67037963867188,0.0,0.0,64.53048706054688,0.0,0.0,0.0,0.0
Zoo,0.0,79.4100570678711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,61.85702896118164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giraffe,0.0,57.62523651123047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deer,0.0,56.473751068115234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,55.02616882324219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor,0.0,0.0,77.57388305664062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,57.07071304321289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boxer,0.0,0.0,0.0,67.3607177734375,0.0,74.22310638427734,0.0,0.0,79.07225799560547,0.0,63.36769485473633,0.0,73.6004409790039,0.0,0.0,57.60624694824219,0.0,95.20465087890625,0.0,0.0
Accessory,0.0,0.0,0.0,0.0,76.19564056396484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accessories,0.0,0.0,0.0,0.0,76.19564056396484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snout,0.0,0.0,0.0,0.0,0.0,56.83458709716797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.367042541503906,97.9013442993164,82.87874603271484,0.0,0.0
Diaper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.35157775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pillow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.51695251464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.51695251464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.043216705322266
Ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.56554412841797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Police Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.286537170410156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teeth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.1502456665039,63.94462203979492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.1502456665039,63.94462203979492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.1502456665039,63.94462203979492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.68620681762695,0.0,0.0,0.0,0.0,64.57866668701172,0.0,0.0
Wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.68620681762695,0.0,0.0,0.0,0.0,57.37359619140625,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.471927642822266,0.0,0.0,97.12838745117188,99.89862823486328,0.0,0.0
Den,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.6021728515625,0.0,0.0,0.0,0.0,0.0
