,하바니즈_1,하바니즈_2,하바니즈_3,하바니즈_4,하바니즈_5,하바니즈_6,하바니즈_7,하바니즈_8,하바니즈_9,하바니즈_10,하바니즈_11,하바니즈_12,하바니즈_13,하바니즈_14,하바니즈_15,하바니즈_16,하바니즈_17,하바니즈_18,하바니즈_19,하바니즈_20
Pet,92.03842163085938,89.85435485839844,67.95571899414062,96.69217681884766,97.1723403930664,62.50117111206055,89.97991943359375,97.8748779296875,84.84579467773438,89.76407623291016,91.33790588378906,69.22865295410156,98.29065704345703,72.73575592041016,94.0892562866211,89.17243194580078,96.35354614257812,92.8075942993164,90.7376708984375,80.07543182373047
Animal,92.03842163085938,91.59647369384766,91.40962982177734,96.69217681884766,97.1723403930664,63.394527435302734,89.97991943359375,97.8748779296875,84.84579467773438,89.76407623291016,92.26553344726562,71.37264251708984,98.29065704345703,73.77781677246094,94.0892562866211,93.47557830810547,96.35354614257812,92.98197937011719,93.04750061035156,83.12855529785156
Mammal,90.82096862792969,91.59647369384766,86.06777954101562,96.69217681884766,97.1723403930664,63.394527435302734,89.97991943359375,97.8748779296875,83.60287475585938,89.52108001708984,92.26553344726562,66.23780059814453,98.29065704345703,72.73575592041016,94.0892562866211,93.47557830810547,96.35354614257812,92.98197937011719,93.04750061035156,83.12855529785156
Canine,89.67420959472656,90.48786163330078,82.80189514160156,96.69217681884766,97.1723403930664,59.12601089477539,89.97991943359375,97.8748779296875,83.60287475585938,89.52108001708984,92.26553344726562,66.0634536743164,98.29065704345703,72.73575592041016,94.0892562866211,93.06712341308594,96.35354614257812,92.98197937011719,93.04750061035156,83.12855529785156
Dog,82.85993957519531,88.74937438964844,60.97793960571289,96.69217681884766,97.1723403930664,56.58433151245117,89.97991943359375,97.8748779296875,59.05038833618164,80.92469787597656,91.33790588378906,0.0,98.29065704345703,72.73575592041016,94.0892562866211,89.17243194580078,96.35354614257812,92.45138549804688,68.7806167602539,80.07543182373047
Puppy,82.85993957519531,0.0,55.482696533203125,96.69217681884766,79.73170471191406,0.0,88.98367309570312,97.8748779296875,57.606510162353516,80.92469787597656,74.76384735107422,0.0,98.29065704345703,0.0,94.0892562866211,0.0,96.35354614257812,86.39302825927734,68.7806167602539,61.60808563232422
Toy,68.41255950927734,0.0,0.0,0.0,0.0,89.83171844482422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,64.54171752929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer Ball,64.54171752929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team,64.54171752929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
